Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.000000,200.000000,0.000000,202.000000,0.000000,200.000000,0.000000
2.000000,200.000000,1.716937,202.000000,3.508016,200.000000,2.537066
3.000000,201.716937,0.000000,205.508016,0.000000,202.537066,0.000000
4.000000,201.716937,-0.631990,205.508016,9.448868,202.537066,0.469929
5.000000,201.084947,0.000000,214.956884,0.000000,203.006995,0.000000
6.000000,201.084947,7.813465,214.956884,0.955236,203.006995,-2.156361
7.000000,208.898412,0.000000,215.912120,0.000000,200.850635,0.000000
8.000000,208.898412,-0.849192,215.912120,8.563478,200.850635,1.494246
9.000000,208.049220,0.000000,224.475598,0.000000,202.344880,0.000000
10.000000,208.049220,0.379610,224.475598,0.477821,202.344880,6.413555
11.000000,208.428830,0.000000,224.953419,0.000000,208.758435,0.000000
12.000000,208.428830,-2.773655,224.953419,-2.644759,208.758435,4.844967
13.000000,205.655175,0.000000,222.308661,0.000000,213.603402,0.000000
14.000000,205.655175,-1.960962,222.308661,1.764742,213.603402,3.142575
15.000000,203.694213,0.000000,224.073402,0.000000,216.745978,0.000000
16.000000,203.694213,-2.355620,224.073402,4.418296,216.745978,2.421626
17.000000,201.338592,0.000000,228.491699,0.000000,219.167604,0.000000
18.000000,201.338592,3.277102,228.491699,1.046875,219.167604,4.630635
19.000000,204.615695,0.000000,229.538573,0.000000,223.798240,0.000000
20.000000,204.615695,0.269581,229.538573,-1.703607,223.798240,1.666774
21.000000,204.885275,0.000000,227.834966,0.000000,225.465013,0.000000
22.000000,204.885275,0.922367,227.834966,1.055415,225.465013,4.050956
23.000000,205.807642,0.000000,228.890382,0.000000,229.515970,0.000000
24.000000,205.807642,4.945112,228.890382,3.089816,229.515970,-1.353854
25.000000,210.752755,0.000000,231.980197,0.000000,228.162116,0.000000
26.000000,210.752755,-3.880243,231.980197,6.787229,228.162116,-7.156074
27.000000,206.872511,0.000000,238.767426,0.000000,221.006042,0.000000
28.000000,206.872511,-5.584441,238.767426,9.048667,221.006042,-2.176064
29.000000,201.288070,0.000000,247.816093,0.000000,218.829978,0.000000
30.000000,201.288070,4.965410,247.816093,-3.261245,218.829978,-4.818869
31.000000,206.253480,0.000000,244.554848,0.000000,214.011109,0.000000
32.000000,206.253480,5.538868,244.554848,-1.047577,214.011109,1.445536
33.000000,211.792348,0.000000,243.507271,0.000000,215.456645,0.000000
34.000000,211.792348,6.630955,243.507271,3.076211,215.456645,-10.269542
35.000000,218.423303,0.000000,246.583482,0.000000,205.187104,0.000000
36.000000,218.423303,1.249629,246.583482,-2.514731,205.187104,3.409255
37.000000,219.672932,0.000000,244.068751,0.000000,208.596359,0.000000
38.000000,219.672932,4.803217,244.068751,0.256395,208.596359,4.998987
39.000000,224.476149,0.000000,244.325146,0.000000,213.595346,0.000000
40.000000,224.476149,7.303074,244.325146,-1.048188,213.595346,6.511357
41.000000,231.779224,0.000000,243.276958,0.000000,220.106704,0.000000
42.000000,231.779224,-4.539073,243.276958,4.308825,220.106704,-2.623744
43.000000,227.240150,0.000000,247.585783,0.000000,217.482959,0.000000
44.000000,227.240150,-3.120589,247.585783,0.414193,217.482959,2.228988
45.000000,224.119561,0.000000,247.999976,0.000000,219.711947,0.000000
46.000000,224.119561,-2.346486,247.999976,-3.679430,219.711947,2.671651
47.000000,221.773075,0.000000,244.320546,0.000000,222.383598,0.000000
48.000000,221.773075,-2.982885,244.320546,-2.185058,222.383598,0.558331
49.000000,218.790189,0.000000,242.135488,0.000000,222.941929,0.000000
50.000000,218.790189,-1.638166,242.135488,2.975026,222.941929,0.470290
51.000000,217.152023,0.000000,245.110514,0.000000,223.412219,0.000000
52.000000,217.152023,-1.101470,245.110514,-1.873199,223.412219,2.189839
53.000000,216.050553,0.000000,243.237315,0.000000,225.602058,0.000000
54.000000,216.050553,3.673642,243.237315,3.177457,225.602058,2.624755
55.000000,219.724195,0.000000,246.414773,0.000000,228.226813,0.000000
56.000000,219.724195,1.120481,246.414773,-0.298132,228.226813,5.661363
57.000000,220.844676,0.000000,246.116641,0.000000,233.888176,0.000000
58.000000,220.844676,1.234561,246.116641,0.215130,233.888176,4.399147
59.000000,222.079237,0.000000,246.331771,0.000000,238.287323,0.000000
60.000000,222.079237,3.909959,246.331771,0.862374,238.287323,1.321223
61.000000,225.989196,0.000000,247.194145,0.000000,239.608546,0.000000
