start_time_iso=2026-06-03T18:26:58.090
time_sec,Endo_mm,Trans_mm,Epi_mm
0.0,200.0046875,202.001953125,200.005078125
0.101,200.0046875,202.001953125,200.005078125
0.2,200.0046875,202.001953125,200.005078125
0.3,200.0046875,202.001953125,200.005078125
0.401,200.0046875,202.001953125,200.005078125
0.5,200.0046875,202.001953125,200.005078125
0.602,200.0046875,202.001953125,200.005078125
0.7,200.0046875,202.001953125,200.005078125
0.8,200.0046875,202.001953125,200.005078125
0.901,200.0046875,202.001953125,200.005078125
1.001,200.0046875,202.001953125,200.005078125
1.101,200.0046875,202.001953125,200.005078125
1.201,200.0046875,202.001953125,200.005078125
1.302,200.0046875,202.001953125,200.005078125
1.401,200.0046875,202.001953125,200.005078125
1.501,200.0046875,202.001953125,200.005078125
1.601,200.0046875,202.001953125,200.005078125
1.7,200.0046875,202.001953125,200.005078125
1.803,200.0046875,202.001953125,200.005078125
1.901,200.0046875,202.001953125,200.005078125
2.001,200.0046875,202.001953125,200.005078125
2.359,200.0046875,202.001953125,200.005078125
2.747,200.0046875,202.001953125,200.005078125
2.948,200.0046875,202.001953125,200.005078125
2.955,200.0046875,202.001953125,200.005078125
2.967,200.0046875,202.001953125,200.005078125
2.978,200.0046875,202.001953125,200.005078125
2.994,200.0046875,202.001953125,200.005078125
3.138,200.0015625,202.001953125,200.001953125
3.704,200.0015625,202.001953125,200.001953125
3.888,200.0015625,202.001953125,200.001953125
4.074,200.0015625,202.001953125,200.001953125
4.27,200.0015625,202.001953125,200.001953125
4.279,200.0015625,202.001953125,200.001953125
4.298,200.0015625,202.001953125,200.001953125
4.306,200.0015625,202.001953125,200.001953125
4.317,200.0015625,202.001953125,200.001953125
4.325,200.0015625,202.001953125,200.001953125
4.338,200.0015625,202.001953125,200.001953125
4.346,200.0015625,202.001953125,200.001953125
4.353,200.0015625,202.001953125,200.001953125
4.362,200.0015625,202.001953125,200.001953125
4.376,200.0015625,202.001953125,200.001953125
4.384,200.0015625,202.001953125,200.001953125
4.401,200.0015625,202.001953125,200.001953125
4.5,200.0015625,202.001953125,200.001953125
4.604,200.0015625,202.001953125,200.001953125
4.702,200.0015625,202.001953125,200.001953125
4.801,200.0015625,202.001953125,200.001953125
4.902,200.0015625,202.001953125,200.001953125
5.001,200.0015625,202.001953125,200.001953125
5.1,200.0015625,202.001953125,200.001953125
5.202,200.0015625,202.001953125,200.001953125
5.301,200.0015625,202.001953125,200.001953125
5.401,200.0015625,202.001953125,200.001953125
5.502,200.0015625,202.001953125,200.001953125
5.602,200.0015625,202.001953125,200.001953125
5.7,200.0015625,202.001953125,200.001953125
5.801,200.0015625,202.001953125,200.001953125
5.902,200.0015625,202.001953125,200.001953125
6.001,200.0015625,202.001953125,200.001953125
6.101,200.0015625,202.001953125,200.001953125
6.212,200.0015625,202.001953125,200.001953125
6.301,200.0015625,202.001953125,200.001953125
6.401,200.0015625,202.001953125,200.001953125
6.501,200.0015625,202.001953125,200.001953125
6.601,200.0015625,202.001953125,200.001953125
6.701,200.0015625,202.001953125,200.001953125
6.801,200.0015625,202.001953125,200.001953125
6.901,200.0015625,202.001953125,200.001953125
7.001,200.0015625,202.001953125,200.001953125
7.101,200.0015625,202.001953125,200.001953125
7.2,200.0015625,202.001953125,200.001953125
7.3,200.0015625,202.001953125,200.001953125
7.401,200.0015625,202.001953125,200.001953125
7.5,200.0015625,202.001953125,200.001953125
7.601,200.0015625,202.001953125,200.001953125
7.701,200.0015625,202.001953125,200.001953125
7.8,200.0015625,202.001953125,200.001953125
