start_time_iso=2026-07-20T14:42:55.872
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0015625,202.001953125,200.001953125
0.102,200.0015625,202.001953125,200.001953125
0.201,200.0015625,202.001953125,200.001953125
0.301,200.0015625,202.001953125,200.001953125
0.402,200.0015625,202.001953125,200.001953125
0.5,200.0015625,202.001953125,200.001953125
0.601,200.0015625,202.001953125,200.001953125
0.7,200.0015625,202.001953125,200.001953125
0.802,200.0015625,202.001953125,200.001953125
0.901,200.0015625,202.001953125,200.001953125
1.001,200.0015625,202.001953125,200.001953125
1.101,200.0015625,202.001953125,200.001953125
1.2,200.0015625,202.001953125,200.001953125
1.302,200.0015625,202.001953125,200.001953125
1.401,200.0015625,202.001953125,200.001953125
1.501,200.0015625,202.001953125,200.001953125
1.601,200.0015625,202.001953125,200.001953125
1.702,200.0015625,202.001953125,200.001953125
1.801,200.0015625,202.001953125,200.001953125
1.901,200.0015625,202.001953125,200.001953125
2.001,200.0015625,202.001953125,200.001953125
2.101,200.0015625,202.001953125,200.001953125
2.201,200.0015625,202.001953125,200.001953125
2.3,200.0015625,202.001953125,200.001953125
2.401,200.0015625,202.001953125,200.001953125
2.501,200.0015625,202.001953125,200.001953125
2.601,200.0015625,202.001953125,200.001953125
2.701,200.0015625,202.001953125,200.001953125
2.8,200.0015625,202.001953125,200.001953125
2.901,200.0015625,202.001953125,200.001953125
3.001,200.0015625,202.001953125,200.001953125
3.101,200.0015625,202.001953125,200.001953125
3.201,200.0015625,202.001953125,200.001953125
3.301,200.0015625,202.001953125,200.001953125
3.4,200.0015625,202.001953125,200.001953125
3.501,200.0015625,202.001953125,200.001953125
3.6,200.0015625,202.001953125,200.001953125
3.701,200.0015625,202.001953125,200.001953125
3.807,200.0015625,202.001953125,200.001953125
3.903,200.0015625,202.001953125,200.001953125
4.004,200.0015625,202.001953125,200.001953125
4.101,200.0015625,202.001953125,200.001953125
4.201,200.0015625,202.001953125,200.001953125
4.301,200.0015625,202.001953125,200.001953125
4.403,200.0015625,202.001953125,200.001953125
4.502,200.0015625,202.001953125,200.001953125
4.601,200.0015625,202.001953125,200.001953125
4.701,200.0015625,202.001953125,200.001953125
4.8,200.0015625,202.001953125,200.001953125
4.901,200.0015625,202.001953125,200.001953125
5.0,200.0015625,202.001953125,200.001953125
5.101,200.0015625,202.001953125,200.001953125
5.201,200.0015625,202.001953125,200.001953125
5.301,200.0015625,202.001953125,200.001953125
5.401,200.0015625,202.001953125,200.001953125
5.5,200.0015625,202.001953125,200.001953125
5.6,200.0015625,202.001953125,200.001953125
5.701,200.0015625,202.001953125,200.001953125
5.8,200.0015625,202.001953125,200.001953125
5.901,200.0015625,202.001953125,200.001953125
6.001,200.0015625,202.001953125,200.001953125
6.1,200.0015625,202.001953125,200.001953125
6.2,200.0015625,202.001953125,200.001953125
6.3,200.0015625,202.001953125,200.001953125
6.401,200.0015625,202.001953125,200.001953125
6.5,200.0015625,202.001953125,200.001953125
6.601,200.0015625,202.001953125,200.001953125
6.701,200.0015625,202.001953125,200.001953125
6.801,200.0015625,202.001953125,200.001953125
6.901,200.0015625,202.001953125,200.001953125
7.0,200.0015625,202.001953125,200.001953125
7.101,200.0015625,202.001953125,200.001953125
7.201,200.0015625,202.001953125,200.001953125
7.301,200.0015625,202.001953125,200.001953125
7.401,200.0015625,202.001953125,200.001953125
7.5,200.0015625,202.001953125,200.001953125
7.6,200.0015625,202.001953125,200.001953125
7.7,200.0015625,202.001953125,200.001953125
7.8,200.0015625,202.001953125,200.001953125
7.9,200.0015625,202.001953125,200.001953125
8.001,200.0015625,202.001953125,200.001953125
8.1,200.0015625,202.001953125,200.001953125
8.2,200.0015625,202.001953125,200.001953125
8.301,200.0015625,202.001953125,200.001953125
8.401,200.0015625,202.001953125,200.001953125
8.503,200.0015625,202.001953125,200.001953125
8.603,200.0015625,202.001953125,200.001953125
8.7,200.0015625,202.001953125,200.001953125
8.801,200.0015625,202.001953125,200.001953125
8.901,200.0015625,202.001953125,200.001953125
9.0,200.0015625,202.001953125,200.001953125
9.101,200.0015625,202.001953125,200.001953125
9.2,200.0015625,202.001953125,200.001953125
9.3,200.0015625,202.001953125,200.001953125
9.401,200.0015625,202.001953125,200.001953125
9.501,200.0015625,202.001953125,200.001953125
9.6,200.0015625,202.001953125,200.001953125
9.701,200.0015625,202.001953125,200.001953125
9.801,200.0015625,202.001953125,200.001953125
9.901,200.0015625,202.001953125,200.001953125
10.001,200.0015625,202.001953125,200.001953125
10.1,200.0015625,202.001953125,200.001953125
10.2,200.0015625,202.001953125,200.001953125
10.3,200.0015625,202.001953125,200.001953125
10.401,200.0015625,202.001953125,200.001953125
10.5,200.0015625,202.001953125,200.001953125
10.601,200.0015625,202.001953125,200.001953125
10.701,200.0015625,202.001953125,200.001953125
10.801,200.0015625,202.001953125,200.001953125
10.9,200.0015625,202.001953125,200.001953125
11.001,200.0015625,202.001953125,200.001953125
11.101,200.0015625,202.001953125,200.001953125
11.201,200.0015625,202.001953125,200.001953125
11.301,200.0015625,202.001953125,200.001953125
11.401,200.0015625,202.001953125,200.001953125
11.5,200.0015625,202.001953125,200.001953125
11.601,200.0015625,202.001953125,200.001953125
11.7,200.0015625,202.001953125,200.001953125
11.8,200.0015625,202.001953125,200.001953125
11.9,200.0015625,202.001953125,200.001953125
12.001,200.0015625,202.001953125,200.001953125
12.1,200.0015625,202.001953125,200.001953125
12.2,200.0015625,202.001953125,200.001953125
12.301,200.0015625,202.001953125,200.001953125
12.4,200.0015625,202.001953125,200.001953125
12.501,200.0015625,202.001953125,200.001953125
