Format Version,1.23,Take Name,MDC_data_1780625228,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-05 12:07:47 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-05 12:07:47.674,0.000000,0.000000,0.000000,0.000000,0.328330,-0.332342,-0.245044,0.125354,-0.327062,-0.245897,0.226842,-0.329702,-0.245471,0.187487,-0.341117,-0.215343,0.241627,-0.354222,-0.169714,0.259711,-0.352373,-0.211397
2026-06-05 12:07:47.774,0.100000,0.000000,0.000000,0.000000,0.329116,-0.333470,-0.245157,0.126013,-0.327178,-0.245913,0.227564,-0.330324,-0.245535,0.187085,-0.341967,-0.216141,0.241627,-0.354222,-0.169714,0.259198,-0.353268,-0.211536
2026-06-05 12:07:47.874,0.200000,0.000000,0.000000,0.000000,0.329116,-0.333470,-0.245157,0.126013,-0.327178,-0.245913,0.227564,-0.330324,-0.245535,0.187089,-0.342032,-0.215476,0.241143,-0.355114,-0.169920,0.259454,-0.352820,-0.211467
2026-06-05 12:07:47.974,0.300000,0.000000,0.000000,0.000000,0.329116,-0.333470,-0.245157,0.126013,-0.327178,-0.245913,0.227564,-0.330324,-0.245535,0.187347,-0.343063,-0.215624,0.241316,-0.356123,-0.170141,0.259858,-0.353384,-0.211551
2026-06-05 12:07:48.074,0.400000,0.000000,0.000000,0.000000,0.329116,-0.333470,-0.245157,0.125354,-0.327062,-0.245897,0.227235,-0.330266,-0.245527,0.186690,-0.342947,-0.215608,0.241627,-0.354222,-0.169714,0.259198,-0.353268,-0.211536
2026-06-05 12:07:48.174,0.500000,0.000000,0.000000,0.000000,0.329116,-0.333470,-0.245157,0.125354,-0.327062,-0.245897,0.227235,-0.330266,-0.245527,0.186690,-0.342947,-0.215608,0.241143,-0.355114,-0.169920,0.259198,-0.353268,-0.211536
2026-06-05 12:07:48.274,0.599999,0.000000,0.000000,0.000000,0.329116,-0.333470,-0.245157,0.125354,-0.327062,-0.245897,0.227235,-0.330266,-0.245527,0.187089,-0.342032,-0.215476,0.241143,-0.355114,-0.169920,0.259711,-0.352373,-0.211397
2026-06-05 12:07:48.374,0.699999,0.000000,0.000000,0.000000,0.329116,-0.333470,-0.245157,0.125354,-0.327062,-0.245897,0.227235,-0.330266,-0.245527,0.186690,-0.342947,-0.215608,0.241143,-0.355114,-0.169920,0.259711,-0.352373,-0.211397
2026-06-05 12:07:48.474,0.799999,0.000000,0.000000,0.000000,0.328330,-0.332342,-0.245044,0.125652,-0.326124,-0.245814,0.226991,-0.329233,-0.245429,0.187089,-0.342032,-0.215476,0.241627,-0.354222,-0.169714,0.259711,-0.352373,-0.211397
2026-06-05 12:07:48.574,0.899999,0.000000,0.000000,0.000000,0.328330,-0.332342,-0.245044,0.124695,-0.326946,-0.245882,0.226512,-0.329644,-0.245463,0.187089,-0.342032,-0.215476,0.240967,-0.354106,-0.169698,0.259711,-0.352373,-0.211397
2026-06-05 12:07:48.674,0.999999,0.000000,0.000000,0.000000,0.328330,-0.332342,-0.245044,0.125652,-0.326124,-0.245814,0.226991,-0.329233,-0.245429,0.187487,-0.341117,-0.215343,0.241451,-0.353213,-0.169493,0.259561,-0.351363,-0.211243
2026-06-05 12:07:48.774,1.099999,0.000000,0.000000,0.000000,0.328330,-0.332342,-0.245044,0.124988,-0.325942,-0.246466,0.226659,-0.329142,-0.245755,0.187089,-0.342032,-0.215476,0.240967,-0.354106,-0.169698,0.259711,-0.352373,-0.211397
2026-06-05 12:07:48.874,1.199999,0.000000,0.000000,0.000000,0.328330,-0.332342,-0.245044,0.124992,-0.326008,-0.245798,0.226661,-0.329175,-0.245421,0.186824,-0.340936,-0.215994,0.240967,-0.354106,-0.169698,0.259050,-0.352257,-0.211382
2026-06-05 12:07:48.974,1.299999,0.000000,0.000000,0.000000,0.328330,-0.332342,-0.245044,0.124992,-0.326008,-0.245798,0.226661,-0.329175,-0.245421,0.186431,-0.341917,-0.215460,0.240967,-0.354106,-0.169698,0.258538,-0.353151,-0.211520
2026-06-05 12:07:49.074,1.399999,0.000000,0.000000,0.000000,0.327734,-0.333227,-0.245125,0.124992,-0.326008,-0.245798,0.226363,-0.329617,-0.245462,0.187487,-0.341117,-0.215343,0.240967,-0.354106,-0.169698,0.259561,-0.351363,-0.211243
2026-06-05 12:07:49.174,1.499999,0.000000,0.000000,0.000000,0.327734,-0.333227,-0.245125,0.124992,-0.326008,-0.245798,0.226363,-0.329617,-0.245462,0.187487,-0.341117,-0.215343,0.241935,-0.352320,-0.169287,0.259561,-0.351363,-0.211243
2026-06-05 12:07:49.274,1.599998,0.000000,0.000000,0.000000,0.328925,-0.331456,-0.244963,0.125652,-0.326124,-0.245814,0.227289,-0.328790,-0.245389,0.187885,-0.340202,-0.215210,0.241935,-0.352320,-0.169287,0.259561,-0.351363,-0.211243
2026-06-05 12:07:49.374,1.699998,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.125586,-0.324132,-0.245632,0.227206,-0.327291,-0.245249,0.187225,-0.340086,-0.215195,0.241269,-0.352137,-0.169941,0.259921,-0.349457,-0.210951
2026-06-05 12:07:49.474,1.799998,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.125586,-0.324132,-0.245632,0.227206,-0.327291,-0.245249,0.187225,-0.340086,-0.215195,0.241751,-0.351244,-0.169737,0.259921,-0.349457,-0.210951
2026-06-05 12:07:49.574,1.899998,0.000000,0.000000,0.000000,0.328232,-0.331335,-0.244947,0.125950,-0.325186,-0.245730,0.227091,-0.328261,-0.245339,0.187225,-0.340086,-0.215195,0.241755,-0.351311,-0.169065,0.260585,-0.349574,-0.210966
2026-06-05 12:07:49.674,1.999998,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.126249,-0.324249,-0.245647,0.227538,-0.327349,-0.245257,0.187225,-0.340086,-0.215195,0.241751,-0.351244,-0.169737,0.259921,-0.349457,-0.210951
2026-06-05 12:07:49.774,2.099998,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.126911,-0.324365,-0.245663,0.227869,-0.327407,-0.245265,0.187225,-0.340086,-0.215195,0.241751,-0.351244,-0.169737,0.260585,-0.349574,-0.210966
2026-06-05 12:07:49.874,2.199998,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.125950,-0.325186,-0.245730,0.227388,-0.327818,-0.245298,0.187623,-0.339171,-0.215062,0.241269,-0.352137,-0.169941,0.260069,-0.350402,-0.211776
2026-06-05 12:07:49.974,2.299998,0.000000,0.000000,0.000000,0.328232,-0.331335,-0.244947,0.126249,-0.324249,-0.245647,0.227240,-0.327792,-0.245297,0.187225,-0.340086,-0.215195,0.241755,-0.351311,-0.169065,0.259917,-0.349391,-0.211623
2026-06-05 12:07:50.074,2.399998,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.125950,-0.325186,-0.245730,0.227388,-0.327818,-0.245298,0.187225,-0.340086,-0.215195,0.241751,-0.351244,-0.169737,0.259921,-0.349457,-0.210951
2026-06-05 12:07:50.174,2.499998,0.000000,0.000000,0.000000,0.329421,-0.329564,-0.244786,0.125289,-0.325070,-0.245715,0.227355,-0.327317,-0.245250,0.187225,-0.340086,-0.215195,0.241751,-0.351244,-0.169737,0.259921,-0.349457,-0.210951
2026-06-05 12:07:50.274,2.599998,0.000000,0.000000,0.000000,0.329421,-0.329564,-0.244786,0.125289,-0.325070,-0.245715,0.227355,-0.327317,-0.245250,0.187424,-0.339628,-0.215129,0.242238,-0.350418,-0.168860,0.259410,-0.350352,-0.211089
2026-06-05 12:07:50.374,2.699997,0.000000,0.000000,0.000000,0.329421,-0.329564,-0.244786,0.126249,-0.324249,-0.245647,0.227835,-0.326906,-0.245216,0.187619,-0.339105,-0.215731,0.241751,-0.351244,-0.169737,0.259921,-0.349457,-0.210951
2026-06-05 12:07:50.474,2.799997,0.000000,0.000000,0.000000,0.329421,-0.329564,-0.244786,0.126249,-0.324249,-0.245647,0.227835,-0.326906,-0.245216,0.187623,-0.339171,-0.215062,0.242234,-0.350351,-0.169532,0.260428,-0.348497,-0.211485
2026-06-05 12:07:50.574,2.899997,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.126249,-0.324249,-0.245647,0.227538,-0.327349,-0.245257,0.187225,-0.340086,-0.215195,0.241751,-0.351244,-0.169737,0.259921,-0.349457,-0.210951
2026-06-05 12:07:50.674,2.999997,0.000000,0.000000,0.000000,0.330015,-0.328679,-0.244705,0.125586,-0.324132,-0.245632,0.227801,-0.326406,-0.245168,0.187623,-0.339171,-0.215062,0.241751,-0.351244,-0.169737,0.259917,-0.349391,-0.211623
2026-06-05 12:07:50.774,3.099997,0.000000,0.000000,0.000000,0.329421,-0.329564,-0.244786,0.125950,-0.325186,-0.245730,0.227686,-0.327375,-0.245258,0.187225,-0.340086,-0.215195,0.241751,-0.351244,-0.169737,0.260581,-0.349508,-0.211638
2026-06-05 12:07:50.874,3.199997,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.125289,-0.325070,-0.245715,0.227058,-0.327760,-0.245291,0.187623,-0.339171,-0.215062,0.241751,-0.351244,-0.169737,0.260432,-0.348563,-0.210812
2026-06-05 12:07:50.974,3.299997,0.000000,0.000000,0.000000,0.329421,-0.329564,-0.244786,0.125289,-0.325070,-0.245715,0.227355,-0.327317,-0.245250,0.187225,-0.340086,-0.215195,0.241751,-0.351244,-0.169737,0.259410,-0.350352,-0.211089
2026-06-05 12:07:51.074,3.399997,0.000000,0.000000,0.000000,0.328827,-0.330449,-0.244866,0.125586,-0.324132,-0.245632,0.227206,-0.327291,-0.245249,0.187623,-0.339171,-0.215062,0.241751,-0.351244,-0.169737,0.259666,-0.349905,-0.211020
2026-06-05 12:07:51.174,3.499997,0.000000,0.000000,0.000000,0.329421,-0.329564,-0.244786,0.125586,-0.324132,-0.245632,0.227504,-0.326848,-0.245209,0.187221,-0.340020,-0.215863,0.242234,-0.350351,-0.169532,0.260585,-0.349574,-0.210966
2026-06-05 12:07:51.274,3.599997,0.000000,0.000000,0.000000,0.328232,-0.331335,-0.244947,0.125586,-0.324132,-0.245632,0.226909,-0.327733,-0.245289,0.187619,-0.339105,-0.215731,0.241751,-0.351244,-0.169737,0.260581,-0.349508,-0.211638
