Format Version,1.23,Take Name,MDC_data_1779697939,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-25 06:32:48 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-25 18:32:48.503,0.000000,0.000000,0.000000,0.000000,-0.121565,-0.095470,-0.253499,0.073480,-0.092545,-0.251699,-0.024042,-0.094008,-0.252599,-0.010693,-0.117608,-0.184317,-0.010127,-0.124932,-0.229702
2026-05-25 18:32:48.603,0.100000,0.000000,0.000000,0.000000,-0.121389,-0.096515,-0.253416,0.073480,-0.092545,-0.251699,-0.023954,-0.094530,-0.252558,-0.010689,-0.116554,-0.184286,-0.010122,-0.123867,-0.229749
2026-05-25 18:32:48.703,0.200000,0.000000,0.000000,0.000000,-0.121389,-0.096515,-0.253416,0.073480,-0.092545,-0.251699,-0.023954,-0.094530,-0.252558,-0.010683,-0.117700,-0.183650,-0.010122,-0.123867,-0.229749
2026-05-25 18:32:48.803,0.300000,0.000000,0.000000,0.000000,-0.121389,-0.096515,-0.253416,0.073334,-0.093634,-0.251616,-0.024027,-0.095075,-0.252516,-0.010689,-0.116554,-0.184286,-0.010122,-0.123867,-0.229749
2026-05-25 18:32:48.903,0.400000,0.000000,0.000000,0.000000,-0.121389,-0.096515,-0.253416,0.073480,-0.092545,-0.251699,-0.023954,-0.094530,-0.252558,-0.010683,-0.117700,-0.183650,-0.010124,-0.124400,-0.229726
2026-05-25 18:32:49.003,0.500000,0.000000,0.000000,0.000000,-0.121565,-0.095470,-0.253499,0.073480,-0.092545,-0.251699,-0.024042,-0.094008,-0.252599,-0.010683,-0.117700,-0.183650,-0.010127,-0.124932,-0.229702
2026-05-25 18:32:49.103,0.599999,0.000000,0.000000,0.000000,-0.121389,-0.096515,-0.253416,0.073334,-0.093634,-0.251616,-0.024027,-0.095075,-0.252516,-0.010683,-0.117700,-0.183650,-0.010127,-0.124932,-0.229702
