Format Version,1.23,Take Name,MDC_data_1780625338,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-05 12:09:39 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-05 12:09:39.528,0.000000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258638,-0.353313,-0.206944
2026-06-05 12:09:39.628,0.100000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:39.728,0.200000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:39.828,0.300000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:39.928,0.400000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.028,0.500000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.128,0.600000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.228,0.700000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.328,0.800000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.428,0.900000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.528,1.000000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.628,1.100000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125413,-0.327073,-0.242993,0.226749,-0.331101,-0.241700,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.728,1.200000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125413,-0.327073,-0.242993,0.226749,-0.331101,-0.241700,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.828,1.300000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.124799,-0.328948,-0.243153,0.226442,-0.332038,-0.241780,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:40.928,1.400000,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.124445,-0.327888,-0.243064,0.226265,-0.331508,-0.241735,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.259304,-0.353374,-0.207626
2026-06-05 12:09:41.028,1.500000,0.000000,0.000000,0.000000,0.328688,-0.334246,-0.240327,0.125106,-0.328011,-0.243073,0.226897,-0.331128,-0.241700,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258638,-0.353313,-0.206944
2026-06-05 12:09:41.128,1.599999,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258640,-0.353251,-0.207617
2026-06-05 12:09:41.228,1.699999,0.000000,0.000000,0.000000,0.327482,-0.336010,-0.240487,0.125106,-0.328011,-0.243073,0.226294,-0.332011,-0.241780,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258640,-0.353251,-0.207617
2026-06-05 12:09:41.328,1.799999,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:41.428,1.899999,0.000000,0.000000,0.000000,0.327482,-0.336010,-0.240487,0.125106,-0.328011,-0.243073,0.226294,-0.332011,-0.241780,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.259159,-0.352358,-0.207480
2026-06-05 12:09:41.528,1.999999,0.000000,0.000000,0.000000,0.328688,-0.334246,-0.240327,0.125106,-0.328011,-0.243073,0.226897,-0.331128,-0.241700,0.186019,-0.343227,-0.212554,0.259933,-0.342583,-0.260453,0.258640,-0.353251,-0.207617
2026-06-05 12:09:41.628,2.099999,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125413,-0.327073,-0.242993,0.226749,-0.331101,-0.241700,0.186017,-0.343289,-0.211885,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:41.728,2.199999,0.000000,0.000000,0.000000,0.327482,-0.336010,-0.240487,0.125106,-0.328011,-0.243073,0.226294,-0.332011,-0.241780,0.186017,-0.343289,-0.211885,0.240083,-0.354654,-0.165848,0.441392,-0.039035,-0.159642
2026-06-05 12:09:41.828,2.299999,0.000000,0.000000,0.000000,0.327482,-0.336010,-0.240487,0.125106,-0.328011,-0.243073,0.226294,-0.332011,-0.241780,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258640,-0.353251,-0.207617
2026-06-05 12:09:41.928,2.399999,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.124799,-0.328948,-0.243153,0.226442,-0.332038,-0.241780,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258640,-0.353251,-0.207617
2026-06-05 12:09:42.028,2.499999,0.000000,0.000000,0.000000,0.328688,-0.334246,-0.240327,0.125413,-0.327073,-0.242993,0.227051,-0.330660,-0.241660,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258638,-0.353313,-0.206944
2026-06-05 12:09:42.128,2.599998,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186425,-0.342313,-0.212425,0.240573,-0.353763,-0.165644,0.259824,-0.352481,-0.207489
2026-06-05 12:09:42.228,2.699998,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.259304,-0.353374,-0.207626
2026-06-05 12:09:42.328,2.799998,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.259822,-0.352544,-0.206815
2026-06-05 12:09:42.428,2.899998,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125413,-0.327073,-0.242993,0.226749,-0.331101,-0.241700,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.259159,-0.352358,-0.207480
2026-06-05 12:09:42.528,2.999998,0.000000,0.000000,0.000000,0.328688,-0.334246,-0.240327,0.125106,-0.328011,-0.243073,0.226897,-0.331128,-0.241700,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258640,-0.353251,-0.207617
2026-06-05 12:09:42.628,3.099998,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125413,-0.327073,-0.242993,0.226749,-0.331101,-0.241700,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258900,-0.352804,-0.207548
2026-06-05 12:09:42.728,3.199998,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125413,-0.327073,-0.242993,0.226749,-0.331101,-0.241700,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258640,-0.353251,-0.207617
2026-06-05 12:09:42.828,3.299998,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.125106,-0.328011,-0.243073,0.226596,-0.331569,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.259159,-0.352358,-0.207480
2026-06-05 12:09:42.928,3.399998,0.000000,0.000000,0.000000,0.328688,-0.334246,-0.240327,0.125413,-0.327073,-0.242993,0.227051,-0.330660,-0.241660,0.186019,-0.343227,-0.212554,0.240081,-0.354716,-0.165176,0.258640,-0.353251,-0.207617
2026-06-05 12:09:43.028,3.499998,0.000000,0.000000,0.000000,0.328085,-0.335128,-0.240407,0.124445,-0.327888,-0.243064,0.226265,-0.331508,-0.241735,0.186017,-0.343289,-0.211885,0.240083,-0.354654,-0.165848,0.441388,-0.039131,-0.158590
2026-06-05 12:09:43.128,3.599998,0.000000,0.000000,0.000000,0.328688,-0.334246,-0.240327,0.124799,-0.328948,-0.243153,0.226744,-0.331597,-0.241740,0.186019,-0.343227,-0.212554,0.240083,-0.354654,-0.165848,0.258638,-0.353313,-0.206944
