Format Version,1.23,Take Name,MDC_data_1780977466,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-09 01:58:04 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-09 13:58:04.451,0.000000,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112067,0.191860,0.374595,0.211781,0.191912,0.376296,0.171833,0.214288,0.356903,0.225650,0.247525,0.324508,0.243829,0.221403,0.360717
2026-06-09 13:58:04.551,0.100000,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112067,0.191860,0.374595,0.211781,0.191912,0.376296,0.171833,0.214288,0.356903,0.225650,0.247525,0.324508,0.243829,0.221403,0.360717
2026-06-09 13:58:04.651,0.200000,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.111797,0.190929,0.374175,0.211646,0.191447,0.376086,0.172012,0.215199,0.357359,0.226236,0.246658,0.323989,0.243829,0.221403,0.360717
2026-06-09 13:58:04.751,0.300000,0.000000,0.000000,0.000000,0.311449,0.192893,0.378410,0.112067,0.191860,0.374595,0.211758,0.192377,0.376503,0.172012,0.215199,0.357359,0.225650,0.247525,0.324508,0.243829,0.221403,0.360717
2026-06-09 13:58:04.851,0.400000,0.000000,0.000000,0.000000,0.311449,0.192893,0.378410,0.112067,0.191860,0.374595,0.211758,0.192377,0.376503,0.172012,0.215199,0.357359,0.225650,0.247525,0.324508,0.243829,0.221403,0.360717
2026-06-09 13:58:04.951,0.500000,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.171833,0.214288,0.356903,0.225556,0.246648,0.323989,0.243829,0.221403,0.360717
2026-06-09 13:58:05.051,0.599999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.172012,0.215199,0.357359,0.225560,0.246340,0.324596,0.243829,0.221403,0.360717
2026-06-09 13:58:05.151,0.699999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.172012,0.215199,0.357359,0.225650,0.247525,0.324508,0.243893,0.222312,0.361172
2026-06-09 13:58:05.251,0.799999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.172012,0.215199,0.357359,0.225650,0.247525,0.324508,0.244516,0.221413,0.360717
2026-06-09 13:58:05.351,0.899999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.171833,0.214288,0.356903,0.225650,0.247525,0.324508,0.243829,0.221403,0.360717
2026-06-09 13:58:05.451,0.999999,0.000000,0.000000,0.000000,0.311540,0.191036,0.377582,0.112505,0.190940,0.374175,0.212022,0.190988,0.375879,0.243674,0.164921,0.422460,0.226329,0.247535,0.324509,0.243829,0.221403,0.360717
2026-06-09 13:58:05.551,1.099999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.113043,0.192801,0.375015,0.212269,0.192383,0.376506,0.171833,0.214288,0.356903,0.225650,0.247525,0.324508,0.243829,0.221403,0.360717
2026-06-09 13:58:05.651,1.199999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.243829,0.221403,0.360717
2026-06-09 13:58:05.751,1.299999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.243612,0.163954,0.422118,0.226329,0.247535,0.324509,0.243893,0.222312,0.361172
2026-06-09 13:58:05.851,1.399999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.243674,0.164921,0.422460,0.225650,0.247525,0.324508,0.243829,0.221403,0.360717
2026-06-09 13:58:05.951,1.499999,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.172012,0.215199,0.357359,0.226329,0.247535,0.324509,0.243829,0.221403,0.360717
2026-06-09 13:58:06.051,1.599998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:06.151,1.699998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.172012,0.215199,0.357359,0.226236,0.246658,0.323989,0.243829,0.221403,0.360717
2026-06-09 13:58:06.251,1.799998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.243829,0.221403,0.360717
2026-06-09 13:58:06.351,1.899998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.172012,0.215199,0.357359,0.226329,0.247535,0.324509,0.243829,0.221403,0.360717
2026-06-09 13:58:06.451,1.999998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226236,0.246658,0.323989,0.244516,0.221413,0.360717
2026-06-09 13:58:06.551,2.099998,0.000000,0.000000,0.000000,0.311540,0.191036,0.377582,0.112505,0.190940,0.374175,0.212022,0.190988,0.375879,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:06.651,2.199998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.171833,0.214288,0.356903,0.226236,0.246658,0.323989,0.244516,0.221413,0.360717
2026-06-09 13:58:06.751,2.299998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:06.851,2.399998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.171833,0.214288,0.356903,0.226236,0.246658,0.323989,0.244516,0.221413,0.360717
2026-06-09 13:58:06.951,2.499998,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:07.051,2.599998,0.000000,0.000000,0.000000,0.311540,0.191036,0.377582,0.112505,0.190940,0.374175,0.212022,0.190988,0.375879,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:07.151,2.699997,0.000000,0.000000,0.000000,0.311540,0.191036,0.377582,0.112774,0.191870,0.374595,0.212157,0.191453,0.376089,0.171833,0.214288,0.356903,0.226236,0.246658,0.323989,0.244516,0.221413,0.360717
2026-06-09 13:58:07.251,2.799997,0.000000,0.000000,0.000000,0.311449,0.192893,0.378410,0.112505,0.190940,0.374175,0.211977,0.191917,0.376293,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:07.351,2.899997,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:07.451,2.999997,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226236,0.246658,0.323989,0.244516,0.221413,0.360717
2026-06-09 13:58:07.551,3.099997,0.000000,0.000000,0.000000,0.311449,0.192893,0.378410,0.112774,0.191870,0.374595,0.212111,0.192382,0.376503,0.171833,0.214288,0.356903,0.226236,0.246658,0.323989,0.244516,0.221413,0.360717
2026-06-09 13:58:07.651,3.199997,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244578,0.222322,0.361172
2026-06-09 13:58:07.751,3.299997,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:07.851,3.399997,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:07.951,3.499997,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226236,0.246658,0.323989,0.244516,0.221413,0.360717
2026-06-09 13:58:08.051,3.599997,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112774,0.191870,0.374595,0.212134,0.191917,0.376296,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:08.151,3.699996,0.000000,0.000000,0.000000,0.311449,0.192893,0.378410,0.112505,0.190940,0.374175,0.211977,0.191917,0.376293,0.172012,0.215199,0.357359,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:08.251,3.799996,0.000000,0.000000,0.000000,0.311540,0.191036,0.377582,0.112774,0.191870,0.374595,0.212157,0.191453,0.376089,0.172012,0.215199,0.357359,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:08.351,3.899996,0.000000,0.000000,0.000000,0.311495,0.191964,0.377996,0.112505,0.190940,0.374175,0.212000,0.191452,0.376086,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
2026-06-09 13:58:08.451,3.999996,0.000000,0.000000,0.000000,0.311540,0.191036,0.377582,0.112774,0.191870,0.374595,0.212157,0.191453,0.376089,0.171833,0.214288,0.356903,0.226329,0.247535,0.324509,0.244516,0.221413,0.360717
