Format Version,1.23,Take Name,MDC_data_1780977366,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-09 01:56:24 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-09 13:56:24.356,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,0.293329,0.359057,0.159220,0.349060,0.355228,0.113919,0.364931,0.349268,0.158090
2026-06-09 13:56:24.456,0.100000,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:24.556,0.200000,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:24.656,0.300000,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:24.756,0.400000,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:24.856,0.500000,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:24.956,0.599999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.056,0.699999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.156,0.799999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.256,0.899999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.356,0.999999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.456,1.099999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.556,1.199999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.656,1.299999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.756,1.399999,,,,,,,,,,,,,,,,,,,,,
2026-06-09 13:56:25.856,1.499999,0.000000,0.000000,0.000000,,,,,,,,,,0.293544,0.362808,0.157273,0.348977,0.357126,0.113100,0.365450,0.351142,0.157087
2026-06-09 13:56:25.956,1.599998,0.000000,0.000000,0.000000,,,,,,,,,,0.293544,0.362808,0.157273,0.348923,0.358025,0.112376,0.365425,0.351037,0.156440
2026-06-09 13:56:26.056,1.699998,0.000000,0.000000,0.000000,,,,,,,,,,0.293593,0.363012,0.158541,0.349001,0.357229,0.113733,0.365531,0.350258,0.157899
2026-06-09 13:56:26.156,1.799998,0.000000,0.000000,0.000000,,,,,,,,,,0.293544,0.362808,0.157273,0.348952,0.357024,0.112467,0.364820,0.351245,0.157760
2026-06-09 13:56:26.256,1.899998,0.000000,0.000000,0.000000,,,,,,,,,,0.293502,0.361921,0.158076,0.348977,0.357126,0.113100,0.366079,0.351038,0.156414
2026-06-09 13:56:26.356,1.999998,0.000000,0.000000,0.000000,,,,,,,,,,0.294170,0.362024,0.158686,0.349642,0.357230,0.113708,0.366130,0.351247,0.157708
2026-06-09 13:56:26.456,2.099998,0.000000,0.000000,0.000000,,,,,,,,,,0.294234,0.363013,0.158516,0.349642,0.357230,0.113708,0.366130,0.351247,0.157708
2026-06-09 13:56:26.556,2.199998,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.349587,0.358128,0.112983,0.366104,0.351143,0.157061
2026-06-09 13:56:26.656,2.299998,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.349617,0.357127,0.113075,0.366104,0.351143,0.157061
2026-06-09 13:56:26.756,2.399998,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.349587,0.358128,0.112983,0.366104,0.351143,0.157061
2026-06-09 13:56:26.856,2.499998,0.000000,0.000000,0.000000,,,,,,,,,,0.293568,0.362910,0.157907,0.348947,0.358127,0.113008,0.929846,0.060658,0.275031
2026-06-09 13:56:26.956,2.599998,0.000000,0.000000,0.000000,,,,,,,,,,0.293568,0.362910,0.157907,0.348312,0.357023,0.112492,0.366818,0.350155,0.157199
2026-06-09 13:56:27.056,2.699997,0.000000,0.000000,0.000000,,,,,,,,,,0.293568,0.362910,0.157907,0.348312,0.357023,0.112492,0.364845,0.351350,0.158407
2026-06-09 13:56:27.156,2.799997,0.000000,0.000000,0.000000,,,,,,,,,,0.293568,0.362910,0.157907,0.348947,0.358127,0.113008,0.366759,0.351143,0.157036
2026-06-09 13:56:27.256,2.899997,0.000000,0.000000,0.000000,,,,,,,,,,0.293568,0.362910,0.157907,0.348336,0.357126,0.113125,0.365475,0.351246,0.157734
2026-06-09 13:56:27.356,2.999997,0.000000,0.000000,0.000000,,,,,,,,,,0.293568,0.362910,0.157907,0.607628,0.422748,0.155036,0.929884,0.060817,0.276014
2026-06-09 13:56:27.456,3.099997,0.000000,0.000000,0.000000,,,,,,,,,,0.293568,0.362910,0.157907,0.350282,0.357230,0.113683,0.365500,0.351351,0.158381
2026-06-09 13:56:27.556,3.199997,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.349587,0.358128,0.112983,0.366759,0.351143,0.157036
2026-06-09 13:56:27.656,3.299997,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.349611,0.358230,0.113615,0.366759,0.351143,0.157036
2026-06-09 13:56:27.756,3.399997,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.349642,0.357230,0.113708,0.927564,0.060301,0.285524
2026-06-09 13:56:27.856,3.499997,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.349617,0.357127,0.113075,0.366130,0.351247,0.157708
2026-06-09 13:56:27.956,3.599997,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.349617,0.357127,0.113075,0.366104,0.351143,0.157061
2026-06-09 13:56:28.056,3.699996,0.000000,0.000000,0.000000,,,,,,,,,,0.294210,0.362911,0.157882,0.350226,0.358129,0.112958,0.366130,0.351247,0.157708
2026-06-09 13:56:28.156,3.799996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366130,0.351247,0.157708
2026-06-09 13:56:28.256,3.899996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366130,0.351247,0.157708
2026-06-09 13:56:28.356,3.999996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366187,0.350259,0.157873
2026-06-09 13:56:28.456,4.099996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366130,0.351247,0.157708
2026-06-09 13:56:28.556,4.199996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366130,0.351247,0.157708
2026-06-09 13:56:28.656,4.299996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366130,0.351247,0.157708
2026-06-09 13:56:28.756,4.399996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366843,0.350259,0.157848
2026-06-09 13:56:28.856,4.499996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350250,0.358231,0.113590,0.366759,0.351143,0.157036
2026-06-09 13:56:28.956,4.599996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366784,0.351248,0.157683
2026-06-09 13:56:29.056,4.699996,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350257,0.357128,0.113050,0.366784,0.351248,0.157683
2026-06-09 13:56:29.156,4.799995,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350257,0.357128,0.113050,0.366784,0.351248,0.157683
2026-06-09 13:56:29.256,4.899995,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366759,0.351143,0.157036
2026-06-09 13:56:29.356,4.999995,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350226,0.358129,0.112958,0.366759,0.351143,0.157036
2026-06-09 13:56:29.456,5.099995,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350865,0.358130,0.112933,0.366759,0.351143,0.157036
2026-06-09 13:56:29.556,5.199995,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350865,0.358130,0.112933,0.366759,0.351143,0.157036
2026-06-09 13:56:29.656,5.299995,0.000000,0.000000,0.000000,,,,,,,,,,0.294851,0.362912,0.157857,0.350865,0.358130,0.112933,0.366700,0.352132,0.156872
2026-06-09 13:56:29.756,5.399995,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.366784,0.351248,0.157683
2026-06-09 13:56:29.856,5.499995,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.366759,0.351143,0.157036
2026-06-09 13:56:29.956,5.599995,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.366759,0.351143,0.157036
2026-06-09 13:56:30.056,5.699995,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.366784,0.351248,0.157683
2026-06-09 13:56:30.156,5.799994,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.367414,0.351144,0.157010
2026-06-09 13:56:30.256,5.899994,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.366784,0.351248,0.157683
2026-06-09 13:56:30.356,5.999994,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.367439,0.351249,0.157657
2026-06-09 13:56:30.456,6.099994,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.367414,0.351144,0.157010
2026-06-09 13:56:30.556,6.199994,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.367414,0.351144,0.157010
2026-06-09 13:56:30.656,6.299994,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.367439,0.351249,0.157657
2026-06-09 13:56:30.756,6.399994,0.000000,0.000000,0.000000,,,,,,,,,,0.295493,0.362913,0.157831,0.350865,0.358130,0.112933,0.367414,0.351144,0.157010
