Format Version,1.23,Take Name,MDC_data_1780977540,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-09 01:59:17 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-09 13:59:17.470,0.000000,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:17.570,0.100000,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304837,-0.379714,0.068226
2026-06-09 13:59:17.670,0.200000,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172541,-0.396691,0.030983,0.272880,-0.384809,0.031504,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:17.770,0.300000,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:17.870,0.400000,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:17.970,0.500000,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.070,0.599999,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.170,0.699999,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.270,0.799999,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172541,-0.396691,0.030983,0.272880,-0.384809,0.031504,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.370,0.899999,0.000000,0.000000,0.000000,0.372527,-0.372909,0.032192,0.172920,-0.397368,0.031689,0.272723,-0.385139,0.031940,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.470,0.999999,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.232051,-0.383871,0.062581,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.570,1.099999,0.000000,0.000000,0.000000,0.372527,-0.372909,0.032192,0.172920,-0.397368,0.031689,0.272723,-0.385139,0.031940,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304837,-0.379714,0.068226
2026-06-09 13:59:18.670,1.199999,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.770,1.299999,0.000000,0.000000,0.000000,0.373289,-0.373653,0.032742,0.173298,-0.398045,0.032394,0.273293,-0.385849,0.032568,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.870,1.399999,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:18.970,1.499999,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.070,1.599998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.170,1.699998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.270,1.799998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.370,1.899998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.470,1.999998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.570,2.099998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.670,2.199998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.770,2.299998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.870,2.399998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:19.970,2.499998,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172541,-0.396691,0.030983,0.272880,-0.384809,0.031504,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304745,-0.379345,0.067886
2026-06-09 13:59:20.070,2.599998,0.000000,0.000000,0.000000,0.373289,-0.373653,0.032742,0.172920,-0.397368,0.031689,0.273104,-0.385511,0.032215,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.170,2.699997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231755,-0.383152,0.061904,0.282186,-0.356181,0.103213,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.270,2.799997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.370,2.899997,0.000000,0.000000,0.000000,0.373149,-0.372200,0.031307,0.172920,-0.397368,0.031689,0.273034,-0.384784,0.031498,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.470,2.999997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172541,-0.396691,0.030983,0.272880,-0.384809,0.031504,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.570,3.099997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.670,3.199997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172541,-0.396691,0.030983,0.272880,-0.384809,0.031504,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.770,3.299997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.870,3.399997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:20.970,3.499997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:21.070,3.599997,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.172920,-0.397368,0.031689,0.273069,-0.385147,0.031857,0.231623,-0.383635,0.061407,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:21.170,3.699996,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
2026-06-09 13:59:21.270,3.799996,0.000000,0.000000,0.000000,0.373219,-0.372927,0.032025,0.173298,-0.398045,0.032394,0.273259,-0.385486,0.032209,0.231755,-0.383152,0.061904,0.282406,-0.356961,0.103839,0.304654,-0.378976,0.067546
