Format Version,1.23,Take Name,MDC_data_1780977611,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-09 02:00:29 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-09 14:00:29.077,0.000000,0.000000,0.000000,0.000000,0.327409,-0.344897,-0.228975,0.126940,-0.342646,-0.234232,0.227174,-0.343771,-0.231604,0.185990,-0.356650,-0.205737,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.177,0.100000,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126940,-0.342646,-0.234232,0.227187,-0.343262,-0.231651,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.277,0.200000,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.127226,-0.343649,-0.234131,0.227330,-0.343764,-0.231600,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.377,0.300000,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.127226,-0.343649,-0.234131,0.227330,-0.343764,-0.231600,0.185990,-0.356650,-0.205737,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.477,0.400000,0.000000,0.000000,0.000000,0.327409,-0.344897,-0.228975,0.127226,-0.343649,-0.234131,0.227317,-0.344273,-0.231553,0.185990,-0.356650,-0.205737,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.577,0.500000,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126940,-0.342646,-0.234232,0.227187,-0.343262,-0.231651,0.186190,-0.357660,-0.205679,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.677,0.599999,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126940,-0.342646,-0.234232,0.227187,-0.343262,-0.231651,0.185791,-0.355641,-0.205796,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.777,0.699999,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.127226,-0.343649,-0.234131,0.227330,-0.343764,-0.231600,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.877,0.799999,0.000000,0.000000,0.000000,0.327409,-0.344897,-0.228975,0.126940,-0.342646,-0.234232,0.227174,-0.343771,-0.231604,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:29.977,0.899999,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126940,-0.342646,-0.234232,0.227187,-0.343262,-0.231651,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.077,0.999999,0.000000,0.000000,0.000000,0.327409,-0.344897,-0.228975,0.126654,-0.341643,-0.234333,0.227031,-0.343270,-0.231654,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.177,1.099999,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.127226,-0.343649,-0.234131,0.227330,-0.343764,-0.231600,0.185990,-0.356650,-0.205737,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.277,1.199999,0.000000,0.000000,0.000000,0.328095,-0.344873,-0.229152,0.127226,-0.343649,-0.234131,0.227660,-0.344261,-0.231641,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.377,1.299999,0.000000,0.000000,0.000000,0.327946,-0.343900,-0.229934,0.127226,-0.343649,-0.234131,0.227586,-0.343774,-0.232033,0.185990,-0.356650,-0.205737,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.477,1.399999,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.127226,-0.343649,-0.234131,0.227330,-0.343764,-0.231600,0.185990,-0.356650,-0.205737,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.577,1.499999,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.127226,-0.343649,-0.234131,0.227330,-0.343764,-0.231600,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.677,1.599998,0.000000,0.000000,0.000000,0.327409,-0.344897,-0.228975,0.126940,-0.342646,-0.234232,0.227174,-0.343771,-0.231604,0.185990,-0.356650,-0.205737,0.238456,-0.368964,-0.158893,-0.100850,-0.005381,-0.165166
2026-06-09 14:00:30.777,1.699998,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.127226,-0.343649,-0.234131,0.227330,-0.343764,-0.231600,0.185990,-0.356650,-0.205737,0.238456,-0.368964,-0.158893,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.877,1.799998,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126940,-0.342646,-0.234232,0.227187,-0.343262,-0.231651,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:30.977,1.899998,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126940,-0.342646,-0.234232,0.227187,-0.343262,-0.231651,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:31.077,1.999998,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126940,-0.342646,-0.234232,0.227187,-0.343262,-0.231651,0.185990,-0.356650,-0.205737,0.238337,-0.367947,-0.158876,0.258568,-0.364205,-0.202603
2026-06-09 14:00:31.177,2.099998,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126761,-0.342692,-0.234931,0.227098,-0.343285,-0.232001,0.185990,-0.356650,-0.205737,0.238168,-0.367990,-0.159538,0.258568,-0.364205,-0.202603
2026-06-09 14:00:31.277,2.199998,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.126475,-0.341689,-0.235034,0.226955,-0.342784,-0.232052,0.185990,-0.356650,-0.205737,0.238168,-0.367990,-0.159538,0.258568,-0.364205,-0.202603
2026-06-09 14:00:31.377,2.299998,0.000000,0.000000,0.000000,0.327435,-0.343878,-0.229070,0.127226,-0.343649,-0.234131,0.227330,-0.343764,-0.231600,0.186164,-0.356605,-0.205058,0.238337,-0.367947,-0.158876,0.258739,-0.364161,-0.201935
2026-06-09 14:00:31.477,2.399998,0.000000,0.000000,0.000000,0.327450,-0.343720,-0.226143,0.126543,-0.343513,-0.230978,0.226997,-0.343616,-0.228561,0.185500,-0.356472,-0.201988,0.238352,-0.367794,-0.156056,0.258754,-0.364007,-0.199092
2026-06-09 14:00:31.577,2.499998,0.000000,0.000000,0.000000,0.327775,-0.344648,-0.224680,0.127420,-0.343442,-0.230460,0.227598,-0.344045,-0.227570,0.185674,-0.356427,-0.201308,0.237979,-0.368791,-0.155245,0.258343,-0.365002,-0.198204
2026-06-09 14:00:31.677,2.599998,0.000000,0.000000,0.000000,0.328461,-0.344624,-0.224857,0.128134,-0.343257,-0.227667,0.228298,-0.343941,-0.226262,0.187073,-0.357279,-0.199396,0.239692,-0.367596,-0.153577,0.260017,-0.364867,-0.197215
2026-06-09 14:00:31.777,2.699997,0.000000,0.000000,0.000000,0.328301,-0.344511,-0.222622,0.128078,-0.344193,-0.226002,0.228190,-0.344352,-0.224312,0.186741,-0.357213,-0.197863,0.239772,-0.369524,-0.151477,0.259024,-0.364825,-0.195537
2026-06-09 14:00:31.877,2.799997,0.000000,0.000000,0.000000,0.327951,-0.344602,-0.223994,0.127900,-0.344239,-0.226699,0.227925,-0.344421,-0.225346,0.186568,-0.357258,-0.198542,0.239316,-0.368593,-0.152771,0.259520,-0.364846,-0.196376
2026-06-09 14:00:31.977,2.899997,0.000000,0.000000,0.000000,0.329323,-0.344555,-0.224348,0.129546,-0.343048,-0.225054,0.229434,-0.343801,-0.224701,0.188249,-0.356065,-0.196901,0.241524,-0.367418,-0.151931,0.261113,-0.363695,-0.195429
2026-06-09 14:00:32.077,2.999997,0.000000,0.000000,0.000000,0.329819,-0.345438,-0.222205,0.130022,-0.343845,-0.221301,0.229921,-0.344642,-0.221753,0.189139,-0.356896,-0.194141,0.243087,-0.369257,-0.149517,0.261706,-0.364579,-0.193386
2026-06-09 14:00:32.177,3.099997,0.000000,0.000000,0.000000,0.330695,-0.344507,-0.224702,0.131416,-0.343797,-0.221661,0.231056,-0.344152,-0.223181,0.190516,-0.357905,-0.195128,0.244730,-0.369276,-0.151348,0.263365,-0.364598,-0.195235
2026-06-09 14:00:32.277,3.199997,0.000000,0.000000,0.000000,0.334291,-0.343798,-0.233769,0.134062,-0.340823,-0.225792,0.234177,-0.342310,-0.229781,0.194698,-0.355919,-0.200013,0.250218,-0.368291,-0.156992,0.267263,-0.363750,-0.201998
2026-06-09 14:00:32.377,3.299997,0.000000,0.000000,0.000000,0.336729,-0.342775,-0.235958,0.136358,-0.340543,-0.222651,0.236544,-0.341659,-0.229305,0.197764,-0.355735,-0.199355,0.253598,-0.367113,-0.157164,0.269933,-0.363657,-0.202687
2026-06-09 14:00:32.477,3.399997,0.000000,0.000000,0.000000,0.337696,-0.343995,-0.240509,0.137385,-0.338599,-0.225469,0.237540,-0.341297,-0.232989,0.199784,-0.354765,-0.202148,0.256143,-0.366155,-0.160654,0.271858,-0.362725,-0.206107
2026-06-09 14:00:32.577,3.499997,0.000000,0.000000,0.000000,0.340621,-0.343311,-0.249437,0.141158,-0.337494,-0.227348,0.240889,-0.340403,-0.238393,0.204193,-0.352734,-0.206395,0.262382,-0.365656,-0.166514,0.276624,-0.361811,-0.212412
2026-06-09 14:00:32.677,3.599997,0.000000,0.000000,0.000000,0.342383,-0.342313,-0.251477,0.143104,-0.337306,-0.225600,0.242744,-0.339809,-0.238538,0.205908,-0.352596,-0.205381,0.265000,-0.365054,-0.167198,0.277792,-0.361809,-0.213428
