Format Version,1.23,Take Name,MDC_data_tag0_1780646114,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-05 05:55:31 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-05 17:55:31.797,0.000000,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:31.897,0.100000,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.108101,-0.366596,-0.247211,0.206787,-0.378812,-0.246774,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:31.997,0.200000,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.097,0.300000,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108107,-0.366775,-0.246596,0.206991,-0.378419,-0.246349,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.197,0.400000,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.297,0.500000,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.108101,-0.366596,-0.247211,0.206787,-0.378812,-0.246774,0.164300,-0.398994,-0.221270,0.216464,-0.416138,-0.175506,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.397,0.599999,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.216093,-0.415130,-0.175112,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.497,0.699999,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108151,-0.365591,-0.246979,0.207013,-0.377827,-0.246541,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.597,0.799999,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.697,0.899999,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.797,0.999999,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.897,1.099999,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.107465,-0.366530,-0.247185,0.206670,-0.378296,-0.246644,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:32.997,1.199999,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.108101,-0.366596,-0.247211,0.206787,-0.378812,-0.246774,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.097,1.299999,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.108101,-0.366596,-0.247211,0.206787,-0.378812,-0.246774,0.164455,-0.398016,-0.220983,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.197,1.399999,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.216464,-0.416138,-0.175506,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.297,1.499999,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.397,1.599998,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164455,-0.398016,-0.220983,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.497,1.699998,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.216464,-0.416138,-0.175506,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.597,1.799998,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.697,1.899998,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.108101,-0.366596,-0.247211,0.206787,-0.378812,-0.246774,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.797,1.999998,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108107,-0.366775,-0.246596,0.206991,-0.378419,-0.246349,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.897,2.099998,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:33.997,2.199998,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.097,2.299998,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.108101,-0.366596,-0.247211,0.206787,-0.378812,-0.246774,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.197,2.399998,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.297,2.499998,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.108101,-0.366596,-0.247211,0.206787,-0.378812,-0.246774,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.397,2.599998,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.497,2.699997,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.597,2.799997,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.697,2.899997,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.216093,-0.415130,-0.175112,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.797,2.999997,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.107465,-0.366530,-0.247185,0.206670,-0.378296,-0.246644,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.897,3.099997,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:34.997,3.199997,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.108101,-0.366596,-0.247211,0.206787,-0.378812,-0.246774,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:35.097,3.299997,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.215845,-0.416073,-0.175481,0.236158,-0.407283,-0.217949
2026-06-05 17:55:35.197,3.399997,0.000000,0.000000,0.000000,0.305874,-0.390063,-0.246102,0.108101,-0.366596,-0.247211,0.206987,-0.378330,-0.246657,0.164300,-0.398994,-0.221270,0.216464,-0.416138,-0.175506,0.236158,-0.407283,-0.217949
2026-06-05 17:55:35.297,3.499997,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.107465,-0.366530,-0.247185,0.206469,-0.378778,-0.246761,0.164300,-0.398994,-0.221270,0.216464,-0.416138,-0.175506,0.236158,-0.407283,-0.217949
2026-06-05 17:55:35.397,3.599997,0.000000,0.000000,0.000000,0.305473,-0.391027,-0.246336,0.107465,-0.366530,-0.247185,0.206469,-0.378778,-0.246761,0.164300,-0.398994,-0.221270,0.216464,-0.416138,-0.175506,0.236158,-0.407283,-0.217949
