Format Version,1.23,Take Name,MDC_data_1780977216,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-09 01:53:54 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-09 13:53:54.878,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:54.978,0.100000,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:55.078,0.200000,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:55.178,0.300000,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:55.278,0.400000,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244575,-0.358697,-0.176029,0.263964,-0.350194,-0.219847
2026-06-09 13:53:55.378,0.500000,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:55.478,0.599999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263869,-0.350714,-0.219919
2026-06-09 13:53:55.578,0.699999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:55.678,0.799999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:55.778,0.899999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:55.878,0.999999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:55.978,1.099999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.078,1.199999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.178,1.299999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.278,1.399999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.378,1.499999,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.478,1.599998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.578,1.699998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.678,1.799998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.778,1.899998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.878,1.999998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:56.978,2.099998,0.000000,0.000000,0.000000,,,,,,,,,,0.190580,-0.348243,-0.223259,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.078,2.199998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.178,2.299998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.278,2.399998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.378,2.499998,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.478,2.599998,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263964,-0.350194,-0.219847
2026-06-09 13:53:57.578,2.699997,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.678,2.799997,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.778,2.899997,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.878,2.999997,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:57.978,3.099997,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263964,-0.350194,-0.219847
2026-06-09 13:53:58.078,3.199997,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:58.178,3.299997,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263757,-0.351243,-0.219309
2026-06-09 13:53:58.278,3.399997,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263964,-0.350194,-0.219847
2026-06-09 13:53:58.378,3.499997,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263964,-0.350194,-0.219847
2026-06-09 13:53:58.478,3.599997,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263757,-0.351243,-0.219309
2026-06-09 13:53:58.578,3.699996,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263757,-0.351243,-0.219309
2026-06-09 13:53:58.678,3.799996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244496,-0.359217,-0.176139,0.263757,-0.351243,-0.219309
2026-06-09 13:53:58.778,3.899996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263757,-0.351243,-0.219309
2026-06-09 13:53:58.878,3.999996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:58.978,4.099996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263757,-0.351243,-0.219309
2026-06-09 13:53:59.078,4.199996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:53:59.178,4.299996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:59.278,4.399996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:59.378,4.499996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263757,-0.351243,-0.219309
2026-06-09 13:53:59.478,4.599996,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:59.578,4.699996,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:59.678,4.799995,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:59.778,4.899995,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:53:59.878,4.999995,0.000000,0.000000,0.000000,,,,,,,,,,0.190613,-0.347725,-0.223190,0.244417,-0.359736,-0.176250,0.263757,-0.351243,-0.219309
2026-06-09 13:53:59.978,5.099995,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
2026-06-09 13:54:00.078,5.199995,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244575,-0.358697,-0.176029,0.263775,-0.351234,-0.219992
2026-06-09 13:54:00.178,5.299995,0.000000,0.000000,0.000000,,,,,,,,,,0.190547,-0.348761,-0.223329,0.244417,-0.359736,-0.176250,0.263775,-0.351234,-0.219992
