Time (s),Series 1 Position (mm),Series 1 Velocity (mm/s),Series 2 Position (mm),Series 2 Velocity (mm/s),Series 3 Position (mm),Series 3 Velocity (mm/s)
0,200,0,202,0,200,0
0.4,200.05,0.25,202.04,0.22,200.04,0.19
0.4,200.2,0.49,202.17,0.44,200.15,0.38
0.3999999999999999,200.44,0.73,202.39,0.65,200.34,0.57
0.40000000000000013,200.78,0.98,202.7,0.86,200.61,0.76
0.3999999999999999,201.22,1.21,203.08,1.07,200.95,0.94
0.3999999999999999,201.75,1.44,203.55,1.28,201.36,1.12
0.3999999999999999,202.38,1.67,204.1,1.48,201.84,1.29
0.40000000000000036,203.09,1.89,204.73,1.67,202.39,1.46
0.3999999999999999,203.89,2.1,205.44,1.86,203.01,1.63
0.3999999999999999,204.77,2.3,206.22,2.04,203.69,1.78
0.40000000000000036,205.73,2.49,207.07,2.21,204.44,1.93
0.39999999999999947,206.76,2.67,207.99,2.37,205.24,2.07
0.40000000000000036,207.86,2.85,208.96,2.52,206.1,2.21
0.39999999999999947,209.04,3.01,210,2.66,207.01,2.33
0.40000000000000036,210.27,3.15,211.09,2.79,207.96,2.44
0.40000000000000036,211.56,3.29,212.23,2.91,208.96,2.55
0.39999999999999947,212.9,3.41,213.42,3.02,210,2.64
0.40000000000000036,214.29,3.52,214.65,3.11,211.07,2.73
0.39999999999999947,215.71,3.61,215.91,3.19,212.18,2.8
0.40000000000000036,217.17,3.69,217.2,3.26,213.31,2.86
0.40000000000000036,218.66,3.75,218.52,3.32,214.47,2.91
0.40000000000000036,220.17,3.79,219.86,3.36,215.64,2.94
0.3999999999999986,221.7,3.83,221.21,3.39,216.82,2.97
0.40000000000000036,223.23,3.84,222.57,3.4,218.01,2.98
0.40000000000000036,224.77,3.84,223.93,3.4,219.2,2.98
0.40000000000000036,226.3,3.83,225.29,3.39,220.39,2.97
0.40000000000000036,227.83,3.79,226.64,3.36,221.57,2.94
0.3999999999999986,229.34,3.75,227.98,3.32,222.75,2.91
0.40000000000000036,230.83,3.69,229.3,3.26,223.9,2.86
0.40000000000000036,232.29,3.61,230.59,3.19,225.03,2.8
0.40000000000000036,233.71,3.52,231.85,3.11,226.14,2.73
