Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.00,200.00,0.12,202.00,0.11,200.00,0.12
0.40,200.05,0.24,202.04,0.21,200.05,0.24
0.80,200.19,0.47,202.17,0.42,200.20,0.49
1.20,200.43,0.71,202.38,0.63,200.44,0.73
1.60,200.76,0.94,202.68,0.84,200.78,0.97
2.00,201.18,1.17,203.05,1.04,201.21,1.20
2.40,201.69,1.39,203.51,1.24,201.74,1.43
2.80,202.29,1.61,204.05,1.44,202.36,1.65
3.20,202.98,1.82,204.66,1.63,203.06,1.87
3.60,203.75,2.02,205.35,1.81,203.85,2.08
4.00,204.60,2.22,206.11,1.98,204.73,2.28
4.40,205.53,2.41,206.94,2.15,205.68,2.47
4.80,206.53,2.58,207.83,2.31,206.70,2.65
5.20,207.59,2.75,208.78,2.45,207.80,2.82
5.60,208.72,2.90,209.79,2.59,208.96,2.98
6.00,209.91,3.04,210.86,2.72,210.18,3.13
6.40,211.16,3.17,211.97,2.84,211.46,3.26
6.80,212.45,3.29,213.13,2.94,212.79,3.38
7.20,213.79,3.39,214.32,3.03,214.17,3.49
7.60,215.17,3.48,215.55,3.11,215.58,3.58
8.00,216.58,3.56,216.81,3.18,217.03,3.65
8.40,218.01,3.62,218.09,3.23,218.50,3.72
8.80,219.47,3.66,219.40,3.27,220.00,3.76
9.20,220.94,3.69,220.71,3.30,221.51,3.79
9.60,222.43,3.71,222.04,3.31,223.04,3.81
10.00,223.91,3.71,223.36,3.31,224.56,3.81
10.40,225.39,3.69,224.69,3.30,226.09,3.79
10.80,226.87,3.66,226.00,3.27,227.60,3.76
11.20,228.32,3.62,227.31,3.23,229.10,3.72
11.60,229.76,3.56,228.59,3.18,230.57,3.65
12.00,231.17,3.48,229.85,3.11,232.02,3.58
12.40,232.55,3.39,231.08,3.03,233.43,3.49
12.80,233.89,3.29,232.27,2.94,234.81,3.38
13.20,235.18,3.17,233.43,2.84,236.14,3.26
13.60,236.42,3.04,234.54,2.72,237.42,3.13
14.00,237.61,2.90,235.61,2.59,238.64,2.98
14.40,238.75,2.75,236.62,2.45,239.80,2.82
14.80,239.81,2.58,237.57,2.31,240.90,2.65
15.20,240.81,2.41,238.46,2.15,241.92,2.47
15.60,241.74,2.22,239.29,1.98,242.87,2.28
16.00,242.59,2.02,240.05,1.81,243.75,2.08
16.40,243.36,1.82,240.74,1.63,244.54,1.87
16.80,244.04,1.61,241.35,1.44,245.24,1.65
17.20,244.64,1.39,241.89,1.24,245.86,1.43
17.60,245.16,1.17,242.34,1.04,246.39,1.20
18.00,245.58,0.94,242.72,0.84,246.82,0.97
18.40,245.91,0.71,243.02,0.63,247.16,0.73
18.80,246.15,0.47,243.23,0.42,247.40,0.49
19.20,246.29,0.24,243.36,0.21,247.55,0.24
19.60,246.34,0.06,243.40,0.05,247.60,0.06
20.00,246.34,-1.78,243.40,-4.57,247.60,0.49
20.40,244.91,-4.02,239.74,-8.49,247.99,-3.74
20.80,243.12,-4.97,236.60,-4.73,244.61,-10.48
21.20,240.93,-4.32,235.96,-1.06,239.61,-10.02
21.60,239.66,-3.04,235.76,-1.68,236.59,-7.51
22.00,238.50,-3.30,234.62,-4.63,233.60,-7.82
22.40,237.02,-3.54,232.05,-7.60,230.34,-8.56
22.80,235.66,-3.11,228.53,-8.24,226.75,-9.28
23.20,234.53,-2.67,225.46,-6.61,222.91,-9.81
23.60,233.53,-3.20,223.25,-5.93,218.90,-10.27
24.00,231.97,-4.42,220.71,-7.26,214.70,-10.53
24.40,229.99,-5.09,217.44,-7.90,210.48,-9.79
24.80,227.89,-4.91,214.39,-7.13,206.87,-8.43
25.20,226.07,-4.56,211.74,-5.87,203.74,-8.12
25.60,224.24,-3.71,209.70,-5.20,200.37,-4.66
26.00,223.10,-2.74,207.58,-4.68,200.01,-0.46
26.40,222.05,-2.36,205.95,-3.21,200.00,-0.01
26.80,221.21,-1.52,205.01,-1.59,200.00,-0.00
27.20,220.84,-1.11,204.69,0.20,200.00,0.00
27.60,220.32,3.43,205.17,4.55,200.00,8.29
28.00,223.58,6.94,208.33,7.30,206.63,19.61
28.40,225.87,4.39,211.01,6.89,215.69,17.06
28.80,227.09,3.76,213.84,5.38,220.28,10.51
29.20,228.89,4.95,215.32,3.32,224.10,10.55
29.60,231.05,4.82,216.50,5.15,228.72,9.60
30.00,232.74,4.45,219.44,8.02,231.78,7.14
30.40,234.61,4.75,222.92,8.65,234.44,5.92
30.80,236.54,4.24,226.36,8.36,236.52,3.81
31.20,238.01,2.83,229.61,7.16,237.48,1.67
31.60,238.80,1.38,232.09,5.30,237.85,0.77
32.00,239.11,0.69,233.85,3.96,238.10,0.55
32.40,239.35,0.78,235.26,3.07,238.30,0.70
32.80,239.73,0.85,236.31,2.32,238.65,0.87
33.20,240.04,0.79,237.11,1.60,238.99,0.96
33.60,240.36,0.80,237.59,0.91,239.42,1.13
34.00,240.68,0.69,237.85,0.53,239.89,1.09
34.40,240.92,0.46,238.01,0.61,240.29,0.80
34.80,241.05,0.31,238.33,0.87,240.54,0.63
35.20,241.16,0.23,238.71,1.08,240.80,0.42
35.60,241.23,0.27,239.20,1.36,240.87,0.28
36.00,241.38,0.69,239.80,2.61,241.02,0.43
36.40,241.78,1.18,241.29,3.89,241.22,0.65
36.80,242.32,1.34,242.90,3.13,241.54,1.32
37.20,242.86,1.46,243.79,0.86,242.27,2.77
37.60,243.49,1.93,243.59,-1.51,243.76,3.97
38.00,244.40,2.59,242.58,-2.27,245.44,4.40
38.40,245.57,2.27,241.78,-0.91,247.28,3.18
38.80,246.22,1.06,241.85,0.84,247.99,0.90
39.20,246.42,-0.08,242.45,1.56,248.00,0.02
39.60,246.15,-0.10,243.10,1.18,248.00,-0.50
40.00,246.34,-1.55,243.40,-4.20,247.60,-0.01
40.40,244.91,-4.02,239.74,-8.49,247.99,-3.74
40.80,243.12,-4.97,236.60,-4.73,244.61,-10.48
41.20,240.93,-4.32,235.96,-1.06,239.61,-10.02
41.60,239.66,-3.04,235.76,-1.68,236.59,-7.51
42.00,238.50,-3.30,234.62,-4.63,233.60,-7.82
42.40,237.02,-3.54,232.05,-7.60,230.34,-8.56
42.80,235.66,-3.11,228.53,-8.24,226.75,-9.28
43.20,234.53,-2.67,225.46,-6.61,222.91,-9.81
43.60,233.53,-3.20,223.25,-5.93,218.90,-10.27
44.00,231.97,-4.42,220.71,-7.26,214.70,-10.53
44.40,229.99,-5.09,217.44,-7.90,210.48,-9.79
44.80,227.89,-4.91,214.39,-7.13,206.87,-8.43
45.20,226.07,-4.56,211.74,-5.87,203.74,-8.12
45.60,224.24,-3.71,209.70,-5.20,200.37,-4.66
46.00,223.10,-2.74,207.58,-4.68,200.01,-0.46
46.40,222.05,-2.36,205.95,-3.21,200.00,-0.01
46.80,221.21,-1.52,205.01,-1.59,200.00,-0.00
47.20,220.84,-1.11,204.69,0.20,200.00,0.00
