Format Version,1.23,Take Name,cam1_output_1779067784,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-18 11:29:44 AM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.0000,0.000000,0.000000,0.000000,0.177297,-0.603180,-0.288918,0.030724,-0.590814,-0.290528,0.104010,-0.596997,-0.289723,0.112438,-0.617178,-0.220296,0.109727,-0.627211,-0.269696
1,0.1000,0.000000,0.000000,0.000000,0.176957,-0.599147,-0.287848,0.030551,-0.585794,-0.289450,0.103754,-0.592471,-0.288649,0.112084,-0.614075,-0.220667,0.109636,-0.621194,-0.268583
2,0.2000,0.000000,0.000000,0.000000,0.176888,-0.597139,-0.287416,0.030482,-0.583786,-0.289018,0.103685,-0.590463,-0.288217,0.111930,-0.613061,-0.220333,0.109474,-0.620114,-0.269420
3,0.3000,0.000000,0.000000,0.000000,0.177054,-0.596152,-0.287408,0.030460,-0.582772,-0.289012,0.103757,-0.589462,-0.288210,0.111930,-0.613061,-0.220333,0.109474,-0.620114,-0.269420
4,0.4000,0.000000,0.000000,0.000000,0.177297,-0.603180,-0.288918,0.030703,-0.589801,-0.290522,0.104000,-0.596490,-0.289720,0.112257,-0.619095,-0.221746,0.109727,-0.627211,-0.269696
5,0.5000,0.000000,0.000000,0.000000,0.176888,-0.597139,-0.287416,0.030460,-0.582772,-0.289012,0.103674,-0.589956,-0.288214,0.112015,-0.612067,-0.220236,0.109474,-0.620114,-0.269420
6,0.6000,0.000000,0.000000,0.000000,0.176853,-0.596135,-0.287200,0.030447,-0.582782,-0.288803,0.103650,-0.589459,-0.288001,0.111895,-0.612057,-0.220117,0.109357,-0.620107,-0.269238
7,0.7000,0.000000,0.000000,0.000000,0.177297,-0.603180,-0.288918,0.030703,-0.589801,-0.290522,0.104000,-0.596490,-0.289720,0.112257,-0.619095,-0.221746,0.109717,-0.627142,-0.270931
