Format Version,1.23,Take Name,cam1_output_1779078950,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-18 02:35:51 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.0000,0.000000,0.000000,0.000000,0.189945,-0.602212,-0.301619,0.031481,-0.588187,-0.303356,0.110713,-0.595199,-0.302488,0.121428,-0.616845,-0.212347,0.118378,-0.626935,-0.278132
1,0.1000,0.000000,0.000000,0.000000,0.189980,-0.603216,-0.301835,0.031515,-0.589191,-0.303572,0.110747,-0.596203,-0.302704,0.121462,-0.617849,-0.212563,0.118413,-0.627939,-0.278348
2,0.2000,0.000000,0.000000,0.000000,0.189945,-0.602212,-0.301619,0.031459,-0.587173,-0.303350,0.110702,-0.594692,-0.302485,0.121428,-0.616845,-0.212347,0.118378,-0.626935,-0.278132
3,0.3000,0.000000,0.000000,0.000000,0.189806,-0.598196,-0.300756,0.031342,-0.584171,-0.302493,0.110574,-0.591183,-0.301625,0.121289,-0.612829,-0.211484,0.118240,-0.622919,-0.277269
4,0.4000,0.000000,0.000000,0.000000,0.189633,-0.593176,-0.299678,0.031169,-0.579151,-0.301415,0.110401,-0.586163,-0.300546,0.121116,-0.607809,-0.210405,0.118066,-0.617899,-0.276191
5,0.5000,0.000000,0.000000,0.000000,0.190049,-0.605223,-0.302267,0.031563,-0.590185,-0.303997,0.110806,-0.597704,-0.303132,0.121531,-0.619857,-0.212994,0.118482,-0.629947,-0.278780
6,0.6000,0.000000,0.000000,0.000000,0.189876,-0.600204,-0.301188,0.031411,-0.586179,-0.302925,0.110644,-0.593191,-0.302056,0.121358,-0.614837,-0.211915,0.118309,-0.624927,-0.277701
7,0.7000,0.000000,0.000000,0.000000,0.189737,-0.596188,-0.300325,0.031273,-0.582163,-0.302062,0.110505,-0.589175,-0.301193,0.121220,-0.610821,-0.211052,0.118170,-0.620911,-0.276838
