Time (s),Position U1 (mm),Velocity U1 (mm/s),Position U2 (mm),Velocity U2 (mm/s),Position U3 (mm),Velocity U3 (mm/s)
0.000000,200.000000,0.000000,202.000000,0.000000,200.000000,0.000000
2.000000,200.000000,0.693139,202.000000,5.728644,200.000000,0.525400
3.000000,200.693139,0.000000,207.728644,0.000000,200.525400,0.000000
4.000000,200.693139,47.306861,207.728644,-5.728644,200.525400,-0.525400
5.000000,248.000000,0.000000,202.000000,0.000000,200.000000,0.000000
6.000000,248.000000,0.000000,202.000000,0.000000,200.000000,48.000000
7.000000,248.000000,0.000000,202.000000,0.000000,248.000000,0.000000
8.000000,248.000000,0.000000,202.000000,46.000000,248.000000,0.000000
9.000000,248.000000,0.000000,248.000000,0.000000,248.000000,0.000000
10.000000,248.000000,-2.482190,248.000000,-3.567963,248.000000,-10.744090
11.000000,245.517810,0.000000,244.432037,0.000000,237.255910,0.000000
12.000000,245.517810,-7.255861,244.432037,-4.725855,237.255910,-7.993867
13.000000,238.261948,0.000000,239.706182,0.000000,229.262042,0.000000
14.000000,238.261948,3.306182,239.706182,8.211136,229.262042,-5.007930
15.000000,241.568130,0.000000,247.917318,0.000000,224.254112,0.000000
16.000000,241.568130,6.431870,247.917318,0.082682,224.254112,-24.254112
17.000000,248.000000,0.000000,248.000000,0.000000,200.000000,0.000000
18.000000,248.000000,-22.056311,248.000000,-2.154246,200.000000,0.810541
19.000000,225.943689,0.000000,245.845754,0.000000,200.810541,0.000000
20.000000,225.943689,-5.458297,245.845754,-2.041057,200.810541,9.120780
21.000000,220.485391,0.000000,243.804697,0.000000,209.931321,0.000000
22.000000,220.485391,-3.459213,243.804697,-10.002078,209.931321,12.197657
23.000000,217.026178,0.000000,233.802619,0.000000,222.128978,0.000000
24.000000,217.026178,4.697857,233.802619,2.224214,222.128978,19.620213
25.000000,221.724035,0.000000,236.026834,0.000000,241.749191,0.000000
26.000000,221.724035,-21.724035,236.026834,11.973166,241.749191,6.250809
27.000000,200.000000,0.000000,248.000000,0.000000,248.000000,0.000000
28.000000,200.000000,3.600463,248.000000,-6.991415,248.000000,-1.392693
29.000000,203.600463,0.000000,241.008585,0.000000,246.607307,0.000000
30.000000,203.600463,-3.600463,241.008585,-39.008585,246.607307,1.392693
31.000000,200.000000,0.000000,202.000000,0.000000,248.000000,0.000000
32.000000,200.000000,10.985002,202.000000,15.270349,248.000000,-4.071333
33.000000,210.985002,0.000000,217.270349,0.000000,243.928667,0.000000
34.000000,210.985002,7.168342,217.270349,0.520522,243.928667,1.577110
35.000000,218.153345,0.000000,217.790871,0.000000,245.505777,0.000000
36.000000,218.153345,12.562394,217.790871,-5.343448,245.505777,-1.876895
37.000000,230.715738,0.000000,212.447423,0.000000,243.628883,0.000000
38.000000,230.715738,4.598411,212.447423,-1.708811,243.628883,-7.943726
39.000000,235.314149,0.000000,210.738612,0.000000,235.685156,0.000000
40.000000,235.314149,9.434393,210.738612,-3.317645,235.685156,-11.081013
41.000000,244.748542,0.000000,207.420967,0.000000,224.604144,0.000000
42.000000,244.748542,-2.027880,207.420967,6.475932,224.604144,-6.311891
43.000000,242.720661,0.000000,213.896899,0.000000,218.292252,0.000000
44.000000,242.720661,-15.147815,213.896899,5.491504,218.292252,-16.864786
45.000000,227.572846,0.000000,219.388403,0.000000,201.427467,0.000000
46.000000,227.572846,-3.569958,219.388403,7.494017,201.427467,6.734580
47.000000,224.002888,0.000000,226.882420,0.000000,208.162047,0.000000
48.000000,224.002888,-11.621286,226.882420,-11.070349,208.162047,-0.538032
49.000000,212.381601,0.000000,215.812072,0.000000,207.624015,0.000000
50.000000,212.381601,-4.510070,215.812072,5.329848,207.624015,-6.990338
51.000000,207.871532,0.000000,221.141919,0.000000,200.633677,0.000000
52.000000,207.871532,-5.759411,221.141919,10.593225,200.633677,4.670168
53.000000,202.112120,0.000000,231.735145,0.000000,205.303845,0.000000
54.000000,202.112120,-2.112120,231.735145,16.264855,205.303845,-5.303845
55.000000,200.000000,0.000000,248.000000,0.000000,200.000000,0.000000
56.000000,200.000000,0.000000,248.000000,-9.200000,200.000000,0.000000
61.000000,200.000000,0.000000,202.000000,0.000000,200.000000,0.000000
