Format Version,1.23,Take Name,HighAccuracy_10mm_1779431891,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-22 04:38:13 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-22 16:38:15.618,0.000000,0.000000,0.000000,0.000000,0.048711,-0.081625,-0.254956,-0.107636,-0.082703,-0.255985,-0.029462,-0.082164,-0.255471,-0.016980,-0.110656,-0.188942,-0.017846,-0.114806,-0.235195
2026-05-22 16:38:15.718,0.100000,0.000000,0.000000,0.000000,0.048705,-0.082558,-0.255561,-0.107875,-0.083640,-0.256591,-0.029585,-0.083099,-0.256076,-0.017261,-0.113651,-0.189520,-0.018038,-0.116778,-0.235737
2026-05-22 16:38:15.818,0.200000,0.000000,0.000000,0.000000,0.048896,-0.080586,-0.255020,-0.107684,-0.081668,-0.256050,-0.029394,-0.081127,-0.255535,-0.017070,-0.111678,-0.188979,-0.017846,-0.114806,-0.235195
2026-05-22 16:38:15.918,0.300000,0.000000,0.000000,0.000000,0.048801,-0.081572,-0.255290,-0.107780,-0.082654,-0.256321,-0.029489,-0.082113,-0.255806,-0.017076,-0.111642,-0.189213,-0.017942,-0.115792,-0.235466
2026-05-22 16:38:16.018,0.400000,0.000000,0.000000,0.000000,0.048801,-0.081572,-0.255290,-0.107780,-0.082654,-0.256321,-0.029489,-0.082113,-0.255806,-0.017076,-0.111642,-0.189213,-0.017942,-0.115792,-0.235466
2026-05-22 16:38:16.118,0.500000,0.000000,0.000000,0.000000,0.048801,-0.081572,-0.255290,-0.107780,-0.082654,-0.256321,-0.029489,-0.082113,-0.255806,-0.017076,-0.111642,-0.189213,-0.017942,-0.115792,-0.235466
2026-05-22 16:38:16.218,0.600000,0.000000,0.000000,0.000000,0.048519,-0.083597,-0.255498,-0.107875,-0.083640,-0.256591,-0.029678,-0.083619,-0.256044,-0.017172,-0.112628,-0.189484,-0.018038,-0.116778,-0.235737
