Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-22 16:45:28.165,0.000560,200.000,202.000,200.000
2026-05-22 16:45:31.188,3.023867,200.000,202.000,200.000
2026-05-22 16:45:33.708,5.543691,200.693,207.729,200.525
2026-05-22 16:45:36.225,8.061141,200.693,207.729,200.525
2026-05-22 16:45:38.754,10.590082,248.000,202.000,200.000
2026-05-22 16:45:41.271,13.107139,248.000,202.000,200.000
2026-05-22 16:45:43.784,15.619451,248.000,202.000,248.000
2026-05-22 16:45:46.304,18.139617,248.000,202.000,248.000
2026-05-22 16:45:48.827,20.662481,248.000,248.000,248.000
2026-05-22 16:45:51.342,23.178288,248.000,248.000,248.000
2026-05-22 16:45:53.878,25.714119,245.518,244.432,237.256
2026-05-22 16:45:56.399,28.234834,245.518,244.432,237.256
2026-05-22 16:45:58.919,30.754324,238.262,239.706,229.262
2026-05-22 16:46:01.440,33.275555,238.262,239.706,229.262
2026-05-22 16:46:03.954,35.789316,241.568,247.917,224.254
2026-05-22 16:46:06.478,38.313320,241.568,247.917,224.254
2026-05-22 16:46:08.993,40.834279,248.000,248.000,200.000
2026-05-22 16:46:11.512,43.347787,248.000,248.000,200.000
2026-05-22 16:46:14.039,45.874790,225.944,245.846,200.811
2026-05-22 16:46:16.550,48.386110,225.944,245.846,200.811
2026-05-22 16:46:19.078,50.913320,220.485,243.805,209.931
2026-05-22 16:46:21.592,53.427317,220.485,243.805,209.931
2026-05-22 16:46:24.112,55.947420,217.026,233.803,222.129
2026-05-22 16:46:26.631,58.466702,217.026,233.803,222.129
2026-05-22 16:46:29.156,60.991939,221.724,236.027,241.749
2026-05-22 16:46:31.671,63.506969,221.724,236.027,241.749
2026-05-22 16:46:34.189,66.025216,200.000,248.000,248.000
2026-05-22 16:46:36.711,68.546237,200.000,248.000,248.000
2026-05-22 16:46:39.230,71.065795,203.600,241.009,246.607
2026-05-22 16:46:41.750,73.585252,203.600,241.009,246.607
2026-05-22 16:46:44.274,76.110114,200.000,202.000,248.000
2026-05-22 16:46:46.789,78.625005,200.000,202.000,248.000
2026-05-22 16:46:49.319,81.154301,210.985,217.270,243.929
2026-05-22 16:46:51.836,83.671824,210.985,217.270,243.929
2026-05-22 16:46:54.354,86.189801,218.153,217.791,245.506
2026-05-22 16:46:56.868,88.704031,218.153,217.791,245.506
2026-05-22 16:46:59.389,91.225096,230.716,212.447,243.629
2026-05-22 16:47:01.908,93.743998,230.716,212.447,243.629
2026-05-22 16:47:04.437,96.272407,235.314,210.739,235.685
2026-05-22 16:47:06.948,98.783779,235.314,210.739,235.685
2026-05-22 16:47:09.460,101.295889,244.749,207.421,224.604
2026-05-22 16:47:11.994,103.829547,244.749,207.421,224.604
2026-05-22 16:47:14.504,106.340696,242.721,213.897,218.292
2026-05-22 16:47:17.020,108.855940,242.721,213.897,218.292
2026-05-22 16:47:19.553,111.388282,227.573,219.388,201.427
2026-05-22 16:47:22.067,113.902772,227.573,219.388,201.427
2026-05-22 16:47:24.587,116.422070,224.003,226.882,208.162
2026-05-22 16:47:27.111,118.947061,224.003,226.882,208.162
2026-05-22 16:47:29.631,121.466885,212.382,215.812,207.624
2026-05-22 16:47:32.146,123.986780,212.382,215.812,207.624
2026-05-22 16:47:34.667,126.502231,207.872,221.142,200.634
2026-05-22 16:47:37.190,129.025464,207.872,221.142,200.634
2026-05-22 16:47:39.706,131.541394,202.112,231.735,205.304
2026-05-22 16:47:42.226,134.066001,202.112,231.735,205.304
2026-05-22 16:47:44.752,136.587084,200.000,248.000,200.000
2026-05-22 16:47:47.270,139.105487,200.000,248.000,200.000
2026-05-22 16:47:49.784,141.619886,200.000,202.000,200.000
