Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-22 16:38:16.216,0.001031,200.000,202.000,200.000
2026-05-22 16:38:19.241,3.025056,200.000,202.000,200.000
2026-05-22 16:38:21.752,5.540312,200.693,207.729,200.525
2026-05-22 16:38:24.276,8.060628,200.693,207.729,200.525
2026-05-22 16:38:26.796,10.580867,248.000,202.000,200.000
2026-05-22 16:38:29.306,13.100879,248.000,202.000,200.000
2026-05-22 16:38:31.836,15.620338,248.000,202.000,248.000
2026-05-22 16:38:34.353,18.141698,248.000,202.000,248.000
2026-05-22 16:38:36.873,20.657212,248.000,248.000,248.000
2026-05-22 16:38:39.396,23.180372,248.000,248.000,248.000
2026-05-22 16:38:41.910,25.694785,245.518,244.432,237.256
2026-05-22 16:38:44.437,28.220946,245.518,244.432,237.256
2026-05-22 16:38:46.955,30.739726,238.262,239.706,229.262
2026-05-22 16:38:49.476,33.260304,238.262,239.706,229.262
2026-05-22 16:38:51.990,35.778030,241.568,247.917,224.254
2026-05-22 16:38:54.502,38.285999,241.568,247.917,224.254
2026-05-22 16:38:57.021,40.805830,248.000,248.000,200.000
2026-05-22 16:38:59.540,43.324727,248.000,248.000,200.000
2026-05-22 16:39:02.069,45.853686,225.944,245.846,200.811
2026-05-22 16:39:04.590,48.373996,225.944,245.846,200.811
2026-05-22 16:39:07.115,50.899469,220.485,243.805,209.931
2026-05-22 16:39:09.633,53.417694,220.485,243.805,209.931
2026-05-22 16:39:12.154,55.938196,217.026,233.803,222.129
2026-05-22 16:39:14.674,58.458842,217.026,233.803,222.129
2026-05-22 16:39:17.192,60.976944,221.724,236.027,241.749
2026-05-22 16:39:19.701,63.485055,221.724,236.027,241.749
2026-05-22 16:39:22.220,66.003840,200.000,248.000,248.000
2026-05-22 16:39:24.747,68.531600,200.000,248.000,248.000
2026-05-22 16:39:27.272,71.056240,203.600,241.009,246.607
2026-05-22 16:39:29.787,73.571804,203.600,241.009,246.607
2026-05-22 16:39:32.312,76.096725,200.000,202.000,248.000
2026-05-22 16:39:34.820,78.604626,200.000,202.000,248.000
2026-05-22 16:39:37.347,81.131592,210.985,217.270,243.929
2026-05-22 16:39:39.866,83.649961,210.985,217.270,243.929
2026-05-22 16:39:42.386,86.169933,218.153,217.791,245.506
2026-05-22 16:39:44.906,88.690671,218.153,217.791,245.506
2026-05-22 16:39:47.418,91.202757,230.716,212.447,243.629
2026-05-22 16:39:49.939,93.723058,230.716,212.447,243.629
2026-05-22 16:39:52.471,96.254831,235.314,210.739,235.685
2026-05-22 16:39:54.986,98.774353,235.314,210.739,235.685
2026-05-22 16:39:57.506,101.294990,244.749,207.421,224.604
2026-05-22 16:40:00.025,103.809066,244.749,207.421,224.604
2026-05-22 16:40:02.546,106.330495,242.721,213.897,218.292
2026-05-22 16:40:05.069,108.852795,242.721,213.897,218.292
2026-05-22 16:40:07.585,111.369535,227.573,219.388,201.427
2026-05-22 16:40:10.105,113.888873,227.573,219.388,201.427
2026-05-22 16:40:12.624,116.408042,224.003,226.882,208.162
2026-05-22 16:40:15.136,118.920546,224.003,226.882,208.162
2026-05-22 16:40:17.656,121.440429,212.382,215.812,207.624
2026-05-22 16:40:20.175,123.959492,212.382,215.812,207.624
2026-05-22 16:40:22.703,126.487313,207.872,221.142,200.634
2026-05-22 16:40:25.223,129.007409,207.872,221.142,200.634
2026-05-22 16:40:27.743,131.526783,202.112,231.735,205.304
2026-05-22 16:40:30.266,134.050356,202.112,231.735,205.304
2026-05-22 16:40:32.787,136.571742,200.000,248.000,200.000
2026-05-22 16:40:35.302,139.086576,200.000,248.000,200.000
2026-05-22 16:40:37.823,141.610713,200.000,202.000,200.000
