Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-22 16:28:06.563,0.003993,200.000,202.000,200.000
2026-05-22 16:28:09.588,3.025288,200.000,202.000,200.000
2026-05-22 16:28:12.107,5.544657,200.693,207.729,200.525
2026-05-22 16:28:14.627,8.064739,200.693,207.729,200.525
2026-05-22 16:28:17.149,10.586950,248.000,202.000,200.000
2026-05-22 16:28:19.667,13.104046,248.000,202.000,200.000
2026-05-22 16:28:22.188,15.625084,248.000,202.000,248.000
2026-05-22 16:28:24.702,18.139550,248.000,202.000,248.000
2026-05-22 16:28:27.226,20.663914,248.000,248.000,248.000
2026-05-22 16:28:29.746,23.183164,248.000,248.000,248.000
2026-05-22 16:28:32.266,25.703057,245.518,244.432,237.256
2026-05-22 16:28:34.788,28.225240,245.518,244.432,237.256
2026-05-22 16:28:37.307,30.744484,238.262,239.706,229.262
2026-05-22 16:28:39.826,33.263194,238.262,239.706,229.262
2026-05-22 16:28:42.344,35.781507,241.568,247.917,224.254
2026-05-22 16:28:44.860,38.297497,241.568,247.917,224.254
2026-05-22 16:28:47.384,40.821390,248.000,248.000,200.000
2026-05-22 16:28:49.903,43.340604,248.000,248.000,200.000
2026-05-22 16:28:52.419,45.861998,225.944,245.846,200.811
2026-05-22 16:28:54.944,48.381404,225.944,245.846,200.811
2026-05-22 16:28:57.464,50.901269,220.485,243.805,209.931
2026-05-22 16:28:59.984,53.421758,220.485,243.805,209.931
2026-05-22 16:29:02.504,55.941384,217.026,233.803,222.129
2026-05-22 16:29:05.018,58.461357,217.026,233.803,222.129
2026-05-22 16:29:07.546,60.983546,221.724,236.027,241.749
2026-05-22 16:29:10.058,63.500731,221.724,236.027,241.749
2026-05-22 16:29:12.585,66.022267,200.000,248.000,248.000
2026-05-22 16:29:15.103,68.540225,200.000,248.000,248.000
2026-05-22 16:29:17.624,71.060944,203.600,241.009,246.607
2026-05-22 16:29:20.143,73.580435,203.600,241.009,246.607
2026-05-22 16:29:22.665,76.102571,200.000,202.000,248.000
2026-05-22 16:29:25.177,78.618341,200.000,202.000,248.000
2026-05-22 16:29:27.697,81.138015,210.985,217.270,243.929
2026-05-22 16:29:30.217,83.653935,210.985,217.270,243.929
2026-05-22 16:29:32.743,86.180162,218.153,217.791,245.506
2026-05-22 16:29:35.256,88.696925,218.153,217.791,245.506
2026-05-22 16:29:37.782,91.219065,230.716,212.447,243.629
2026-05-22 16:29:40.302,93.738949,230.716,212.447,243.629
2026-05-22 16:29:42.822,96.259514,235.314,210.739,235.685
2026-05-22 16:29:45.335,98.771755,235.314,210.739,235.685
2026-05-22 16:29:47.860,101.297582,244.749,207.421,224.604
2026-05-22 16:29:50.375,103.817648,244.749,207.421,224.604
2026-05-22 16:29:52.900,106.337271,242.721,213.897,218.292
2026-05-22 16:29:55.415,108.857377,242.721,213.897,218.292
2026-05-22 16:29:57.935,111.376785,227.573,219.388,201.427
2026-05-22 16:30:00.454,113.896541,227.573,219.388,201.427
2026-05-22 16:30:02.974,116.411475,224.003,226.882,208.162
2026-05-22 16:30:05.499,118.936033,224.003,226.882,208.162
2026-05-22 16:30:08.018,121.455420,212.382,215.812,207.624
2026-05-22 16:30:10.533,123.970304,212.382,215.812,207.624
2026-05-22 16:30:13.061,126.497518,207.872,221.142,200.634
2026-05-22 16:30:15.578,129.014673,207.872,221.142,200.634
2026-05-22 16:30:18.099,131.535993,202.112,231.735,205.304
2026-05-22 16:30:20.618,134.055163,202.112,231.735,205.304
2026-05-22 16:30:23.133,136.569579,200.000,248.000,200.000
2026-05-22 16:30:25.652,139.094439,200.000,248.000,200.000
2026-05-22 16:30:28.172,141.612737,200.000,202.000,200.000
