Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-25 15:47:35.491,0.000641,200.000,202.000,200.000
2026-05-25 15:47:38.509,3.018585,200.000,202.000,200.000
2026-05-25 15:47:41.530,6.039598,200.693,207.729,200.525
2026-05-25 15:47:44.540,9.049518,200.693,207.729,200.525
2026-05-25 15:47:47.563,12.073030,248.000,202.000,200.000
2026-05-25 15:47:50.601,15.110353,248.000,202.000,200.000
2026-05-25 15:47:53.613,18.122341,248.000,202.000,248.000
2026-05-25 15:47:56.649,21.158339,248.000,202.000,248.000
2026-05-25 15:47:59.673,24.182925,248.000,248.000,248.000
2026-05-25 15:48:02.696,27.205369,248.000,248.000,248.000
2026-05-25 15:48:05.719,30.228748,245.518,244.432,237.256
2026-05-25 15:48:08.743,33.252144,245.518,244.432,237.256
2026-05-25 15:48:11.768,36.277180,238.262,239.706,229.262
2026-05-25 15:48:14.791,39.300170,238.262,239.706,229.262
2026-05-25 15:48:17.801,42.310032,241.568,247.917,224.254
2026-05-25 15:48:20.827,45.336414,241.568,247.917,224.254
2026-05-25 15:48:23.849,48.358334,248.000,248.000,200.000
2026-05-25 15:48:26.886,51.395538,248.000,248.000,200.000
2026-05-25 15:48:29.910,54.419294,225.944,245.846,200.811
2026-05-25 15:48:32.929,57.441833,225.944,245.846,200.811
2026-05-25 15:48:35.944,60.453682,220.485,243.805,209.931
2026-05-25 15:48:38.981,63.490170,220.485,243.805,209.931
2026-05-25 15:48:41.993,66.501968,217.026,233.803,222.129
2026-05-25 15:48:45.025,69.538628,217.026,233.803,222.129
2026-05-25 15:48:48.052,72.561448,221.724,236.027,241.749
2026-05-25 15:48:51.076,75.584929,221.724,236.027,241.749
2026-05-25 15:48:54.099,78.608685,200.000,248.000,248.000
2026-05-25 15:48:57.120,81.633884,200.000,248.000,248.000
2026-05-25 15:49:00.134,84.643349,203.600,241.009,246.607
2026-05-25 15:49:03.167,87.680646,203.600,241.009,246.607
2026-05-25 15:49:06.193,90.702438,200.000,202.000,248.000
2026-05-25 15:49:09.218,93.727700,200.000,202.000,248.000
2026-05-25 15:49:12.232,96.740775,210.985,217.270,243.929
2026-05-25 15:49:15.250,99.759120,210.985,217.270,243.929
2026-05-25 15:49:18.277,102.786669,218.153,217.791,245.506
2026-05-25 15:49:21.310,105.823373,218.153,217.791,245.506
2026-05-25 15:49:24.328,108.836763,230.716,212.447,243.629
2026-05-25 15:49:27.349,111.858430,230.716,212.447,243.629
2026-05-25 15:49:30.385,114.893782,235.314,210.739,235.685
2026-05-25 15:49:33.396,117.904886,235.314,210.739,235.685
2026-05-25 15:49:36.427,120.936383,244.749,207.421,224.604
2026-05-25 15:49:39.442,123.951179,244.749,207.421,224.604
2026-05-25 15:49:42.459,126.968458,242.721,213.897,218.292
2026-05-25 15:49:45.478,129.986978,242.721,213.897,218.292
2026-05-25 15:49:48.494,133.003268,227.573,219.388,201.427
2026-05-25 15:49:51.517,136.026564,227.573,219.388,201.427
2026-05-25 15:49:54.529,139.037724,224.003,226.882,208.162
2026-05-25 15:49:57.565,142.073941,224.003,226.882,208.162
2026-05-25 15:50:00.577,145.086264,212.382,215.812,207.624
2026-05-25 15:50:03.600,148.108712,212.382,215.812,207.624
2026-05-25 15:50:06.624,151.132830,207.872,221.142,200.634
2026-05-25 15:50:09.643,154.152389,207.872,221.142,200.634
2026-05-25 15:50:12.666,157.175358,202.112,231.735,205.304
2026-05-25 15:50:15.689,160.197638,202.112,231.735,205.304
2026-05-25 15:50:18.715,163.223650,200.000,248.000,200.000
2026-05-25 15:50:21.743,166.252372,200.000,248.000,200.000
2026-05-25 15:50:24.780,169.289111,200.000,202.000,200.000
