Format Version,1.23,Take Name,MDC_data_1779863428,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-27 04:30:57 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-27 16:30:57.114,0.000000,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.126044,-0.100164,-0.326483,-0.026628,-0.098729,-0.325796,0.005282,-0.123674,-0.303676,-0.031907,-0.128529,-0.260275,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:57.214,0.100000,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.125402,-0.099250,-0.325862,-0.026307,-0.098272,-0.325485,0.005282,-0.123674,-0.303676,-0.031907,-0.128529,-0.260275,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:57.314,0.200000,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.126137,-0.099130,-0.326562,-0.026675,-0.098212,-0.325836,0.006098,-0.122671,-0.303737,-0.031907,-0.128529,-0.260275,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:57.414,0.300000,0.000000,0.000000,0.000000,0.072997,-0.096271,-0.325185,-0.126137,-0.099130,-0.326562,-0.026570,-0.097700,-0.325874,0.005985,-0.123694,-0.303691,-0.031854,-0.127515,-0.260252,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:57.514,0.400000,0.000000,0.000000,0.000000,0.072997,-0.096271,-0.325185,-0.126137,-0.099130,-0.326562,-0.026570,-0.097700,-0.325874,0.005282,-0.123674,-0.303676,-0.031854,-0.127515,-0.260252,-0.053841,-0.125114,-0.302232
2026-05-27 16:30:57.614,0.500000,0.000000,0.000000,0.000000,0.073743,-0.096392,-0.324475,-0.126137,-0.099130,-0.326562,-0.026197,-0.097761,-0.325519,0.005394,-0.122652,-0.303721,-0.031854,-0.127515,-0.260252,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:57.714,0.599999,0.000000,0.000000,0.000000,0.073941,-0.095267,-0.325277,-0.126044,-0.100164,-0.326483,-0.026052,-0.097715,-0.325880,0.005985,-0.123694,-0.303691,-0.031907,-0.128529,-0.260275,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:57.814,0.699999,0.000000,0.000000,0.000000,0.072997,-0.096271,-0.325185,-0.125310,-0.100283,-0.325784,-0.026156,-0.098277,-0.325484,0.005282,-0.123674,-0.303676,-0.031841,-0.127612,-0.259553,-0.053841,-0.125114,-0.302232
2026-05-27 16:30:57.914,0.799999,0.000000,0.000000,0.000000,0.073531,-0.097415,-0.324400,-0.126044,-0.100164,-0.326483,-0.026256,-0.098790,-0.325442,0.005985,-0.123694,-0.303691,-0.031907,-0.128529,-0.260275,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:58.014,0.899999,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.125402,-0.099250,-0.325862,-0.026307,-0.098272,-0.325485,0.005282,-0.123674,-0.303676,-0.031960,-0.129544,-0.260299,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:58.114,0.999999,0.000000,0.000000,0.000000,0.073743,-0.096392,-0.324475,-0.126137,-0.099130,-0.326562,-0.026197,-0.097761,-0.325519,0.005394,-0.122652,-0.303721,-0.031788,-0.126597,-0.259529,-0.053804,-0.123064,-0.302319
2026-05-27 16:30:58.214,1.099999,0.000000,0.000000,0.000000,0.072577,-0.098318,-0.325033,-0.125402,-0.099250,-0.325862,-0.026412,-0.098784,-0.325447,0.005394,-0.122652,-0.303721,-0.031841,-0.127612,-0.259553,-0.053804,-0.123064,-0.302319
2026-05-27 16:30:58.314,1.199999,0.000000,0.000000,0.000000,0.073729,-0.096291,-0.325201,-0.126137,-0.099130,-0.326562,-0.026204,-0.097711,-0.325882,0.005282,-0.123674,-0.303676,-0.031841,-0.127612,-0.259553,-0.053841,-0.125114,-0.302232
2026-05-27 16:30:58.414,1.299999,0.000000,0.000000,0.000000,0.073518,-0.097315,-0.325125,-0.126044,-0.100164,-0.326483,-0.026263,-0.098739,-0.325804,0.005985,-0.123694,-0.303691,-0.031788,-0.126597,-0.259529,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:58.514,1.399999,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.125310,-0.100283,-0.325784,-0.026261,-0.098789,-0.325446,0.005282,-0.123674,-0.303676,-0.031894,-0.128626,-0.259578,-0.053841,-0.125114,-0.302232
2026-05-27 16:30:58.614,1.499999,0.000000,0.000000,0.000000,0.072997,-0.096271,-0.325185,-0.126137,-0.099130,-0.326562,-0.026570,-0.097700,-0.325874,0.005985,-0.123694,-0.303691,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:58.714,1.599998,0.000000,0.000000,0.000000,0.073729,-0.096291,-0.325201,-0.126137,-0.099130,-0.326562,-0.026204,-0.097711,-0.325882,0.005985,-0.123694,-0.303691,-0.031788,-0.126597,-0.259529,-0.053841,-0.125114,-0.302232
2026-05-27 16:30:58.814,1.699998,0.000000,0.000000,0.000000,0.072577,-0.098318,-0.325033,-0.126044,-0.100164,-0.326483,-0.026733,-0.099241,-0.325758,0.005394,-0.122652,-0.303721,-0.031894,-0.128626,-0.259578,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:58.914,1.799998,0.000000,0.000000,0.000000,0.072997,-0.096271,-0.325185,-0.126137,-0.099130,-0.326562,-0.026570,-0.097700,-0.325874,0.005985,-0.123694,-0.303691,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:59.014,1.899998,0.000000,0.000000,0.000000,0.072997,-0.096271,-0.325185,-0.126044,-0.100164,-0.326483,-0.026523,-0.098217,-0.325834,0.005394,-0.122652,-0.303721,-0.031894,-0.128626,-0.259578,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:59.114,1.999998,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.126137,-0.099130,-0.326562,-0.026675,-0.098212,-0.325836,0.006098,-0.122671,-0.303737,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:59.214,2.099998,0.000000,0.000000,0.000000,0.073531,-0.097415,-0.324400,-0.125402,-0.099250,-0.325862,-0.025935,-0.098333,-0.325131,0.005282,-0.123674,-0.303676,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:59.314,2.199998,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.126044,-0.100164,-0.326483,-0.026628,-0.098729,-0.325796,0.006098,-0.122671,-0.303737,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:59.414,2.299998,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.126137,-0.099130,-0.326562,-0.026675,-0.098212,-0.325836,0.005985,-0.123694,-0.303691,-0.031894,-0.128626,-0.259578,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:59.514,2.399998,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.125310,-0.100283,-0.325784,-0.026261,-0.098789,-0.325446,0.005985,-0.123694,-0.303691,-0.031894,-0.128626,-0.259578,-0.053804,-0.123064,-0.302319
2026-05-27 16:30:59.614,2.499998,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.125402,-0.099250,-0.325862,-0.026307,-0.098272,-0.325485,0.006098,-0.122671,-0.303737,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:59.714,2.599998,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.126137,-0.099130,-0.326562,-0.026675,-0.098212,-0.325836,0.005985,-0.123694,-0.303691,-0.031841,-0.127612,-0.259553,-0.053841,-0.125114,-0.302232
2026-05-27 16:30:59.814,2.699997,0.000000,0.000000,0.000000,0.072997,-0.096271,-0.325185,-0.125310,-0.100283,-0.325784,-0.026156,-0.098277,-0.325484,0.005985,-0.123694,-0.303691,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:30:59.914,2.799997,0.000000,0.000000,0.000000,0.073207,-0.095247,-0.325261,-0.126044,-0.100164,-0.326483,-0.026418,-0.097705,-0.325872,0.006098,-0.122671,-0.303737,-0.031841,-0.127612,-0.259553,-0.053804,-0.123064,-0.302319
2026-05-27 16:31:00.014,2.899997,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.126044,-0.100164,-0.326483,-0.026628,-0.098729,-0.325796,0.005985,-0.123694,-0.303691,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:31:00.114,2.999997,0.000000,0.000000,0.000000,0.073531,-0.097415,-0.324400,-0.126044,-0.100164,-0.326483,-0.026256,-0.098790,-0.325442,0.005282,-0.123674,-0.303676,-0.031894,-0.128626,-0.259578,-0.053823,-0.124089,-0.302275
2026-05-27 16:31:00.214,3.099997,0.000000,0.000000,0.000000,0.072997,-0.096271,-0.325185,-0.126044,-0.100164,-0.326483,-0.026523,-0.098217,-0.325834,0.005985,-0.123694,-0.303691,-0.031841,-0.127612,-0.259553,-0.053804,-0.123064,-0.302319
2026-05-27 16:31:00.314,3.199997,0.000000,0.000000,0.000000,0.072577,-0.098318,-0.325033,-0.126137,-0.099130,-0.326562,-0.026780,-0.098724,-0.325798,0.006098,-0.122671,-0.303737,-0.031894,-0.128626,-0.259578,-0.053823,-0.124089,-0.302275
2026-05-27 16:31:00.414,3.299997,0.000000,0.000000,0.000000,0.073531,-0.097415,-0.324400,-0.125310,-0.100283,-0.325784,-0.025889,-0.098849,-0.325092,0.005985,-0.123694,-0.303691,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:31:00.514,3.399997,0.000000,0.000000,0.000000,0.072787,-0.097295,-0.325109,-0.126137,-0.099130,-0.326562,-0.026675,-0.098212,-0.325836,0.005985,-0.123694,-0.303691,-0.031841,-0.127612,-0.259553,-0.053823,-0.124089,-0.302275
2026-05-27 16:31:00.614,3.499997,0.000000,0.000000,0.000000,0.073743,-0.096392,-0.324475,-0.126137,-0.099130,-0.326562,-0.026197,-0.097761,-0.325519,0.006042,-0.123183,-0.303714,-0.031841,-0.127612,-0.259553,-0.053841,-0.125114,-0.302232
