Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-27 16:30:53.393,0.000238,200.000,202.000,200.000
2026-05-27 16:30:56.410,3.017752,200.000,202.000,200.000
2026-05-27 16:30:57.918,4.525757,201.717,205.508,202.537
2026-05-27 16:30:59.427,6.034175,201.717,205.508,202.537
2026-05-27 16:31:00.935,7.542243,201.085,214.957,203.007
2026-05-27 16:31:02.443,9.050379,201.085,214.957,203.007
2026-05-27 16:31:03.951,10.558224,208.898,215.912,200.851
2026-05-27 16:31:05.459,12.066584,208.898,215.912,200.851
2026-05-27 16:31:06.971,13.578489,208.049,224.476,202.345
2026-05-27 16:31:08.479,15.086618,208.049,224.476,202.345
2026-05-27 16:31:09.989,16.596633,208.429,224.953,208.758
2026-05-27 16:31:11.500,18.107623,208.429,224.953,208.758
2026-05-27 16:31:13.019,19.626772,205.655,222.309,213.603
2026-05-27 16:31:14.527,21.134483,205.655,222.309,213.603
2026-05-27 16:31:16.043,22.650611,203.694,224.073,216.746
2026-05-27 16:31:17.552,24.159279,203.694,224.073,216.746
2026-05-27 16:31:19.068,25.675480,201.339,228.492,219.168
2026-05-27 16:31:20.577,27.187476,201.339,228.492,219.168
2026-05-27 16:31:22.093,28.700355,204.616,229.539,223.798
2026-05-27 16:31:23.603,30.209815,204.616,229.539,223.798
2026-05-27 16:31:25.115,31.721652,204.885,227.835,225.465
2026-05-27 16:31:26.623,33.230098,204.885,227.835,225.465
2026-05-27 16:31:28.138,34.745321,205.808,228.890,229.516
2026-05-27 16:31:29.646,36.253431,205.808,228.890,229.516
2026-05-27 16:31:31.163,37.769445,210.753,231.980,228.162
2026-05-27 16:31:32.671,39.277741,210.753,231.980,228.162
2026-05-27 16:31:34.180,40.786545,206.873,238.767,221.006
2026-05-27 16:31:35.689,42.295796,206.873,238.767,221.006
2026-05-27 16:31:37.207,43.813640,201.288,247.816,218.830
2026-05-27 16:31:38.717,45.323550,201.288,247.816,218.830
2026-05-27 16:31:40.234,46.841079,206.253,244.555,214.011
2026-05-27 16:31:41.742,48.349120,206.253,244.555,214.011
2026-05-27 16:31:43.257,49.864045,211.792,243.507,215.457
2026-05-27 16:31:44.766,51.372133,211.792,243.507,215.457
2026-05-27 16:31:46.282,52.888434,218.423,246.583,205.187
2026-05-27 16:31:47.790,54.396746,218.423,246.583,205.187
2026-05-27 16:31:49.302,55.908387,219.673,244.069,208.596
2026-05-27 16:31:50.813,57.419013,219.673,244.069,208.596
2026-05-27 16:31:52.323,58.929493,224.476,244.325,213.595
2026-05-27 16:31:53.835,60.441076,224.476,244.325,213.595
2026-05-27 16:31:55.347,61.953901,231.779,243.277,220.107
2026-05-27 16:31:56.858,63.463936,231.779,243.277,220.107
2026-05-27 16:31:58.375,64.983420,227.240,247.586,217.483
2026-05-27 16:31:59.886,66.491824,227.240,247.586,217.483
2026-05-27 16:32:01.402,68.008490,224.120,248.000,219.712
2026-05-27 16:32:02.912,69.518360,224.120,248.000,219.712
2026-05-27 16:32:04.424,71.030310,221.773,244.321,222.384
2026-05-27 16:32:05.932,72.538256,221.773,244.321,222.384
2026-05-27 16:32:07.449,74.054630,218.790,242.135,222.942
2026-05-27 16:32:08.957,75.563282,218.790,242.135,222.942
2026-05-27 16:32:10.470,77.075564,217.152,245.111,223.412
2026-05-27 16:32:11.980,78.585970,217.152,245.111,223.412
2026-05-27 16:32:13.496,80.102301,216.051,243.237,225.602
2026-05-27 16:32:15.005,81.611187,216.051,243.237,225.602
2026-05-27 16:32:16.515,83.120409,219.724,246.415,228.227
2026-05-27 16:32:18.025,84.630777,219.724,246.415,228.227
2026-05-27 16:32:19.544,86.149456,220.845,246.117,233.888
2026-05-27 16:32:21.056,87.661137,220.845,246.117,233.888
2026-05-27 16:32:22.568,89.173384,222.079,246.332,238.287
2026-05-27 16:32:24.076,90.681440,222.079,246.332,238.287
2026-05-27 16:32:25.592,92.197159,225.989,247.194,239.609
2026-05-27 16:32:27.103,93.708903,225.989,247.194,239.609
2026-05-27 16:32:28.615,95.220525,232.237,245.701,227.376
2026-05-27 16:32:30.123,96.728614,232.237,245.701,227.376
2026-05-27 16:32:31.634,98.239576,228.041,240.991,227.189
2026-05-27 16:32:33.145,99.750178,228.041,240.991,227.189
2026-05-27 16:32:34.656,101.261597,229.173,242.609,232.060
2026-05-27 16:32:36.165,102.770060,229.173,242.609,232.060
2026-05-27 16:32:37.673,104.277911,229.518,239.146,233.828
2026-05-27 16:32:39.181,105.785883,229.518,239.146,233.828
2026-05-27 16:32:40.688,107.293558,233.096,236.890,234.102
2026-05-27 16:32:42.196,108.801411,233.096,236.890,234.102
2026-05-27 16:32:43.705,110.309858,237.258,238.875,235.314
2026-05-27 16:32:45.213,111.817996,237.258,238.875,235.314
2026-05-27 16:32:46.722,113.329535,238.097,237.739,232.547
2026-05-27 16:32:48.233,114.838304,238.097,237.739,232.547
2026-05-27 16:32:49.747,116.353243,242.452,233.445,238.640
2026-05-27 16:32:51.258,117.862416,242.452,233.445,238.640
2026-05-27 16:32:52.773,119.378113,247.594,231.617,240.270
