Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-27 18:14:55.672,0.010953,200.000,202.000,200.000
2026-05-27 18:14:58.720,3.049552,200.000,202.000,200.000
2026-05-27 18:15:00.228,4.558118,201.717,205.508,202.537
2026-05-27 18:15:01.737,6.066849,201.717,205.508,202.537
2026-05-27 18:15:03.246,7.575564,201.085,214.957,203.007
2026-05-27 18:15:04.755,9.084882,201.085,214.957,203.007
2026-05-27 18:15:06.269,10.598722,208.898,215.912,200.851
2026-05-27 18:15:07.779,12.108317,208.898,215.912,200.851
2026-05-27 18:15:09.291,13.620737,208.049,224.476,202.345
2026-05-27 18:15:10.800,15.129478,208.049,224.476,202.345
2026-05-27 18:15:12.316,16.645413,208.429,224.953,208.758
2026-05-27 18:15:13.827,18.156242,208.429,224.953,208.758
2026-05-27 18:15:15.340,19.669503,205.655,222.309,213.603
2026-05-27 18:15:16.848,21.177657,205.655,222.309,213.603
2026-05-27 18:15:18.358,22.687208,203.694,224.073,216.746
2026-05-27 18:15:19.868,24.197682,203.694,224.073,216.746
2026-05-27 18:15:21.378,25.707765,201.339,228.492,219.168
2026-05-27 18:15:22.889,27.218153,201.339,228.492,219.168
2026-05-27 18:15:24.397,28.726866,204.616,229.539,223.798
2026-05-27 18:15:25.906,30.235310,204.616,229.539,223.798
2026-05-27 18:15:27.414,31.743358,204.885,227.835,225.465
2026-05-27 18:15:28.922,33.251387,204.885,227.835,225.465
2026-05-27 18:15:30.430,34.759109,205.808,228.890,229.516
2026-05-27 18:15:31.938,36.267112,205.808,228.890,229.516
2026-05-27 18:15:33.448,37.777614,210.753,231.980,228.162
2026-05-27 18:15:34.957,39.286021,210.753,231.980,228.162
2026-05-27 18:15:36.472,40.800945,206.873,238.767,221.006
2026-05-27 18:15:37.980,42.309337,206.873,238.767,221.006
2026-05-27 18:15:39.496,43.825063,201.288,247.816,218.830
2026-05-27 18:15:41.004,45.333446,201.288,247.816,218.830
