Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-27 18:33:23.804,0.000307,200.000,202.000,200.000
2026-05-27 18:33:26.814,3.010568,200.000,202.000,200.000
2026-05-27 18:33:28.327,4.523282,201.717,205.508,202.537
2026-05-27 18:33:29.838,6.034092,201.717,205.508,202.537
2026-05-27 18:33:31.349,7.545126,201.085,214.957,203.007
2026-05-27 18:33:32.862,9.058254,201.085,214.957,203.007
2026-05-27 18:33:34.374,10.569831,208.898,215.912,200.851
2026-05-27 18:33:35.882,12.078117,208.898,215.912,200.851
2026-05-27 18:33:37.392,13.588295,208.049,224.476,202.345
2026-05-27 18:33:38.902,15.098120,208.049,224.476,202.345
2026-05-27 18:33:40.417,16.613307,208.429,224.953,208.758
2026-05-27 18:33:41.926,18.122620,208.429,224.953,208.758
2026-05-27 18:33:43.444,19.639803,205.655,222.309,213.603
2026-05-27 18:33:44.952,21.148321,205.655,222.309,213.603
2026-05-27 18:33:46.469,22.664660,203.694,224.073,216.746
2026-05-27 18:33:47.977,24.172918,203.694,224.073,216.746
2026-05-27 18:33:49.489,25.687485,201.339,228.492,219.168
2026-05-27 18:33:51.000,27.195940,201.339,228.492,219.168
2026-05-27 18:33:52.516,28.712222,204.616,229.539,223.798
2026-05-27 18:33:54.025,30.220750,204.616,229.539,223.798
2026-05-27 18:33:55.540,31.735485,204.885,227.835,225.465
2026-05-27 18:33:57.048,33.244334,204.885,227.835,225.465
2026-05-27 18:33:58.564,34.759854,205.808,228.890,229.516
2026-05-27 18:34:00.073,36.268581,205.808,228.890,229.516
2026-05-27 18:34:01.583,37.779220,210.753,231.980,228.162
2026-05-27 18:34:03.093,39.289239,210.753,231.980,228.162
2026-05-27 18:34:04.612,40.807825,206.873,238.767,221.006
2026-05-27 18:34:06.120,42.319221,206.873,238.767,221.006
2026-05-27 18:34:07.636,43.831864,201.288,247.816,218.830
2026-05-27 18:34:09.144,45.342783,201.288,247.816,218.830
2026-05-27 18:34:10.659,46.854873,206.253,244.555,214.011
2026-05-27 18:34:12.168,48.366229,206.253,244.555,214.011
2026-05-27 18:34:13.683,49.878689,211.792,243.507,215.457
2026-05-27 18:34:15.191,51.387147,211.792,243.507,215.457
2026-05-27 18:34:16.706,52.902244,218.423,246.583,205.187
2026-05-27 18:34:18.215,54.410885,218.423,246.583,205.187
2026-05-27 18:34:19.731,55.926497,219.673,244.069,208.596
2026-05-27 18:34:21.239,57.435373,219.673,244.069,208.596
2026-05-27 18:34:22.748,58.943717,224.476,244.325,213.595
2026-05-27 18:34:24.259,60.454334,224.476,244.325,213.595
2026-05-27 18:34:25.778,61.973452,231.779,243.277,220.107
2026-05-27 18:34:27.286,63.481877,231.779,243.277,220.107
2026-05-27 18:34:28.803,64.998504,227.240,247.586,217.483
2026-05-27 18:34:30.311,66.506363,227.240,247.586,217.483
2026-05-27 18:34:31.820,68.015606,224.120,248.000,219.712
2026-05-27 18:34:33.331,69.526606,224.120,248.000,219.712
2026-05-27 18:34:34.846,71.041716,221.773,244.321,222.384
2026-05-27 18:34:36.357,72.552173,221.773,244.321,222.384
2026-05-27 18:34:37.867,74.062145,218.790,242.135,222.942
2026-05-27 18:34:39.375,75.570255,218.790,242.135,222.942
2026-05-27 18:34:40.883,77.078133,217.152,245.111,223.412
2026-05-27 18:34:42.391,78.586413,217.152,245.111,223.412
2026-05-27 18:34:43.899,80.094187,216.051,243.237,225.602
2026-05-27 18:34:45.407,81.602525,216.051,243.237,225.602
2026-05-27 18:34:46.915,83.110185,219.724,246.415,228.227
2026-05-27 18:34:48.423,84.618652,219.724,246.415,228.227
2026-05-27 18:34:49.935,86.130360,220.845,246.117,233.888
2026-05-27 18:34:51.443,87.638224,220.845,246.117,233.888
2026-05-27 18:34:52.959,89.154793,222.079,246.332,238.287
2026-05-27 18:34:54.469,90.663982,222.079,246.332,238.287
2026-05-27 18:34:55.979,92.174033,225.989,247.194,239.609
2026-05-27 18:34:57.489,93.684657,225.989,247.194,239.609
2026-05-27 18:34:59.008,95.203563,232.237,245.701,227.376
2026-05-27 18:35:00.518,96.713863,232.237,245.701,227.376
2026-05-27 18:35:02.031,98.226448,228.041,240.991,227.189
2026-05-27 18:35:03.542,99.736866,228.041,240.991,227.189
2026-05-27 18:35:05.054,101.249269,229.173,242.609,232.060
2026-05-27 18:35:06.562,102.757467,229.173,242.609,232.060
2026-05-27 18:35:08.077,104.272481,229.518,239.146,233.828
2026-05-27 18:35:09.585,105.780740,229.518,239.146,233.828
2026-05-27 18:35:11.101,107.296649,233.096,236.890,234.102
2026-05-27 18:35:12.610,108.805586,233.096,236.890,234.102
2026-05-27 18:35:14.125,110.320094,237.258,238.875,235.314
2026-05-27 18:35:15.633,111.828491,237.258,238.875,235.314
2026-05-27 18:35:17.148,113.343473,238.097,237.739,232.547
2026-05-27 18:35:18.657,114.851772,238.097,237.739,232.547
2026-05-27 18:35:20.173,116.367905,242.452,233.445,238.640
2026-05-27 18:35:21.681,117.875988,242.452,233.445,238.640
2026-05-27 18:35:23.191,119.386058,247.594,231.617,240.270
2026-05-27 18:35:24.701,120.896160,247.594,231.617,240.270
