Format Version,1.23,Take Name,MDC_data_1781155417,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-11 03:23:47 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-11 15:23:47.809,0.000000,0.000000,0.000000,0.000000,0.326104,-0.372760,-0.265433,0.127087,-0.366226,-0.260758,0.226595,-0.369493,-0.263096,0.188339,-0.386305,-0.235800,0.240584,-0.403495,-0.193026,0.258436,-0.395985,-0.237471
2026-06-11 15:23:47.909,0.100000,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126509,-0.363109,-0.259988,0.226017,-0.366376,-0.262325,0.187761,-0.383188,-0.235029,0.240006,-0.400377,-0.192255,0.257858,-0.392867,-0.236700
2026-06-11 15:23:48.009,0.200000,0.000000,0.000000,0.000000,0.326104,-0.372760,-0.265433,0.127193,-0.367257,-0.260768,0.226648,-0.370009,-0.263101,0.188339,-0.386305,-0.235800,0.240584,-0.403495,-0.193026,0.258436,-0.395985,-0.237471
2026-06-11 15:23:48.109,0.300000,0.000000,0.000000,0.000000,0.324947,-0.366525,-0.263892,0.125930,-0.359991,-0.259217,0.225439,-0.363258,-0.261554,0.187165,-0.379048,-0.234212,0.239427,-0.397260,-0.191484,0.257322,-0.389243,-0.235907
2026-06-11 15:23:48.209,0.400000,0.000000,0.000000,0.000000,0.325911,-0.371721,-0.265176,0.126894,-0.365187,-0.260501,0.226403,-0.368454,-0.262839,0.188129,-0.384243,-0.235497,0.240391,-0.402456,-0.192769,0.258243,-0.394945,-0.237214
2026-06-11 15:23:48.309,0.500000,0.000000,0.000000,0.000000,0.324769,-0.367530,-0.263894,0.125930,-0.359991,-0.259217,0.225350,-0.363760,-0.261556,0.187183,-0.380070,-0.234259,0.239427,-0.397260,-0.191484,0.257279,-0.389750,-0.235929
2026-06-11 15:23:48.409,0.599999,0.000000,0.000000,0.000000,0.325926,-0.373764,-0.265436,0.127087,-0.366226,-0.260758,0.226506,-0.369995,-0.263097,0.188339,-0.386305,-0.235800,0.240584,-0.403495,-0.193026,0.258436,-0.395985,-0.237471
2026-06-11 15:23:48.509,0.699999,0.000000,0.000000,0.000000,0.325718,-0.370682,-0.264919,0.126701,-0.364148,-0.260245,0.226210,-0.367415,-0.262582,0.187936,-0.383204,-0.235240,0.240198,-0.401417,-0.192512,0.258051,-0.393906,-0.236957
2026-06-11 15:23:48.609,0.799999,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126403,-0.362078,-0.259978,0.225964,-0.365860,-0.262320,0.187761,-0.383188,-0.235029,0.240066,-0.399362,-0.192144,0.257858,-0.392867,-0.236700
2026-06-11 15:23:48.709,0.899999,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126615,-0.364140,-0.259997,0.226070,-0.366891,-0.262330,0.187743,-0.382165,-0.234983,0.240006,-0.400377,-0.192255,0.257858,-0.392867,-0.236700
2026-06-11 15:23:48.809,0.999999,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126509,-0.363109,-0.259988,0.226017,-0.366376,-0.262325,0.187752,-0.382676,-0.235006,0.240066,-0.399362,-0.192144,0.257858,-0.392867,-0.236700
2026-06-11 15:23:48.909,1.099999,0.000000,0.000000,0.000000,0.325911,-0.371721,-0.265176,0.126947,-0.365702,-0.260506,0.226429,-0.368712,-0.262841,0.188129,-0.384243,-0.235497,0.240391,-0.402456,-0.192769,0.258243,-0.394945,-0.237214
2026-06-11 15:23:49.009,1.199999,0.000000,0.000000,0.000000,0.326297,-0.373799,-0.265690,0.127280,-0.367265,-0.261015,0.226788,-0.370532,-0.263353,0.188532,-0.387344,-0.236057,0.240837,-0.403519,-0.193172,0.258629,-0.397024,-0.237728
2026-06-11 15:23:49.109,1.299999,0.000000,0.000000,0.000000,0.325333,-0.368604,-0.264406,0.126316,-0.362070,-0.259731,0.225824,-0.365337,-0.262068,0.187568,-0.382149,-0.234773,0.239813,-0.399338,-0.191998,0.257751,-0.390815,-0.236399
2026-06-11 15:23:49.209,1.399999,0.000000,0.000000,0.000000,0.324962,-0.368569,-0.264151,0.126123,-0.361030,-0.259474,0.225542,-0.364799,-0.261812,0.187357,-0.380087,-0.234469,0.239620,-0.398299,-0.191741,0.257558,-0.389776,-0.236142
2026-06-11 15:23:49.309,1.499999,0.000000,0.000000,0.000000,0.324947,-0.366525,-0.263892,0.125930,-0.359991,-0.259217,0.225439,-0.363258,-0.261554,0.187165,-0.379048,-0.234212,0.239427,-0.397260,-0.191484,0.257279,-0.389750,-0.235929
2026-06-11 15:23:49.409,1.599998,0.000000,0.000000,0.000000,0.325718,-0.370682,-0.264919,0.126701,-0.364148,-0.260245,0.226210,-0.367415,-0.262582,0.187936,-0.383204,-0.235240,0.240198,-0.401417,-0.192512,0.258051,-0.393906,-0.236957
2026-06-11 15:23:49.509,1.699998,0.000000,0.000000,0.000000,0.325911,-0.371721,-0.265176,0.126894,-0.365187,-0.260501,0.226403,-0.368454,-0.262839,0.188138,-0.384755,-0.235520,0.240451,-0.401440,-0.193406,0.258243,-0.394945,-0.237214
2026-06-11 15:23:49.609,1.799998,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126509,-0.363109,-0.259988,0.226017,-0.366376,-0.262325,0.187761,-0.383188,-0.235029,0.240006,-0.400377,-0.192255,0.257858,-0.392867,-0.236700
2026-06-11 15:23:49.709,1.899998,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126509,-0.363109,-0.259988,0.226017,-0.366376,-0.262325,0.187743,-0.382165,-0.234983,0.240006,-0.400377,-0.192255,0.257943,-0.391854,-0.236656
2026-06-11 15:23:49.809,1.999998,0.000000,0.000000,0.000000,0.325896,-0.369678,-0.264917,0.126701,-0.364148,-0.260245,0.226299,-0.366913,-0.262581,0.187954,-0.384227,-0.235286,0.240198,-0.401417,-0.192512,0.258051,-0.393906,-0.236957
2026-06-11 15:23:49.909,2.099998,0.000000,0.000000,0.000000,0.325926,-0.373764,-0.265436,0.127193,-0.367257,-0.260768,0.226559,-0.370511,-0.263102,0.188321,-0.385283,-0.235754,0.240584,-0.403495,-0.193026,0.258522,-0.394972,-0.237427
2026-06-11 15:23:50.009,2.199998,0.000000,0.000000,0.000000,0.326489,-0.374838,-0.265947,0.127367,-0.367273,-0.261263,0.226928,-0.371056,-0.263605,0.188725,-0.388383,-0.236314,0.241030,-0.404558,-0.194177,0.258822,-0.398063,-0.237985
2026-06-11 15:23:50.109,2.299998,0.000000,0.000000,0.000000,0.325140,-0.367564,-0.264149,0.126123,-0.361030,-0.259474,0.225631,-0.364297,-0.261811,0.187357,-0.380087,-0.234469,0.239620,-0.398299,-0.191741,0.257472,-0.390789,-0.236186
2026-06-11 15:23:50.209,2.399998,0.000000,0.000000,0.000000,0.325140,-0.367564,-0.264149,0.126017,-0.360000,-0.259464,0.225578,-0.363782,-0.261806,0.187357,-0.380087,-0.234469,0.239620,-0.398299,-0.191741,0.257472,-0.390789,-0.236186
2026-06-11 15:23:50.309,2.499998,0.000000,0.000000,0.000000,0.326104,-0.372760,-0.265433,0.127087,-0.366226,-0.260758,0.226595,-0.369493,-0.263096,0.188339,-0.386305,-0.235800,0.240644,-0.402480,-0.192915,0.258522,-0.394972,-0.237427
2026-06-11 15:23:50.409,2.599998,0.000000,0.000000,0.000000,0.324561,-0.364447,-0.263378,0.125545,-0.357913,-0.258703,0.225053,-0.361180,-0.261040,0.186779,-0.376970,-0.233698,0.239072,-0.394674,-0.190915,0.256894,-0.387672,-0.235416
2026-06-11 15:23:50.509,2.699997,0.000000,0.000000,0.000000,0.325911,-0.371721,-0.265176,0.126894,-0.365187,-0.260501,0.226403,-0.368454,-0.262839,0.188129,-0.384243,-0.235497,0.240451,-0.401440,-0.192658,0.258243,-0.394945,-0.237214
2026-06-11 15:23:50.609,2.799997,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126509,-0.363109,-0.259988,0.226017,-0.366376,-0.262325,0.187743,-0.382165,-0.234983,0.240006,-0.400377,-0.192255,0.257858,-0.392867,-0.236700
2026-06-11 15:23:50.709,2.899997,0.000000,0.000000,0.000000,0.325911,-0.371721,-0.265176,0.126788,-0.364156,-0.260492,0.226350,-0.367938,-0.262834,0.188147,-0.385266,-0.235543,0.240391,-0.402456,-0.192769,0.258243,-0.394945,-0.237214
2026-06-11 15:23:50.809,2.999997,0.000000,0.000000,0.000000,0.325733,-0.372725,-0.265179,0.126894,-0.365187,-0.260501,0.226314,-0.368956,-0.262840,0.188147,-0.385266,-0.235543,0.240391,-0.402456,-0.192769,0.258329,-0.393933,-0.237170
2026-06-11 15:23:50.909,3.099997,0.000000,0.000000,0.000000,0.325718,-0.370682,-0.264919,0.126701,-0.364148,-0.260245,0.226210,-0.367415,-0.262582,0.187954,-0.384227,-0.235286,0.240198,-0.401417,-0.192512,0.258051,-0.393906,-0.236957
2026-06-11 15:23:51.009,3.199997,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126509,-0.363109,-0.259988,0.226017,-0.366376,-0.262325,0.187761,-0.383188,-0.235029,0.240006,-0.400377,-0.192255,0.257858,-0.392867,-0.236700
2026-06-11 15:23:51.109,3.299997,0.000000,0.000000,0.000000,0.325525,-0.369643,-0.264662,0.126509,-0.363109,-0.259988,0.226017,-0.366376,-0.262325,0.187743,-0.382165,-0.234983,0.240066,-0.399362,-0.192144,0.257858,-0.392867,-0.236700
2026-06-11 15:23:51.209,3.399997,0.000000,0.000000,0.000000,0.324561,-0.364447,-0.263378,0.125545,-0.357913,-0.258703,0.225053,-0.361180,-0.261040,0.186779,-0.376970,-0.233698,0.239042,-0.395182,-0.190970,0.256894,-0.387672,-0.235416
2026-06-11 15:23:51.309,3.499997,0.000000,0.000000,0.000000,0.324754,-0.365486,-0.263635,0.125631,-0.357921,-0.258950,0.225193,-0.361704,-0.261293,0.186972,-0.378009,-0.233955,0.239234,-0.396221,-0.191227,0.257172,-0.387698,-0.235628
2026-06-11 15:23:51.409,3.599997,0.000000,0.000000,0.000000,0.324769,-0.367530,-0.263894,0.125824,-0.358960,-0.259207,0.225297,-0.363245,-0.261551,0.187183,-0.380070,-0.234259,0.239427,-0.397260,-0.191484,0.257365,-0.388737,-0.235885
