start_time_iso=2026-06-11T15:33:11.570
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.005078125
0.101,200.0046875,202.001953125,200.005078125
0.2,200.0046875,202.001953125,200.005078125
0.3,200.0046875,202.001953125,200.005078125
0.401,200.0046875,202.001953125,200.005078125
0.501,200.0046875,202.001953125,200.005078125
0.6,200.0046875,202.001953125,200.005078125
0.701,200.0046875,202.001953125,200.005078125
0.801,200.0046875,202.001953125,200.005078125
0.901,200.0046875,202.001953125,200.005078125
1.001,200.0046875,202.001953125,200.005078125
1.1,200.0046875,202.001953125,200.005078125
1.2,200.0046875,202.001953125,200.005078125
1.3,200.0046875,202.001953125,200.005078125
1.4,200.0046875,202.001953125,200.005078125
1.5,200.0046875,202.001953125,200.005078125
1.601,200.0046875,202.001953125,200.005078125
1.701,200.0046875,202.001953125,200.005078125
1.801,200.0046875,202.001953125,200.005078125
1.901,200.0046875,202.001953125,200.005078125
2.001,200.0046875,202.001953125,200.005078125
2.101,200.0046875,202.001953125,200.005078125
2.201,200.0046875,202.001953125,200.005078125
2.301,200.0046875,202.001953125,200.005078125
2.402,200.0046875,202.001953125,200.005078125
2.5,200.0046875,202.001953125,200.005078125
2.601,200.0046875,202.001953125,200.005078125
2.7,200.0046875,202.001953125,200.005078125
2.801,200.0046875,202.001953125,200.005078125
2.902,200.0046875,202.001953125,200.005078125
3.001,200.0046875,202.001953125,200.005078125
3.1,200.0046875,202.001953125,200.005078125
3.202,200.0046875,202.001953125,200.005078125
3.303,200.0046875,202.001953125,200.005078125
3.402,200.0046875,202.001953125,200.005078125
3.501,200.0046875,202.001953125,200.005078125
3.601,200.0046875,202.001953125,200.005078125
3.701,200.0046875,202.001953125,200.005078125
3.801,200.0046875,202.001953125,200.005078125
3.9,200.0046875,202.001953125,200.005078125
4.001,200.0046875,202.001953125,200.005078125
4.101,200.0046875,202.001953125,200.005078125
4.201,200.0046875,202.001953125,200.005078125
4.3,200.0046875,202.001953125,200.005078125
4.401,200.0046875,202.001953125,200.005078125
4.501,200.0046875,202.001953125,200.005078125
4.6,200.0046875,202.001953125,200.005078125
4.7,200.0046875,202.001953125,200.005078125
4.801,200.0046875,202.001953125,200.005078125
4.901,200.0046875,202.001953125,200.005078125
5.001,200.0046875,202.001953125,200.005078125
5.1,200.0046875,202.001953125,200.005078125
5.201,200.0046875,202.001953125,200.005078125
5.3,200.0046875,202.001953125,200.005078125
5.401,200.0046875,202.001953125,200.005078125
5.501,200.0046875,202.001953125,200.005078125
5.601,200.0046875,202.001953125,200.005078125
5.704,200.0046875,202.001953125,200.005078125
5.806,200.0046875,202.001953125,200.005078125
5.9,200.0046875,202.001953125,200.005078125
6.001,200.0046875,202.001953125,200.005078125
6.106,200.0046875,202.001953125,200.005078125
6.201,200.0046875,202.001953125,200.005078125
6.301,200.0046875,202.001953125,200.005078125
6.4,200.0046875,202.001953125,200.005078125
6.5,200.0046875,202.001953125,200.005078125
6.6,200.0046875,202.001953125,200.005078125
6.7,200.0046875,202.001953125,200.005078125
6.803,200.0046875,202.001953125,200.005078125
6.905,200.0046875,202.001953125,200.005078125
7.001,200.0046875,202.001953125,200.005078125
7.101,200.0046875,202.001953125,200.005078125
7.201,200.0046875,202.001953125,200.005078125
7.3,200.0046875,202.001953125,200.005078125
7.4,200.0046875,202.001953125,200.005078125
7.501,200.0046875,202.001953125,200.005078125
7.601,200.0046875,202.001953125,200.005078125
7.701,200.0046875,202.001953125,200.005078125
7.8,200.0046875,202.001953125,200.005078125
