RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-06-11T15:33:06.376000
0.002,2026-06-11T15:33:06.378000
0.004,2026-06-11T15:33:06.380000
0.006,2026-06-11T15:33:06.382000
0.008,2026-06-11T15:33:06.384000
0.01,2026-06-11T15:33:06.386000
0.012,2026-06-11T15:33:06.388000
0.014,2026-06-11T15:33:06.390000
0.016,2026-06-11T15:33:06.392000
0.018,2026-06-11T15:33:06.394000
0.02,2026-06-11T15:33:06.396000
0.022,2026-06-11T15:33:06.398000
0.024,2026-06-11T15:33:06.400000
0.026,2026-06-11T15:33:06.402000
0.028,2026-06-11T15:33:06.404000
0.03,2026-06-11T15:33:06.406000
0.032,2026-06-11T15:33:06.408000
0.034,2026-06-11T15:33:06.410000
0.036,2026-06-11T15:33:06.412000
0.038,2026-06-11T15:33:06.414000
0.04,2026-06-11T15:33:06.416000
0.042,2026-06-11T15:33:06.418000
0.044,2026-06-11T15:33:06.420000
0.046,2026-06-11T15:33:06.422000
0.048,2026-06-11T15:33:06.424000
0.05,2026-06-11T15:33:06.426000
0.052,2026-06-11T15:33:06.428000
0.054,2026-06-11T15:33:06.430000
0.056,2026-06-11T15:33:06.432000
0.058,2026-06-11T15:33:06.434000
0.06,2026-06-11T15:33:06.436000
0.062,2026-06-11T15:33:06.438000
0.064,2026-06-11T15:33:06.440000
0.066,2026-06-11T15:33:06.442000
0.068,2026-06-11T15:33:06.444000
0.07,2026-06-11T15:33:06.446000
0.072,2026-06-11T15:33:06.448000
0.074,2026-06-11T15:33:06.450000
0.076,2026-06-11T15:33:06.452000
0.078,2026-06-11T15:33:06.454000
0.08,2026-06-11T15:33:06.456000
0.082,2026-06-11T15:33:06.458000
0.084,2026-06-11T15:33:06.460000
0.086,2026-06-11T15:33:06.462000
0.088,2026-06-11T15:33:06.464000
0.09,2026-06-11T15:33:06.466000
0.092,2026-06-11T15:33:06.468000
0.094,2026-06-11T15:33:06.470000
0.096,2026-06-11T15:33:06.472000
0.098,2026-06-11T15:33:06.474000
0.1,2026-06-11T15:33:06.476000
0.102,2026-06-11T15:33:06.478000
0.104,2026-06-11T15:33:06.480000
0.106,2026-06-11T15:33:06.482000
0.108,2026-06-11T15:33:06.484000
0.11,2026-06-11T15:33:06.486000
0.112,2026-06-11T15:33:06.488000
0.114,2026-06-11T15:33:06.490000
0.116,2026-06-11T15:33:06.492000
0.118,2026-06-11T15:33:06.494000
0.12,2026-06-11T15:33:06.496000
0.122,2026-06-11T15:33:06.498000
0.124,2026-06-11T15:33:06.500000
0.126,2026-06-11T15:33:06.502000
0.128,2026-06-11T15:33:06.504000
0.13,2026-06-11T15:33:06.506000
0.132,2026-06-11T15:33:06.508000
0.134,2026-06-11T15:33:06.510000
0.136,2026-06-11T15:33:06.512000
0.138,2026-06-11T15:33:06.514000
0.14,2026-06-11T15:33:06.516000
0.142,2026-06-11T15:33:06.518000
0.144,2026-06-11T15:33:06.520000
0.146,2026-06-11T15:33:06.522000
0.148,2026-06-11T15:33:06.524000
0.15,2026-06-11T15:33:06.526000
0.152,2026-06-11T15:33:06.528000
0.154,2026-06-11T15:33:06.530000
0.156,2026-06-11T15:33:06.532000
0.158,2026-06-11T15:33:06.534000
0.16,2026-06-11T15:33:06.536000
0.162,2026-06-11T15:33:06.538000
0.164,2026-06-11T15:33:06.540000
0.166,2026-06-11T15:33:06.542000
0.168,2026-06-11T15:33:06.544000
0.17,2026-06-11T15:33:06.546000
0.172,2026-06-11T15:33:06.548000
0.174,2026-06-11T15:33:06.550000
0.176,2026-06-11T15:33:06.552000
0.178,2026-06-11T15:33:06.554000
0.18,2026-06-11T15:33:06.556000
0.182,2026-06-11T15:33:06.558000
0.184,2026-06-11T15:33:06.560000
0.186,2026-06-11T15:33:06.562000
0.188,2026-06-11T15:33:06.564000
0.19,2026-06-11T15:33:06.566000
0.192,2026-06-11T15:33:06.568000
0.194,2026-06-11T15:33:06.570000
0.196,2026-06-11T15:33:06.572000
0.198,2026-06-11T15:33:06.574000
0.2,2026-06-11T15:33:06.576000
0.202,2026-06-11T15:33:06.578000
0.204,2026-06-11T15:33:06.580000
0.206,2026-06-11T15:33:06.582000
0.208,2026-06-11T15:33:06.584000
0.21,2026-06-11T15:33:06.586000
0.212,2026-06-11T15:33:06.588000
0.214,2026-06-11T15:33:06.590000
0.216,2026-06-11T15:33:06.592000
0.218,2026-06-11T15:33:06.594000
0.22,2026-06-11T15:33:06.596000
0.222,2026-06-11T15:33:06.598000
0.224,2026-06-11T15:33:06.600000
0.226,2026-06-11T15:33:06.602000
0.228,2026-06-11T15:33:06.604000
0.23,2026-06-11T15:33:06.606000
0.232,2026-06-11T15:33:06.608000
0.234,2026-06-11T15:33:06.610000
0.236,2026-06-11T15:33:06.612000
0.238,2026-06-11T15:33:06.614000
0.24,2026-06-11T15:33:06.616000
0.242,2026-06-11T15:33:06.618000
0.244,2026-06-11T15:33:06.620000
0.246,2026-06-11T15:33:06.622000
0.248,2026-06-11T15:33:06.624000
0.25,2026-06-11T15:33:06.626000
0.252,2026-06-11T15:33:06.628000
0.254,2026-06-11T15:33:06.630000
0.256,2026-06-11T15:33:06.632000
0.258,2026-06-11T15:33:06.634000
0.26,2026-06-11T15:33:06.636000
0.262,2026-06-11T15:33:06.638000
0.264,2026-06-11T15:33:06.640000
0.266,2026-06-11T15:33:06.642000
0.268,2026-06-11T15:33:06.644000
0.27,2026-06-11T15:33:06.646000
0.272,2026-06-11T15:33:06.648000
0.274,2026-06-11T15:33:06.650000
0.276,2026-06-11T15:33:06.652000
0.278,2026-06-11T15:33:06.654000
0.28,2026-06-11T15:33:06.656000
0.282,2026-06-11T15:33:06.658000
0.284,2026-06-11T15:33:06.660000
0.286,2026-06-11T15:33:06.662000
0.288,2026-06-11T15:33:06.664000
0.29,2026-06-11T15:33:06.666000
0.292,2026-06-11T15:33:06.668000
0.294,2026-06-11T15:33:06.670000
0.296,2026-06-11T15:33:06.672000
0.298,2026-06-11T15:33:06.674000
0.3,2026-06-11T15:33:06.676000
0.302,2026-06-11T15:33:06.678000
0.304,2026-06-11T15:33:06.680000
0.306,2026-06-11T15:33:06.682000
0.308,2026-06-11T15:33:06.684000
0.31,2026-06-11T15:33:06.686000
0.312,2026-06-11T15:33:06.688000
0.314,2026-06-11T15:33:06.690000
0.316,2026-06-11T15:33:06.692000
0.318,2026-06-11T15:33:06.694000
0.32,2026-06-11T15:33:06.696000
0.322,2026-06-11T15:33:06.698000
0.324,2026-06-11T15:33:06.700000
0.326,2026-06-11T15:33:06.702000
0.328,2026-06-11T15:33:06.704000
0.33,2026-06-11T15:33:06.706000
0.332,2026-06-11T15:33:06.708000
0.334,2026-06-11T15:33:06.710000
0.336,2026-06-11T15:33:06.712000
0.338,2026-06-11T15:33:06.714000
0.34,2026-06-11T15:33:06.716000
0.342,2026-06-11T15:33:06.718000
0.344,2026-06-11T15:33:06.720000
0.346,2026-06-11T15:33:06.722000
0.348,2026-06-11T15:33:06.724000
0.35,2026-06-11T15:33:06.726000
0.352,2026-06-11T15:33:06.728000
0.354,2026-06-11T15:33:06.730000
0.356,2026-06-11T15:33:06.732000
0.358,2026-06-11T15:33:06.734000
0.36,2026-06-11T15:33:06.736000
0.362,2026-06-11T15:33:06.738000
0.364,2026-06-11T15:33:06.740000
0.366,2026-06-11T15:33:06.742000
0.368,2026-06-11T15:33:06.744000
0.37,2026-06-11T15:33:06.746000
0.372,2026-06-11T15:33:06.748000
0.374,2026-06-11T15:33:06.750000
0.376,2026-06-11T15:33:06.752000
0.378,2026-06-11T15:33:06.754000
0.38,2026-06-11T15:33:06.756000
0.382,2026-06-11T15:33:06.758000
0.384,2026-06-11T15:33:06.760000
0.386,2026-06-11T15:33:06.762000
0.388,2026-06-11T15:33:06.764000
0.39,2026-06-11T15:33:06.766000
0.392,2026-06-11T15:33:06.768000
0.394,2026-06-11T15:33:06.770000
0.396,2026-06-11T15:33:06.772000
0.398,2026-06-11T15:33:06.774000
0.4,2026-06-11T15:33:06.776000
0.402,2026-06-11T15:33:06.778000
0.404,2026-06-11T15:33:06.780000
0.406,2026-06-11T15:33:06.782000
0.408,2026-06-11T15:33:06.784000
0.41,2026-06-11T15:33:06.786000
0.412,2026-06-11T15:33:06.788000
0.414,2026-06-11T15:33:06.790000
0.416,2026-06-11T15:33:06.792000
0.418,2026-06-11T15:33:06.794000
0.42,2026-06-11T15:33:06.796000
0.422,2026-06-11T15:33:06.798000
0.424,2026-06-11T15:33:06.800000
0.426,2026-06-11T15:33:06.802000
0.428,2026-06-11T15:33:06.804000
0.43,2026-06-11T15:33:06.806000
0.432,2026-06-11T15:33:06.808000
0.434,2026-06-11T15:33:06.810000
0.436,2026-06-11T15:33:06.812000
0.438,2026-06-11T15:33:06.814000
0.44,2026-06-11T15:33:06.816000
0.442,2026-06-11T15:33:06.818000
0.444,2026-06-11T15:33:06.820000
0.446,2026-06-11T15:33:06.822000
0.448,2026-06-11T15:33:06.824000
0.45,2026-06-11T15:33:06.826000
0.452,2026-06-11T15:33:06.828000
0.454,2026-06-11T15:33:06.830000
0.456,2026-06-11T15:33:06.832000
0.458,2026-06-11T15:33:06.834000
0.46,2026-06-11T15:33:06.836000
0.462,2026-06-11T15:33:06.838000
0.464,2026-06-11T15:33:06.840000
0.466,2026-06-11T15:33:06.842000
0.468,2026-06-11T15:33:06.844000
0.47,2026-06-11T15:33:06.846000
0.472,2026-06-11T15:33:06.848000
0.474,2026-06-11T15:33:06.850000
0.476,2026-06-11T15:33:06.852000
0.478,2026-06-11T15:33:06.854000
0.48,2026-06-11T15:33:06.856000
0.482,2026-06-11T15:33:06.858000
0.484,2026-06-11T15:33:06.860000
0.486,2026-06-11T15:33:06.862000
0.488,2026-06-11T15:33:06.864000
0.49,2026-06-11T15:33:06.866000
0.492,2026-06-11T15:33:06.868000
0.494,2026-06-11T15:33:06.870000
0.496,2026-06-11T15:33:06.872000
0.498,2026-06-11T15:33:06.874000
0.5,2026-06-11T15:33:06.876000
0.502,2026-06-11T15:33:06.878000
0.504,2026-06-11T15:33:06.880000
0.506,2026-06-11T15:33:06.882000
0.508,2026-06-11T15:33:06.884000
0.51,2026-06-11T15:33:06.886000
0.512,2026-06-11T15:33:06.888000
0.514,2026-06-11T15:33:06.890000
0.516,2026-06-11T15:33:06.892000
0.518,2026-06-11T15:33:06.894000
0.52,2026-06-11T15:33:06.896000
0.522,2026-06-11T15:33:06.898000
0.524,2026-06-11T15:33:06.900000
0.526,2026-06-11T15:33:06.902000
0.528,2026-06-11T15:33:06.904000
0.53,2026-06-11T15:33:06.906000
