start_time_iso=2026-06-11T17:30:09.689
time_sec,Epi_mm,Trans_mm,Endo_mm
0.0,200.0046875,202.001953125,200.001953125
0.101,200.0046875,202.001953125,200.001953125
0.202,200.0046875,202.001953125,200.001953125
0.301,200.0046875,202.001953125,200.001953125
0.4,200.0046875,202.001953125,200.001953125
0.5,200.0046875,202.001953125,200.001953125
0.601,200.0046875,202.001953125,200.001953125
0.7,200.0046875,202.001953125,200.001953125
0.8,200.0046875,202.001953125,200.001953125
0.9,200.0046875,202.001953125,200.001953125
1.068,200.0046875,202.001953125,200.001953125
1.101,200.0046875,202.001953125,200.001953125
1.219,200.0046875,202.001953125,200.001953125
1.3,200.0046875,202.001953125,200.001953125
1.533,200.0046875,202.001953125,200.001953125
1.681,200.0046875,202.001953125,200.001953125
1.689,200.0046875,202.001953125,200.001953125
1.701,200.0046875,202.001953125,200.001953125
1.801,200.0046875,202.001953125,200.001953125
1.9,200.0046875,202.001953125,200.001953125
2.151,200.0046875,202.001953125,200.001953125
2.19,200.0046875,202.001953125,200.001953125
2.2,200.0046875,202.001953125,200.001953125
2.301,200.0046875,202.001953125,200.001953125
2.4,200.0046875,202.001953125,200.001953125
2.501,200.0046875,202.001953125,200.001953125
2.601,200.0046875,202.001953125,200.001953125
2.701,200.0046875,202.001953125,200.001953125
2.801,200.0046875,202.001953125,200.001953125
2.9,200.0046875,202.001953125,200.001953125
3.001,200.0046875,202.001953125,200.001953125
3.1,200.0046875,202.001953125,200.001953125
3.202,200.0046875,202.001953125,200.001953125
3.301,200.0046875,202.001953125,200.001953125
3.401,200.0046875,202.001953125,200.001953125
3.501,200.0046875,202.001953125,200.001953125
3.6,200.0046875,202.001953125,200.001953125
3.7,200.0046875,202.001953125,200.001953125
3.801,200.0046875,202.001953125,200.001953125
3.901,200.0046875,202.001953125,200.001953125
4.001,200.0046875,202.001953125,200.001953125
4.101,200.0046875,202.001953125,200.001953125
4.201,200.0046875,202.001953125,200.001953125
4.301,200.0046875,202.001953125,200.001953125
4.401,200.0046875,202.001953125,200.001953125
4.501,200.0046875,202.001953125,200.001953125
4.601,200.0046875,202.001953125,200.001953125
4.701,200.0046875,202.001953125,200.001953125
4.801,200.0046875,202.001953125,200.001953125
4.901,200.0046875,202.001953125,200.001953125
5.001,200.0109375,202.008203125,200.008203125
5.101,200.0234375,202.017578125,200.020703125
5.201,200.0453125,202.033203125,200.03632812499998
5.301,200.066796875,202.058203125,200.055078125
5.4,200.094921875,202.086328125,200.07695312500002
5.501,200.126171875,202.120703125,200.10195312500002
5.601,200.166796875,202.161328125,200.136328125
5.7,200.213671875,202.205078125,200.170703125
5.8,200.266796875,202.25507812499998,200.211328125
5.901,200.329296875,202.311328125,200.258203125
6.0,200.391796875,202.373828125,200.308203125
6.1,200.46328125000002,202.439453125,200.364453125
6.201,200.53828125,202.511328125,200.42421875
6.301,200.61953125000002,202.586328125,200.48671875
6.401,200.70703125,202.670703125,200.56171875
6.501,200.80078125,202.79570312500002,200.65546875
6.601,200.900390625,202.85195312500002,200.70234375
6.7,201.000390625,202.951953125,200.77734375
6.801,201.112890625,203.05507812500002,200.86171875
6.9,201.225,203.164453125,200.94921875
7.001,201.35,203.27734375,201.04296875
7.102,201.478125,203.40234375,201.14296875000002
7.201,201.605859375,203.66171875,201.355859375
7.319,201.76835937500002,203.67421875,201.365234375
7.4,201.88398437499998,203.88671875,201.54023437499998
7.501,202.03046875,203.92421875,201.568359375
7.6,202.18046875000002,204.06484375,201.68398437500002
7.701,202.339453125,204.34296874999998,201.912109375
7.801,202.498828125,204.36484375,201.93085937499998
7.901,202.667578125,204.52421875,202.05937500000002
8.001,202.8390625,204.86171875,202.340625
8.117,203.0421875,204.87734375,202.353125
8.201,203.19492187499998,205.02421875,202.475
8.301,203.382421875,205.20546875000002,202.62187500000002
8.4,203.57265625000002,205.38671875,202.78164062500002
8.501,203.76953125,205.693359375,203.02226562500002
8.601,203.972265625,205.765234375,203.07851562500002
8.701,204.178515625,205.955859375,203.237890625
8.8,204.3875,206.33710937499998,203.550390625
8.901,204.605859375,206.358984375,203.566015625
9.0,204.824609375,206.677734375,203.82578125
9.1,205.052734375,206.78125,203.90703125000002
9.201,205.296484375,207.01875,204.09765625
9.301,205.515234375,207.35625,204.37890625
9.401,205.765234375,207.478125,204.707421875
9.543,206.099609375,207.78125,204.729296875
9.6,206.23710937500002,207.90625,204.832421875
9.701,206.49375,208.153515625,205.03203125
9.8,206.74375,208.38789062499998,205.21953125000002
9.901,207.00625,208.634765625,205.41953125
10.001,207.265625,208.884765625,205.619140625
10.1,207.53125,209.32578125,205.98125000000002
10.201,207.803125,209.39765625,206.040625
10.3,208.08124999999998,209.64765625,206.25
10.4,208.359375,209.91015625,206.471484375
10.501,208.64374999999998,210.17578125,206.683984375
10.603,208.93437500000002,210.45390625,206.90859375
10.702,209.21875,210.723046875,207.130078125
10.801,209.509375,211.001171875,207.358203125
10.901,209.803515625,211.276171875,207.5828125
11.001,210.100390625,211.55742187500002,207.8140625
11.1,210.400390625,211.85703125,208.066796875
11.201,210.706640625,212.12578125000002,208.285546875
11.301,211.012890625,212.41640625,208.52265624999998
11.4,211.322265625,212.70703125,208.75703125
11.501,211.63789062499998,213.197265625,209.159765625
11.601,211.95390625,213.303515625,209.244140625
11.7,212.26953125,213.603515625,209.484375
11.801,212.59453125,213.9125,209.73710937500002
11.9,212.91367187499998,214.221875,209.98710937500002
12.0,213.238671875,214.528125,210.24609375
12.101,213.569921875,215.108984375,210.720703125
12.201,213.9046875,215.152734375,210.751953125
12.301,214.2328125,215.46210937499998,211.0078125
12.401,214.56718750000002,215.777734375,211.2671875
12.5,214.914453125,216.10546875,211.5390625
12.601,215.245703125,216.59921874999998,211.936328125
12.7,215.583203125,216.76171875,212.06757812499998
12.8,215.923828125,217.06757812499998,212.31757812499998
12.9,216.26796875000002,217.392578125,212.58046875
13.0,216.61484375,217.71757812500002,212.84921875
13.101,216.96796874999998,218.048828125,213.11796875
13.201,217.315234375,218.376953125,213.387109375
13.301,217.66523437499998,218.708203125,213.655859375
13.401,218.01484374999998,219.042578125,213.927734375
13.502,218.37734375,219.38320312500002,214.20624999999998
13.601,218.72382812499998,219.71445312499998,214.475
13.701,219.080078125,220.051953125,214.75
13.801,219.43593750000002,220.386328125,215.028515625
13.901,219.7859375,220.720703125,215.300390625
14.0,220.138671875,221.2859375,215.76953125
14.101,220.501171875,221.3953125,215.85078125
14.2,220.85390625000002,221.72968749999998,216.12265624999998
14.3,221.21328125,222.0734375,216.398046875
14.403,221.581640625,222.42343749999998,216.68242187500002
14.5,221.928515625,222.9484375,217.123046875
14.601,222.296875,223.0953125,217.23281250000002
14.7,222.671875,223.4515625,217.52656249999998
14.801,223.012109375,223.7671875,217.7859375
14.9,223.36835937499998,224.1015625,218.0796875
15.0,223.72421875,224.5171875,218.3984375
15.101,224.08671875,224.78593750000002,218.62031249999998
15.201,224.44257812499998,225.12968750000002,218.901953125
15.301,224.8015625,225.4609375,219.173828125
15.4,225.1515625,225.79531250000002,219.445703125
15.501,225.529296875,226.1703125,220.064453125
15.634,225.98515625000002,226.57968749999998,220.089453125
15.701,226.21953125,227.0984375,220.51445312500002
15.801,226.572265625,227.13593749999998,220.539453125
15.901,226.92499999999998,227.4671875,220.80546875000002
16.001,227.275,227.7984375,221.07734374999998
16.101,227.624609375,228.12656249999998,221.34609375
16.201,227.97109375,228.5671875,221.71171875000002
16.3,228.32109375000002,228.7890625,221.88984375
16.401,228.676953125,229.1328125,222.17734375
16.501,229.008203125,229.6109375,222.56484375
16.601,229.3484375,229.7609375,222.68359375
16.7,229.694921875,230.08906249999998,222.95585937500002
16.8,230.026171875,230.5546875,223.340234375
16.901,230.36328125,230.7171875,223.468359375
17.001,230.69765625,231.03281249999998,223.724609375
17.1,231.02578125,231.5453125,224.137109375
17.201,231.36015625000002,231.6609375,224.230859375
17.301,231.68828125,231.9703125,224.480859375
17.401,232.01328125,232.458203125,224.88984375
17.5,232.32890625,232.580078125,224.98359374999998
17.601,232.66328124999998,232.89882812500002,225.24609375
17.701,232.96640625,233.39882812500002,225.65859375
17.802,233.28828125,233.48320312500002,225.72421875
17.901,233.59453125,233.773828125,225.96171875000002
18.0,233.90390624999998,234.064453125,226.20234375
18.101,234.21015624999998,234.373828125,226.470703125
18.218,234.56640625,234.69257812499998,226.714453125
18.3,234.81015625,234.923828125,226.901953125
18.4,235.10390625,235.20546875,227.133203125
18.501,235.40078125,235.48359375,227.361328125
18.601,235.69140625,235.75859375,227.580078125
18.701,235.97578124999998,236.03984375000002,227.805078125
18.801,236.26015625,236.62109375,228.2796875
18.931,236.62578125,236.64296875,228.2984375
19.001,236.81640625,236.82421875,228.44843749999998
19.101,237.08515625,237.08046875,228.6578125
19.201,237.35429687500002,237.501953125,229.0109375
19.302,237.619921875,237.586328125,229.0734375
19.401,237.8796875,237.830078125,229.2703125
19.501,238.1359375,238.076953125,229.4671875
19.601,238.3890625,238.4484375,229.769921875
19.701,238.65507812500002,238.5859375,229.894921875
19.851,239.00820312500002,238.8984375,230.138671875
19.902,239.126953125,239.0078125,230.238671875
20.001,239.36171875,239.2296875,230.413671875
20.101,239.59296874999998,239.448046875,230.594921875
20.201,239.82109375,239.66679687500002,230.769921875
20.301,240.04023437499998,239.869921875,230.941796875
20.4,240.255859375,240.088671875,231.30390624999998
20.531,240.53398437500002,240.335546875,231.31953124999998
20.6,240.675,240.66640625,231.58515625
20.709,240.89687500000002,240.68203125000002,231.59765625
20.801,241.08124999999998,240.85703125,231.73828125
20.901,241.27499999999998,241.04453125,231.89140625
21.001,241.469140625,241.21953125000002,232.03515625
21.1,241.653515625,241.39140625,232.18203125
21.201,241.83476562500002,241.63164062500002,232.381640625
21.301,242.025390625,241.903515625,232.600390625
21.421,242.21015625,241.919140625,232.612890625
21.5,242.34140625,242.18789062500002,232.831640625
21.606,242.50703125,242.203515625,232.841015625
21.701,242.65390625,242.34101562499998,232.953515625
21.8,242.801171875,242.48164062499998,233.06914062500002
21.901,242.944921875,242.73749999999998,233.27851562499998
22.001,243.085546875,242.75,233.287890625
22.1,243.216796875,242.875,233.387890625
22.201,243.348046875,242.996875,233.487890625
22.3,243.46953125000002,243.19375,233.646875
22.4,243.58828125000002,243.221875,233.66875000000002
22.501,243.70078125,243.33125,233.75625
22.601,243.81015625,243.5625,233.946875
22.745,243.953515625,243.56875,233.953125
22.8,244.003515625,243.61875,233.99375
22.9,244.09414062500002,243.703125,234.0625
23.0,244.17851562500002,243.78125,234.125
23.1,244.259765625,243.859375,234.184375
23.2,244.331640625,243.96875,234.275
23.301,244.397265625,243.98749999999998,234.290625
23.401,244.456640625,244.040625,234.3375
23.501,244.509375,244.09375,234.38125000000002
23.601,244.55625,244.13750000000002,234.421875
23.7,244.60000000000002,244.178125,234.453125
23.801,244.640625,244.215625,234.484375
23.9,244.675,244.246875,234.51250000000002
24.0,244.7,244.271875,234.53437499999998
24.1,244.721875,244.29375000000002,234.55
24.201,244.73749999999998,244.30625,234.559375
24.3,244.746875,244.31875,234.5625
24.401,244.75625000000002,244.325,234.565625
24.501,244.759375,244.328125,234.57500000000002
24.6,244.75312499999998,244.321875,234.5875
24.701,244.746875,244.315625,234.59375
24.8,244.75312499999998,244.353125,234.54375
24.901,244.79999999999998,244.36875,234.53437499999998
25.001,244.88750000000002,244.446875,234.46875
25.1,244.96875,244.521875,234.384375
25.201,244.996875,244.55312500000002,234.275
25.301,244.946875,244.521875,234.14375
25.401,244.853125,244.45,233.98749999999998
25.501,244.7,244.23125000000002,233.684375
25.601,244.469140625,244.13437499999998,233.566015625
25.701,244.153515625,243.7625,233.219140625
25.8,243.75703125,243.1125,232.666015625
25.931,243.141796875,243.071875,232.628515625
26.0,242.76953125,242.771875,232.394140625
26.101,242.16953124999998,242.291015625,232.01015625
26.2,241.509765625,241.33203125,231.26328125
26.3,240.7875,241.19453125,231.16953125
26.401,240.03398437500002,240.59453125,230.719921875
26.501,239.26171875,239.96992187499998,230.232421875
26.601,238.4484375,239.0828125,229.61054687499998
26.7,237.613671875,238.6390625,229.3078125
26.801,236.77578125000002,237.942578125,228.8265625
26.901,235.93515625,236.48984375,227.839453125
27.014,234.98203125,236.42109375,227.801953125
27.1,234.25703125,235.78359375,227.386328125
27.201,233.40390624999998,235.014453125,226.908203125
27.3,232.58515625,233.945703125,226.27109375
27.4,231.75703124999998,233.43320312499998,225.98984375
27.5,230.92578125,232.605078125,225.53359375000002
27.602,230.09140624999998,231.0078125,224.708984375
27.701,229.2796875,230.8671875,224.649609375
