Format Version,1.23,Take Name,MDC_data_1781162996,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-06-11 05:30:06 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-06-11 17:30:06.231,0.000000,0.000000,0.000000,0.000000,0.324867,-0.369531,-0.267921,0.126889,-0.339489,-0.264895,0.225878,-0.354510,-0.266408,0.188413,-0.365755,-0.229879,0.225189,-0.388426,-0.192879,0.260496,-0.378211,-0.232281
2026-06-11 17:30:06.331,0.100000,0.000000,0.000000,0.000000,0.323563,-0.365296,-0.267790,0.126448,-0.335435,-0.263878,0.225005,-0.350366,-0.265834,0.187892,-0.362683,-0.228935,0.224748,-0.384372,-0.191862,0.260230,-0.373175,-0.232058
2026-06-11 17:30:06.431,0.200000,0.000000,0.000000,0.000000,0.324670,-0.364525,-0.266880,0.126450,-0.334438,-0.263850,0.225560,-0.349482,-0.265365,0.187971,-0.361701,-0.228862,0.224876,-0.383400,-0.191740,0.260225,-0.373192,-0.231194
2026-06-11 17:30:06.531,0.300000,0.000000,0.000000,0.000000,0.323673,-0.366310,-0.268044,0.126561,-0.335451,-0.264104,0.225117,-0.350881,-0.266074,0.188002,-0.363697,-0.229189,0.224858,-0.385385,-0.192116,0.260165,-0.375171,-0.231518
2026-06-11 17:30:06.631,0.400000,0.000000,0.000000,0.000000,0.323696,-0.363331,-0.267513,0.126340,-0.333424,-0.263596,0.225018,-0.348377,-0.265554,0.187781,-0.361670,-0.228681,0.224638,-0.383358,-0.191608,0.259945,-0.373144,-0.231010
2026-06-11 17:30:06.731,0.500000,0.000000,0.000000,0.000000,0.324004,-0.369350,-0.268807,0.126889,-0.339489,-0.264895,0.225446,-0.354420,-0.266851,0.188333,-0.366737,-0.229952,0.225318,-0.387454,-0.192757,0.260496,-0.378211,-0.232281
2026-06-11 17:30:06.831,0.599999,0.000000,0.000000,0.000000,0.323893,-0.368337,-0.268553,0.126781,-0.337478,-0.264612,0.225337,-0.352908,-0.266583,0.188223,-0.365724,-0.229698,0.224372,-0.386302,-0.191658,0.260556,-0.376233,-0.231957
2026-06-11 17:30:06.931,0.699999,0.000000,0.000000,0.000000,0.324867,-0.369531,-0.267921,0.126891,-0.338492,-0.264866,0.225879,-0.354012,-0.266394,0.188333,-0.366737,-0.229952,0.224355,-0.388288,-0.192035,0.260666,-0.377246,-0.232211
2026-06-11 17:30:07.031,0.799999,0.000000,0.000000,0.000000,0.323783,-0.367323,-0.268299,0.126673,-0.335467,-0.264330,0.225228,-0.351395,-0.266314,0.188112,-0.364710,-0.229443,0.224964,-0.386416,-0.191525,0.260446,-0.375219,-0.231702
2026-06-11 17:30:07.131,0.899999,0.000000,0.000000,0.000000,0.323342,-0.363269,-0.267282,0.126230,-0.332411,-0.263341,0.224786,-0.347840,-0.265312,0.187671,-0.360656,-0.228427,0.224528,-0.382345,-0.191354,0.260004,-0.371166,-0.230686
2026-06-11 17:30:07.231,0.999999,0.000000,0.000000,0.000000,0.324095,-0.362437,-0.266142,0.126119,-0.331397,-0.263087,0.225107,-0.346917,-0.264615,0.187481,-0.360624,-0.228246,0.224413,-0.381349,-0.190254,0.259894,-0.370152,-0.230432
2026-06-11 17:30:07.331,1.099999,0.000000,0.000000,0.000000,0.324560,-0.363512,-0.266626,0.126340,-0.333424,-0.263596,0.225450,-0.348468,-0.265111,0.187861,-0.360688,-0.228608,0.224766,-0.382387,-0.191486,0.259950,-0.373126,-0.231872
2026-06-11 17:30:07.431,1.199999,0.000000,0.000000,0.000000,0.324224,-0.371377,-0.269315,0.127114,-0.339522,-0.265346,0.225669,-0.355449,-0.267331,0.188474,-0.369746,-0.230533,0.224575,-0.390315,-0.192543,0.260717,-0.380238,-0.232789
2026-06-11 17:30:07.531,1.299999,0.000000,0.000000,0.000000,0.324670,-0.364525,-0.266880,0.126450,-0.334438,-0.263850,0.225560,-0.349482,-0.265365,0.187892,-0.362683,-0.228935,0.224748,-0.384372,-0.191862,0.260060,-0.374140,-0.232126
2026-06-11 17:30:07.631,1.399999,0.000000,0.000000,0.000000,0.324781,-0.365539,-0.267134,0.126558,-0.336449,-0.264132,0.225669,-0.350994,-0.265633,0.188002,-0.363697,-0.229189,0.224982,-0.384431,-0.191148,0.259323,-0.374994,-0.232382
2026-06-11 17:30:07.731,1.499999,0.000000,0.000000,0.000000,0.323985,-0.361423,-0.265888,0.126009,-0.330384,-0.262833,0.224997,-0.345904,-0.264361,0.187451,-0.358629,-0.227918,0.224307,-0.380318,-0.190845,0.259784,-0.369138,-0.230177
2026-06-11 17:30:07.831,1.599998,0.000000,0.000000,0.000000,0.324426,-0.365477,-0.266905,0.126450,-0.334438,-0.263850,0.225438,-0.349958,-0.265377,0.187892,-0.362683,-0.228935,0.224748,-0.384372,-0.191862,0.260225,-0.373192,-0.231194
2026-06-11 17:30:07.931,1.699998,0.000000,0.000000,0.000000,0.324205,-0.363450,-0.266397,0.126230,-0.332411,-0.263341,0.225218,-0.347931,-0.264869,0.187671,-0.360656,-0.228427,0.224528,-0.382345,-0.191354,0.259835,-0.372131,-0.230756
2026-06-11 17:30:08.031,1.799998,0.000000,0.000000,0.000000,0.325088,-0.371558,-0.268430,0.127112,-0.340519,-0.265375,0.226100,-0.356039,-0.266902,0.188474,-0.369746,-0.230533,0.224575,-0.390315,-0.192543,0.260887,-0.379273,-0.232719
2026-06-11 17:30:08.131,1.899998,0.000000,0.000000,0.000000,0.324891,-0.366552,-0.267389,0.126671,-0.336465,-0.264358,0.225781,-0.351509,-0.265873,0.188192,-0.363728,-0.229371,0.224964,-0.386416,-0.191525,0.260446,-0.375219,-0.231702
2026-06-11 17:30:08.231,1.999998,0.000000,0.000000,0.000000,0.324229,-0.360471,-0.265864,0.126009,-0.330384,-0.262833,0.225119,-0.345428,-0.264348,0.187451,-0.358629,-0.227918,0.224307,-0.380318,-0.190845,0.259614,-0.370103,-0.230247
2026-06-11 17:30:08.331,2.099998,0.000000,0.000000,0.000000,0.325222,-0.369593,-0.268151,0.126999,-0.340503,-0.265149,0.226110,-0.355048,-0.266650,0.188523,-0.366769,-0.230133,0.225428,-0.388468,-0.193011,0.259760,-0.379066,-0.232536
2026-06-11 17:30:08.431,2.199998,0.000000,0.000000,0.000000,0.324670,-0.364525,-0.266880,0.126448,-0.335435,-0.263878,0.225559,-0.349980,-0.265379,0.187892,-0.362683,-0.228935,0.224748,-0.384372,-0.191862,0.260060,-0.374140,-0.232126
2026-06-11 17:30:08.531,2.299998,0.000000,0.000000,0.000000,0.323916,-0.365358,-0.268021,0.126561,-0.335451,-0.264104,0.225238,-0.350404,-0.266062,0.188002,-0.363697,-0.229189,0.224854,-0.385403,-0.191271,0.260340,-0.374188,-0.232312
2026-06-11 17:30:08.631,2.399998,0.000000,0.000000,0.000000,0.324316,-0.364464,-0.266651,0.126338,-0.334422,-0.263624,0.225327,-0.349443,-0.265137,0.187781,-0.361670,-0.228681,0.224766,-0.382387,-0.191486,0.260115,-0.372179,-0.230940
2026-06-11 17:30:08.731,2.499998,0.000000,0.000000,0.000000,0.325222,-0.369593,-0.268151,0.127002,-0.339505,-0.265121,0.226112,-0.354549,-0.266636,0.188443,-0.367750,-0.230206,0.225295,-0.389457,-0.192288,0.260776,-0.378260,-0.232465
2026-06-11 17:30:08.831,2.599998,0.000000,0.000000,0.000000,0.325111,-0.368579,-0.267897,0.126889,-0.339489,-0.264895,0.226000,-0.354034,-0.266396,0.188333,-0.366737,-0.229952,0.225189,-0.388426,-0.192879,0.260496,-0.378211,-0.232281
2026-06-11 17:30:08.931,2.699997,0.000000,0.000000,0.000000,0.324560,-0.363512,-0.266626,0.126340,-0.333424,-0.263596,0.225450,-0.348468,-0.265111,0.187781,-0.361670,-0.228681,0.224633,-0.383376,-0.190763,0.260115,-0.372179,-0.230940
2026-06-11 17:30:09.031,2.799997,0.000000,0.000000,0.000000,0.323916,-0.365358,-0.268021,0.126563,-0.334454,-0.264075,0.225240,-0.349906,-0.266048,0.188002,-0.363697,-0.229189,0.224858,-0.385385,-0.192116,0.260170,-0.375153,-0.232381
2026-06-11 17:30:09.131,2.899997,0.000000,0.000000,0.000000,0.324757,-0.368518,-0.267667,0.126781,-0.337478,-0.264612,0.225769,-0.352998,-0.266140,0.188223,-0.365724,-0.229698,0.225079,-0.387412,-0.192625,0.260556,-0.376233,-0.231957
2026-06-11 17:30:09.231,2.999997,0.000000,0.000000,0.000000,0.323563,-0.365296,-0.267790,0.126450,-0.334438,-0.263850,0.225006,-0.349867,-0.265820,0.187971,-0.361701,-0.228862,0.224748,-0.384372,-0.191862,0.260055,-0.374157,-0.231264
2026-06-11 17:30:09.331,3.099997,0.000000,0.000000,0.000000,0.324205,-0.363450,-0.266397,0.126230,-0.332411,-0.263341,0.225218,-0.347931,-0.264869,0.187671,-0.360656,-0.228427,0.224528,-0.382345,-0.191354,0.258988,-0.371972,-0.230757
2026-06-11 17:30:09.431,3.199997,0.000000,0.000000,0.000000,0.323673,-0.366310,-0.268044,0.126563,-0.334454,-0.264075,0.225118,-0.350382,-0.266060,0.188002,-0.363697,-0.229189,0.224858,-0.385385,-0.192116,0.259323,-0.374994,-0.232382
2026-06-11 17:30:09.531,3.299997,0.000000,0.000000,0.000000,0.324137,-0.367385,-0.268529,0.126784,-0.336481,-0.264584,0.225460,-0.351933,-0.266557,0.188223,-0.365724,-0.229698,0.225079,-0.387412,-0.192625,0.260386,-0.377198,-0.232026
2026-06-11 17:30:09.631,3.399997,0.000000,0.000000,0.000000,0.324560,-0.363512,-0.266626,0.126340,-0.333424,-0.263596,0.225450,-0.348468,-0.265111,0.187781,-0.361670,-0.228681,0.224638,-0.383358,-0.191608,0.259098,-0.372985,-0.231011
2026-06-11 17:30:09.731,3.499997,0.000000,0.000000,0.000000,0.324224,-0.371377,-0.269315,0.127110,-0.341516,-0.265403,0.225667,-0.356447,-0.267359,0.188554,-0.368764,-0.230460,0.225410,-0.390453,-0.193387,0.260722,-0.380221,-0.233651
2026-06-11 17:30:09.831,3.599997,0.000000,0.000000,0.000000,0.323563,-0.365296,-0.267790,0.126448,-0.335435,-0.263878,0.225005,-0.350366,-0.265834,0.187971,-0.361701,-0.228862,0.224744,-0.384389,-0.191017,0.259208,-0.373999,-0.231265
