RelativeTime_s,AbsoluteTimestamp_ISO8601
0,2026-06-11T17:29:48.148000
0.002,2026-06-11T17:29:48.150000
0.004,2026-06-11T17:29:48.152000
0.006,2026-06-11T17:29:48.154000
0.008,2026-06-11T17:29:48.156000
0.01,2026-06-11T17:29:48.158000
0.012,2026-06-11T17:29:48.160000
0.014,2026-06-11T17:29:48.162000
0.016,2026-06-11T17:29:48.164000
0.018,2026-06-11T17:29:48.166000
0.02,2026-06-11T17:29:48.168000
0.022,2026-06-11T17:29:48.170000
0.024,2026-06-11T17:29:48.172000
0.026,2026-06-11T17:29:48.174000
0.028,2026-06-11T17:29:48.176000
0.03,2026-06-11T17:29:48.178000
0.032,2026-06-11T17:29:48.180000
0.034,2026-06-11T17:29:48.182000
0.036,2026-06-11T17:29:48.184000
0.038,2026-06-11T17:29:48.186000
0.04,2026-06-11T17:29:48.188000
0.042,2026-06-11T17:29:48.190000
0.044,2026-06-11T17:29:48.192000
0.046,2026-06-11T17:29:48.194000
0.048,2026-06-11T17:29:48.196000
0.05,2026-06-11T17:29:48.198000
0.052,2026-06-11T17:29:48.200000
0.054,2026-06-11T17:29:48.202000
0.056,2026-06-11T17:29:48.204000
0.058,2026-06-11T17:29:48.206000
0.06,2026-06-11T17:29:48.208000
0.062,2026-06-11T17:29:48.210000
0.064,2026-06-11T17:29:48.212000
0.066,2026-06-11T17:29:48.214000
0.068,2026-06-11T17:29:48.216000
0.07,2026-06-11T17:29:48.218000
0.072,2026-06-11T17:29:48.220000
0.074,2026-06-11T17:29:48.222000
0.076,2026-06-11T17:29:48.224000
0.078,2026-06-11T17:29:48.226000
0.08,2026-06-11T17:29:48.228000
0.082,2026-06-11T17:29:48.230000
0.084,2026-06-11T17:29:48.232000
0.086,2026-06-11T17:29:48.234000
0.088,2026-06-11T17:29:48.236000
0.09,2026-06-11T17:29:48.238000
0.092,2026-06-11T17:29:48.240000
0.094,2026-06-11T17:29:48.242000
0.096,2026-06-11T17:29:48.244000
0.098,2026-06-11T17:29:48.246000
0.1,2026-06-11T17:29:48.248000
0.102,2026-06-11T17:29:48.250000
0.104,2026-06-11T17:29:48.252000
0.106,2026-06-11T17:29:48.254000
0.108,2026-06-11T17:29:48.256000
0.11,2026-06-11T17:29:48.258000
0.112,2026-06-11T17:29:48.260000
0.114,2026-06-11T17:29:48.262000
0.116,2026-06-11T17:29:48.264000
0.118,2026-06-11T17:29:48.266000
0.12,2026-06-11T17:29:48.268000
0.122,2026-06-11T17:29:48.270000
0.124,2026-06-11T17:29:48.272000
0.126,2026-06-11T17:29:48.274000
0.128,2026-06-11T17:29:48.276000
0.13,2026-06-11T17:29:48.278000
0.132,2026-06-11T17:29:48.280000
0.134,2026-06-11T17:29:48.282000
0.136,2026-06-11T17:29:48.284000
0.138,2026-06-11T17:29:48.286000
0.14,2026-06-11T17:29:48.288000
0.142,2026-06-11T17:29:48.290000
0.144,2026-06-11T17:29:48.292000
0.146,2026-06-11T17:29:48.294000
0.148,2026-06-11T17:29:48.296000
0.15,2026-06-11T17:29:48.298000
0.152,2026-06-11T17:29:48.300000
0.154,2026-06-11T17:29:48.302000
0.156,2026-06-11T17:29:48.304000
0.158,2026-06-11T17:29:48.306000
0.16,2026-06-11T17:29:48.308000
0.162,2026-06-11T17:29:48.310000
0.164,2026-06-11T17:29:48.312000
0.166,2026-06-11T17:29:48.314000
0.168,2026-06-11T17:29:48.316000
0.17,2026-06-11T17:29:48.318000
0.172,2026-06-11T17:29:48.320000
0.174,2026-06-11T17:29:48.322000
0.176,2026-06-11T17:29:48.324000
0.178,2026-06-11T17:29:48.326000
0.18,2026-06-11T17:29:48.328000
0.182,2026-06-11T17:29:48.330000
0.184,2026-06-11T17:29:48.332000
0.186,2026-06-11T17:29:48.334000
0.188,2026-06-11T17:29:48.336000
0.19,2026-06-11T17:29:48.338000
0.192,2026-06-11T17:29:48.340000
0.194,2026-06-11T17:29:48.342000
0.196,2026-06-11T17:29:48.344000
0.198,2026-06-11T17:29:48.346000
0.2,2026-06-11T17:29:48.348000
0.202,2026-06-11T17:29:48.350000
0.204,2026-06-11T17:29:48.352000
0.206,2026-06-11T17:29:48.354000
0.208,2026-06-11T17:29:48.356000
0.21,2026-06-11T17:29:48.358000
0.212,2026-06-11T17:29:48.360000
0.214,2026-06-11T17:29:48.362000
0.216,2026-06-11T17:29:48.364000
0.218,2026-06-11T17:29:48.366000
0.22,2026-06-11T17:29:48.368000
0.222,2026-06-11T17:29:48.370000
0.224,2026-06-11T17:29:48.372000
0.226,2026-06-11T17:29:48.374000
0.228,2026-06-11T17:29:48.376000
0.23,2026-06-11T17:29:48.378000
0.232,2026-06-11T17:29:48.380000
0.234,2026-06-11T17:29:48.382000
0.236,2026-06-11T17:29:48.384000
0.238,2026-06-11T17:29:48.386000
0.24,2026-06-11T17:29:48.388000
0.242,2026-06-11T17:29:48.390000
0.244,2026-06-11T17:29:48.392000
0.246,2026-06-11T17:29:48.394000
0.248,2026-06-11T17:29:48.396000
0.25,2026-06-11T17:29:48.398000
0.252,2026-06-11T17:29:48.400000
0.254,2026-06-11T17:29:48.402000
0.256,2026-06-11T17:29:48.404000
0.258,2026-06-11T17:29:48.406000
0.26,2026-06-11T17:29:48.408000
0.262,2026-06-11T17:29:48.410000
0.264,2026-06-11T17:29:48.412000
0.266,2026-06-11T17:29:48.414000
0.268,2026-06-11T17:29:48.416000
0.27,2026-06-11T17:29:48.418000
0.272,2026-06-11T17:29:48.420000
0.274,2026-06-11T17:29:48.422000
0.276,2026-06-11T17:29:48.424000
0.278,2026-06-11T17:29:48.426000
0.28,2026-06-11T17:29:48.428000
0.282,2026-06-11T17:29:48.430000
0.284,2026-06-11T17:29:48.432000
0.286,2026-06-11T17:29:48.434000
0.288,2026-06-11T17:29:48.436000
0.29,2026-06-11T17:29:48.438000
0.292,2026-06-11T17:29:48.440000
0.294,2026-06-11T17:29:48.442000
0.296,2026-06-11T17:29:48.444000
0.298,2026-06-11T17:29:48.446000
0.3,2026-06-11T17:29:48.448000
0.302,2026-06-11T17:29:48.450000
0.304,2026-06-11T17:29:48.452000
0.306,2026-06-11T17:29:48.454000
0.308,2026-06-11T17:29:48.456000
0.31,2026-06-11T17:29:48.458000
0.312,2026-06-11T17:29:48.460000
0.314,2026-06-11T17:29:48.462000
0.316,2026-06-11T17:29:48.464000
0.318,2026-06-11T17:29:48.466000
0.32,2026-06-11T17:29:48.468000
0.322,2026-06-11T17:29:48.470000
0.324,2026-06-11T17:29:48.472000
0.326,2026-06-11T17:29:48.474000
0.328,2026-06-11T17:29:48.476000
0.33,2026-06-11T17:29:48.478000
0.332,2026-06-11T17:29:48.480000
0.334,2026-06-11T17:29:48.482000
0.336,2026-06-11T17:29:48.484000
0.338,2026-06-11T17:29:48.486000
0.34,2026-06-11T17:29:48.488000
0.342,2026-06-11T17:29:48.490000
0.344,2026-06-11T17:29:48.492000
0.346,2026-06-11T17:29:48.494000
0.348,2026-06-11T17:29:48.496000
0.35,2026-06-11T17:29:48.498000
0.352,2026-06-11T17:29:48.500000
0.354,2026-06-11T17:29:48.502000
0.356,2026-06-11T17:29:48.504000
0.358,2026-06-11T17:29:48.506000
0.36,2026-06-11T17:29:48.508000
0.362,2026-06-11T17:29:48.510000
0.364,2026-06-11T17:29:48.512000
0.366,2026-06-11T17:29:48.514000
0.368,2026-06-11T17:29:48.516000
0.37,2026-06-11T17:29:48.518000
0.372,2026-06-11T17:29:48.520000
0.374,2026-06-11T17:29:48.522000
0.376,2026-06-11T17:29:48.524000
0.378,2026-06-11T17:29:48.526000
0.38,2026-06-11T17:29:48.528000
0.382,2026-06-11T17:29:48.530000
0.384,2026-06-11T17:29:48.532000
0.386,2026-06-11T17:29:48.534000
0.388,2026-06-11T17:29:48.536000
0.39,2026-06-11T17:29:48.538000
0.392,2026-06-11T17:29:48.540000
0.394,2026-06-11T17:29:48.542000
0.396,2026-06-11T17:29:48.544000
0.398,2026-06-11T17:29:48.546000
0.4,2026-06-11T17:29:48.548000
0.402,2026-06-11T17:29:48.550000
0.404,2026-06-11T17:29:48.552000
0.406,2026-06-11T17:29:48.554000
0.408,2026-06-11T17:29:48.556000
0.41,2026-06-11T17:29:48.558000
0.412,2026-06-11T17:29:48.560000
0.414,2026-06-11T17:29:48.562000
0.416,2026-06-11T17:29:48.564000
0.418,2026-06-11T17:29:48.566000
0.42,2026-06-11T17:29:48.568000
0.422,2026-06-11T17:29:48.570000
0.424,2026-06-11T17:29:48.572000
0.426,2026-06-11T17:29:48.574000
0.428,2026-06-11T17:29:48.576000
0.43,2026-06-11T17:29:48.578000
