Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-03-18 11:43:15 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.0000,0.000000,0.000000,0.000000,-0.076569,0.143499,0.068335,0.076568,0.140736,0.067523,-0.000001,0.142117,0.067929,-0.004140,0.155814,0.142272,0.025080,0.153953,0.096543
1,0.1000,0.000000,0.000000,0.000000,-0.084177,0.131637,0.071781,0.069029,0.135118,0.068268,-0.007574,0.133378,0.070025,-0.010920,0.147640,0.144305,0.017498,0.146704,0.098045
2,0.2000,0.000000,0.000000,0.000000,-0.084177,0.131637,0.071781,0.069029,0.135118,0.068268,-0.007574,0.133378,0.070025,-0.010920,0.147640,0.144305,0.017498,0.146704,0.098045
3,0.3000,0.000000,0.000000,0.000000,-0.084138,0.130932,0.071964,0.068959,0.135618,0.068196,-0.007589,0.133275,0.070080,-0.010979,0.147579,0.144373,0.017414,0.146667,0.098099
4,0.4000,0.000000,0.000000,0.000000,-0.084138,0.130932,0.071964,0.068959,0.135618,0.068196,-0.007589,0.133275,0.070080,-0.010979,0.147579,0.144373,0.017414,0.146667,0.098099
5,0.5000,0.000000,0.000000,0.000000,-0.083451,0.133600,0.071055,0.069893,0.135339,0.068210,-0.006779,0.134470,0.069632,-0.010073,0.148690,0.144039,0.018441,0.147631,0.097842
6,0.6000,0.000000,0.000000,0.000000,-0.083451,0.133600,0.071055,0.069893,0.135339,0.068210,-0.006779,0.134470,0.069632,-0.010073,0.148690,0.144039,0.018441,0.147631,0.097842
7,0.7000,0.000000,0.000000,0.000000,-0.083451,0.133600,0.071055,0.069893,0.135339,0.068210,-0.006779,0.134470,0.069632,-0.010073,0.148690,0.144039,0.018441,0.147631,0.097842
8,0.8000,0.000000,0.000000,0.000000,-0.084259,0.130720,0.072033,0.068835,0.135250,0.068237,-0.007712,0.132985,0.070135,-0.011073,0.147356,0.144383,0.017311,0.146445,0.098103
