Format Version,1.23,Take Name,heart_sim_output_1779180817,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-19 06:53:38 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,0.281493,-0.559329,-0.342378,0.126485,-0.555493,-0.338591,0.203989,-0.557411,-0.340485,0.206579,-0.585348,-0.273073,0.203528,-0.592392,-0.320387
1,0.100000,0.000000,0.000000,0.000000,0.247109,-0.606112,-0.278911,0.092565,-0.593324,-0.275853,0.169837,-0.599718,-0.277382,0.171175,-0.620124,-0.207287,0.167536,-0.632181,-0.253536
2,0.200000,0.000000,0.000000,0.000000,0.247045,-0.605087,-0.278727,0.092508,-0.591270,-0.275705,0.169776,-0.598179,-0.277216,0.171110,-0.619099,-0.207103,0.167580,-0.630144,-0.253358
3,0.300000,0.000000,0.000000,0.000000,0.281128,-0.556348,-0.341493,0.126120,-0.552512,-0.337705,0.203624,-0.554430,-0.339599,0.206269,-0.581367,-0.272022,0.203215,-0.588400,-0.319396
4,0.400000,0.000000,0.000000,0.000000,0.247045,-0.605087,-0.278727,0.092501,-0.592299,-0.275669,0.169773,-0.598693,-0.277198,0.170385,-0.617972,-0.207020,0.167580,-0.630144,-0.253358
5,0.500000,0.000000,0.000000,0.000000,0.247302,-0.609188,-0.279464,0.092759,-0.596400,-0.276406,0.170031,-0.602794,-0.277935,0.171368,-0.623200,-0.207840,0.167838,-0.634245,-0.254095
6,0.600000,0.000000,0.000000,0.000000,0.247174,-0.607138,-0.279096,0.092630,-0.594349,-0.276037,0.169902,-0.600744,-0.277566,0.171239,-0.621150,-0.207472,0.167600,-0.633206,-0.253720
7,0.700000,0.000000,0.000000,0.000000,0.281128,-0.556348,-0.341493,0.126120,-0.552512,-0.337705,0.203624,-0.554430,-0.339599,0.206214,-0.582367,-0.272188,0.203215,-0.588400,-0.319396
