Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 16:00,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.096473,-0.070263,0.064003,-0.051228,-0.077245,0.058121,0.022623,-0.073754,0.061062,,,,,,,,,,,,
1,0.1,,,,,,,,,,,,,,,,,,,,,
2,0.2,,,,,,,,,,,,,,,,,,,,,
3,0.3,0.096629,-0.070846,0.064014,-0.051808,-0.079312,0.057878,0.022411,-0.075079,0.060946,,,,,,,,,,,,
4,0.4,0.096673,-0.070729,0.064065,-0.051883,-0.079591,0.057835,0.022395,-0.07516,0.06095,,,,0.030334,-0.16094,0.14289,,,,,,
5,0.5,0.096728,-0.071107,0.064051,-0.051931,-0.079719,0.057799,0.022399,-0.075413,0.060925,,,,0.030778,-0.160894,0.143,0.000012,-0.164222,0.096456,,,
6,0.6,0.096729,-0.071085,0.063934,-0.052062,-0.080387,0.057706,0.022333,-0.075736,0.06082,-0.003107,-0.162387,0.142942,0.030818,-0.161054,0.143406,0.000557,-0.164385,0.095924,,,
7,0.7,0.096723,-0.070796,0.064103,-0.052015,-0.08014,0.057727,0.022354,-0.075468,0.060915,-0.002568,-0.161495,0.142918,0.030776,-0.161036,0.143419,0.000548,-0.164371,0.095916,,,
8,0.8,0.096717,-0.070721,0.064073,-0.05195,-0.080031,0.057756,0.022383,-0.075376,0.060915,-0.003157,-0.162512,0.143929,0.030831,-0.161031,0.143428,0.000588,-0.164369,0.095935,,,
9,0.9,0.096742,-0.071023,0.063995,-0.052197,-0.080792,0.057593,0.022273,-0.075907,0.060794,-0.003165,-0.162348,0.143454,0.030791,-0.160934,0.143452,0.000629,-0.163327,0.096524,,,
10,1,0.096776,-0.071442,0.063924,-0.052116,-0.080524,0.05763,0.02233,-0.075983,0.060777,-0.003198,-0.162474,0.143411,0.030759,-0.161077,0.143395,0.000576,-0.163449,0.096479,,,
11,1.1,0.096577,-0.069956,0.064246,-0.051945,-0.079885,0.057797,0.022316,-0.074921,0.061021,-0.002631,-0.1616,0.143954,0.030778,-0.161007,0.143478,0.000514,-0.164421,0.096474,0.027687,-0.166428,0.097552
12,1.2,0.096764,-0.070977,0.064012,-0.052201,-0.081045,0.057575,0.022282,-0.076011,0.060794,-0.003161,-0.162502,0.143954,0.030828,-0.16102,0.143454,0.000554,-0.164437,0.096458,0.027728,-0.166441,0.097529
13,1.3,0.09665,-0.070295,0.064135,-0.052158,-0.080664,0.057638,0.022246,-0.075479,0.060886,-0.003196,-0.162455,0.143953,0.030793,-0.160978,0.143456,0.000523,-0.164383,0.096457,0.028677,-0.166611,0.097061
14,1.4,0.09695,-0.07267,0.063777,-0.052076,-0.080403,0.057695,0.022437,-0.076537,0.060736,-0.002639,-0.161618,0.143938,0.030736,-0.162081,0.143481,0.000596,-0.163426,0.096535,0.028652,-0.166671,0.097061
15,1.5,0.096678,-0.070744,0.064045,-0.052344,-0.081466,0.057485,0.022167,-0.076105,0.060765,-0.00316,-0.162363,0.142983,0.030765,-0.161034,0.143457,0.000485,-0.164439,0.096464,0.027754,-0.166247,0.09606
16,1.6,0.096759,-0.071009,0.063997,-0.052166,-0.080847,0.057615,0.022297,-0.075928,0.060806,-0.00257,-0.161599,0.14341,0.030807,-0.16108,0.143404,0.000487,-0.164553,0.096913,0.027314,-0.166142,0.095996
17,1.7,0.09674,-0.070877,0.064038,-0.052142,-0.080701,0.057647,0.022299,-0.075789,0.060842,-0.002591,-0.161546,0.143914,0.030818,-0.160954,0.14343,0.000544,-0.164345,0.096432,0.027814,-0.166146,0.096031
18,1.8,0.096841,-0.071548,0.06392,-0.052083,-0.080519,0.05766,0.022379,-0.076034,0.06079,-0.002611,-0.16169,0.144404,0.03083,-0.161023,0.143433,0.000524,-0.164505,0.096933,0.027763,-0.166369,0.097017
19,1.9,0.096754,-0.071144,0.06401,-0.052276,-0.08133,0.057507,0.022239,-0.076237,0.060759,-0.003086,-0.161434,0.143909,0.03076,-0.162037,0.143464,0.000522,-0.164389,0.096439,0.02735,-0.165976,0.095538
20,2,0.096731,-0.071226,0.063986,-0.05223,-0.080884,0.05762,0.022251,-0.076055,0.060803,-0.002646,-0.16155,0.143444,0.030762,-0.160973,0.142968,0.000419,-0.164508,0.096948,0.02772,-0.16625,0.096047
