Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 18:05,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.129555,-0.10741,0.085876,0.006122,-0.113146,0.087667,0.067838,-0.110278,0.086772,0.039432,-0.158389,0.143464,0.072753,-0.160371,0.143449,0.042415,-0.161493,0.096943,0.069246,-0.163031,0.096252
1,0.1,0.129458,-0.107051,0.086007,0.0058,-0.114486,0.087535,0.067629,-0.110769,0.086771,0.039293,-0.158374,0.143958,0.072649,-0.160307,0.143479,0.042322,-0.161407,0.096965,0.06911,-0.164013,0.096197
2,0.2,0.129561,-0.107848,0.08595,0.005735,-0.115615,0.087499,0.067648,-0.111732,0.086725,0.038866,-0.158263,0.144463,0.072704,-0.160285,0.143529,0.042387,-0.161416,0.097009,0.069219,-0.162953,0.096331
3,0.3,0.129449,-0.106705,0.086035,0.006011,-0.11353,0.087646,0.06773,-0.110118,0.086841,0.039328,-0.158482,0.144432,0.07272,-0.160338,0.143474,0.042383,-0.161459,0.096967,0.069136,-0.164122,0.096667
4,0.4,0.129425,-0.106828,0.086054,0.005753,-0.114843,0.087496,0.067589,-0.110835,0.086775,0.038891,-0.158247,0.143945,0.072692,-0.160348,0.143469,0.042457,-0.160428,0.097042,0.069144,-0.164062,0.096187
5,0.5,0.129504,-0.106747,0.086043,0.006027,-0.113836,0.087611,0.067766,-0.110292,0.086827,0.039318,-0.159413,0.143993,0.072785,-0.160274,0.143486,0.042454,-0.161405,0.096975,0.069656,-0.16423,0.096688
6,0.6,0.129488,-0.107225,0.085913,0.005785,-0.114612,0.087473,0.067637,-0.110919,0.086693,0.039302,-0.158495,0.144384,0.072694,-0.160355,0.143428,0.042361,-0.161453,0.096918,0.069149,-0.164054,0.096145
7,0.7,0.12951,-0.107077,0.086029,0.005964,-0.113776,0.087634,0.067737,-0.110427,0.086831,0.039366,-0.158342,0.144003,0.072722,-0.160259,0.143528,0.0424,-0.161388,0.097012,0.069226,-0.163917,0.095772
8,0.8,0.129508,-0.106959,0.085982,0.005974,-0.114152,0.087585,0.067741,-0.110556,0.086784,0.03943,-0.158418,0.143977,0.072787,-0.160324,0.143494,0.042555,-0.160436,0.097065,0.069244,-0.164053,0.096213
9,0.9,0.129479,-0.106274,0.086184,0.006085,-0.113439,0.087676,0.067782,-0.109856,0.08693,0.03938,-0.158396,0.144464,0.072772,-0.160242,0.14351,0.042442,-0.161377,0.096999,0.069232,-0.163966,0.096229
10,1,0.129502,-0.107324,0.085891,0.005741,-0.114836,0.087458,0.067621,-0.11108,0.086675,0.039371,-0.158382,0.143442,0.072691,-0.160376,0.143425,0.04235,-0.161481,0.09692,0.069585,-0.164258,0.096153
11,1.1,0.129474,-0.107341,0.086026,0.006002,-0.113214,0.087697,0.067738,-0.110278,0.086862,0.038844,-0.158177,0.143958,0.072609,-0.161357,0.143513,0.042317,-0.161379,0.096975,0.068658,-0.16381,0.096196
12,1.2,0.129445,-0.10712,0.085992,0.005866,-0.114055,0.087546,0.067656,-0.110588,0.086769,0.039422,-0.157358,0.143893,0.072667,-0.160339,0.143427,0.042323,-0.161431,0.096923,0.069558,-0.164214,0.096154
13,1.3,0.129446,-0.106884,0.086009,0.005921,-0.1149,0.087553,0.067683,-0.110892,0.086781,0.039367,-0.158446,0.143965,0.072724,-0.16036,0.143485,0.042395,-0.161497,0.096973,0.069184,-0.164088,0.096204
14,1.4,0.129561,-0.107024,0.086028,0.005987,-0.114017,0.087637,0.067774,-0.11052,0.086833,0.039447,-0.1583,0.144,0.072804,-0.160212,0.143515,0.042469,-0.161338,0.097007,0.069706,-0.164102,0.096243
15,1.5,0.12946,-0.106976,0.086057,0.005933,-0.113839,0.087605,0.067697,-0.110408,0.086831,0.038889,-0.158236,0.143936,0.072691,-0.160332,0.143465,0.042362,-0.161442,0.096953,0.069115,-0.164106,0.096657
16,1.6,0.129537,-0.107466,0.085972,0.005633,-0.11552,0.087395,0.067585,-0.111493,0.086684,0.038921,-0.158235,0.143949,0.072723,-0.160321,0.14348,0.042398,-0.161449,0.096966,0.069635,-0.164213,0.096208
17,1.7,0.129489,-0.107052,0.086032,0.005924,-0.113943,0.087618,0.067707,-0.110497,0.086825,0.038334,-0.159036,0.143993,0.072224,-0.160151,0.143965,0.042474,-0.160347,0.097077,0.069162,-0.163974,0.096231
