Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-27 14:45:33.069,0.002618,200.000,202.000,200.000
2026-05-27 14:45:36.086,3.018374,200.000,202.000,200.000
2026-05-27 14:45:39.105,6.037206,200.693,207.729,200.525
2026-05-27 14:45:42.126,9.058238,200.693,207.729,200.525
2026-05-27 14:45:45.146,12.078267,248.000,202.000,200.000
2026-05-27 14:45:48.164,15.096114,248.000,202.000,200.000
2026-05-27 14:45:51.182,18.120908,248.000,202.000,248.000
2026-05-27 14:45:54.211,21.143328,248.000,202.000,248.000
2026-05-27 14:45:57.225,24.159404,248.000,248.000,248.000
2026-05-27 14:46:00.247,27.179528,248.000,248.000,248.000
2026-05-27 14:46:03.278,30.209763,245.518,244.432,237.256
2026-05-27 14:46:06.294,33.225640,245.518,244.432,237.256
2026-05-27 14:46:09.311,36.243323,238.262,239.706,229.262
2026-05-27 14:46:12.328,39.260062,238.262,239.706,229.262
2026-05-27 14:46:15.344,42.276068,241.568,247.917,224.254
2026-05-27 14:46:18.360,45.292219,241.568,247.917,224.254
2026-05-27 14:46:21.381,48.312973,248.000,248.000,200.000
2026-05-27 14:46:24.396,51.327880,248.000,248.000,200.000
2026-05-27 14:46:27.412,54.343855,225.944,245.846,200.811
2026-05-27 14:46:30.426,57.357963,225.944,245.846,200.811
2026-05-27 14:46:33.446,60.377579,220.485,243.805,209.931
2026-05-27 14:46:36.456,63.388230,220.485,243.805,209.931
2026-05-27 14:46:39.480,66.411867,217.026,233.803,222.129
2026-05-27 14:46:42.502,69.433813,217.026,233.803,222.129
2026-05-27 14:46:45.519,72.450591,221.724,236.027,241.749
2026-05-27 14:46:48.530,75.462108,221.724,236.027,241.749
2026-05-27 14:46:51.548,78.479722,200.000,248.000,248.000
2026-05-27 14:46:54.563,81.495277,200.000,248.000,248.000
2026-05-27 14:46:57.582,84.513470,203.600,241.009,246.607
2026-05-27 14:47:00.600,87.531593,203.600,241.009,246.607
2026-05-27 14:47:03.611,90.542913,200.000,202.000,248.000
2026-05-27 14:47:06.629,93.560918,200.000,202.000,248.000
2026-05-27 14:47:09.659,96.591182,210.985,217.270,243.929
2026-05-27 14:47:12.678,99.610028,210.985,217.270,243.929
2026-05-27 14:47:15.718,102.650319,218.153,217.791,245.506
2026-05-27 14:47:18.731,105.662515,218.153,217.791,245.506
2026-05-27 14:47:21.753,108.684645,230.716,212.447,243.629
2026-05-27 14:47:24.767,111.698735,230.716,212.447,243.629
2026-05-27 14:47:27.780,114.712286,235.314,210.739,235.685
2026-05-27 14:47:30.804,117.736342,235.314,210.739,235.685
2026-05-27 14:47:33.815,120.746889,244.749,207.421,224.604
2026-05-27 14:47:36.852,123.783988,244.749,207.421,224.604
2026-05-27 14:47:39.862,126.794343,242.721,213.897,218.292
2026-05-27 14:47:42.886,129.818090,242.721,213.897,218.292
2026-05-27 14:47:45.922,132.853723,227.573,219.388,201.427
2026-05-27 14:47:48.936,135.877778,227.573,219.388,201.427
2026-05-27 14:47:51.970,138.902101,224.003,226.882,208.162
2026-05-27 14:47:54.993,141.924855,224.003,226.882,208.162
2026-05-27 14:47:58.005,144.936982,212.382,215.812,207.624
2026-05-27 14:48:01.040,147.972390,212.382,215.812,207.624
2026-05-27 14:48:04.053,150.984976,207.872,221.142,200.634
2026-05-27 14:48:07.076,154.008021,207.872,221.142,200.634
2026-05-27 14:48:10.102,157.033882,202.112,231.735,205.304
2026-05-27 14:48:13.121,160.052616,202.112,231.735,205.304
2026-05-27 14:48:16.144,163.076083,200.000,248.000,200.000
2026-05-27 14:48:19.164,166.096073,200.000,248.000,200.000
2026-05-27 14:48:22.186,169.118111,200.000,202.000,200.000
