Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-27 14:49:54.710,0.001125,200.000,202.000,200.000
2026-05-27 14:49:57.728,3.018809,200.000,202.000,200.000
2026-05-27 14:50:00.748,6.038725,200.693,207.729,200.525
2026-05-27 14:50:03.757,9.048387,200.693,207.729,200.525
2026-05-27 14:50:06.792,12.083167,248.000,202.000,200.000
2026-05-27 14:50:09.816,15.107635,248.000,202.000,200.000
2026-05-27 14:50:12.841,18.131846,248.000,202.000,248.000
2026-05-27 14:50:15.852,21.142751,248.000,202.000,248.000
2026-05-27 14:50:18.889,24.180225,248.000,248.000,248.000
2026-05-27 14:50:21.900,27.191521,248.000,248.000,248.000
2026-05-27 14:50:24.936,30.226834,245.518,244.432,237.256
2026-05-27 14:50:27.944,33.237313,245.518,244.432,237.256
2026-05-27 14:50:30.971,36.261935,238.262,239.706,229.262
2026-05-27 14:50:33.995,39.286513,238.262,239.706,229.262
2026-05-27 14:50:37.014,42.305041,241.568,247.917,224.254
2026-05-27 14:50:40.033,45.324351,241.568,247.917,224.254
2026-05-27 14:50:43.044,48.335479,248.000,248.000,200.000
2026-05-27 14:50:46.068,51.359297,248.000,248.000,200.000
2026-05-27 14:50:49.080,54.370806,225.944,245.846,200.811
2026-05-27 14:50:52.101,57.393970,225.944,245.846,200.811
2026-05-27 14:50:55.129,60.419216,220.485,243.805,209.931
2026-05-27 14:50:58.164,63.453583,220.485,243.805,209.931
2026-05-27 14:51:01.188,66.478793,217.026,233.803,222.129
2026-05-27 14:51:04.212,69.501137,217.026,233.803,222.129
2026-05-27 14:51:07.236,72.524747,221.724,236.027,241.749
2026-05-27 14:51:10.260,75.548948,221.724,236.027,241.749
2026-05-27 14:51:13.273,78.561494,200.000,248.000,248.000
2026-05-27 14:51:16.309,81.596949,200.000,248.000,248.000
2026-05-27 14:51:19.333,84.620881,203.600,241.009,246.607
2026-05-27 14:51:22.344,87.632062,203.600,241.009,246.607
2026-05-27 14:51:25.381,90.668096,200.000,202.000,248.000
2026-05-27 14:51:28.404,93.691494,200.000,202.000,248.000
2026-05-27 14:51:31.429,96.716140,210.985,217.270,243.929
2026-05-27 14:51:34.453,99.739644,210.985,217.270,243.929
2026-05-27 14:51:37.477,102.763290,218.153,217.791,245.506
2026-05-27 14:51:40.488,105.774373,218.153,217.791,245.506
2026-05-27 14:51:43.525,108.811215,230.716,212.447,243.629
2026-05-27 14:51:46.549,111.834383,230.716,212.447,243.629
2026-05-27 14:51:49.572,114.857614,235.314,210.739,235.685
2026-05-27 14:51:52.596,117.881564,235.314,210.739,235.685
2026-05-27 14:51:55.609,120.893429,244.749,207.421,224.604
2026-05-27 14:51:58.647,123.931521,244.749,207.421,224.604
2026-05-27 14:52:01.670,126.954670,242.721,213.897,218.292
2026-05-27 14:52:04.693,129.976998,242.721,213.897,218.292
2026-05-27 14:52:07.718,133.001965,227.573,219.388,201.427
2026-05-27 14:52:10.741,136.024983,227.573,219.388,201.427
2026-05-27 14:52:13.765,139.047835,224.003,226.882,208.162
2026-05-27 14:52:16.777,142.059669,224.003,226.882,208.162
2026-05-27 14:52:19.801,145.083528,212.382,215.812,207.624
2026-05-27 14:52:22.825,148.107575,212.382,215.812,207.624
2026-05-27 14:52:25.845,151.127239,207.872,221.142,200.634
2026-05-27 14:52:28.866,154.148093,207.872,221.142,200.634
2026-05-27 14:52:31.908,157.189570,202.112,231.735,205.304
2026-05-27 14:52:34.921,160.202413,202.112,231.735,205.304
2026-05-27 14:52:37.939,163.220590,200.000,248.000,200.000
2026-05-27 14:52:40.969,166.249794,200.000,248.000,200.000
2026-05-27 14:52:43.993,169.273468,200.000,202.000,200.000
