Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-26 18:22:32.927,0.000327,200.000,202.000,200.000
2026-05-26 18:22:35.948,3.021105,200.000,202.000,200.000
2026-05-26 18:22:38.963,6.036586,200.693,207.729,200.525
2026-05-26 18:22:41.993,9.065805,200.693,207.729,200.525
2026-05-26 18:22:45.009,12.081371,248.000,202.000,200.000
2026-05-26 18:22:48.025,15.097702,248.000,202.000,200.000
2026-05-26 18:22:51.041,18.113160,248.000,202.000,248.000
2026-05-26 18:22:54.060,21.132237,248.000,202.000,248.000
2026-05-26 18:22:57.092,24.168957,248.000,248.000,248.000
2026-05-26 18:23:00.108,27.179549,248.000,248.000,248.000
2026-05-26 18:23:03.146,30.217232,245.518,244.432,237.256
2026-05-26 18:23:06.166,33.236902,245.518,244.432,237.256
2026-05-26 18:23:09.178,36.248721,238.262,239.706,229.262
2026-05-26 18:23:12.201,39.271323,238.262,239.706,229.262
2026-05-26 18:23:15.229,42.298774,241.568,247.917,224.254
2026-05-26 18:23:18.251,45.321161,241.568,247.917,224.254
2026-05-26 18:23:21.289,48.359111,248.000,248.000,200.000
2026-05-26 18:23:24.315,51.384458,248.000,248.000,200.000
2026-05-26 18:23:27.330,54.399483,225.944,245.846,200.811
2026-05-26 18:23:30.345,57.413922,225.944,245.846,200.811
2026-05-26 18:23:33.362,60.431232,220.485,243.805,209.931
2026-05-26 18:23:36.381,63.449570,220.485,243.805,209.931
2026-05-26 18:23:39.397,66.465873,217.026,233.803,222.129
2026-05-26 18:23:42.423,69.491563,217.026,233.803,222.129
2026-05-26 18:23:45.432,72.499456,221.724,236.027,241.749
2026-05-26 18:23:48.446,75.513316,221.724,236.027,241.749
2026-05-26 18:23:51.465,78.532646,200.000,248.000,248.000
2026-05-26 18:23:54.485,81.552017,200.000,248.000,248.000
2026-05-26 18:23:57.595,84.661846,203.600,241.009,246.607
2026-05-26 18:24:00.615,87.681552,203.600,241.009,246.607
2026-05-26 18:24:03.635,90.701096,200.000,202.000,248.000
2026-05-26 18:24:06.646,93.712550,200.000,202.000,248.000
2026-05-26 18:24:09.671,96.736693,210.985,217.270,243.929
2026-05-26 18:24:12.695,99.760356,210.985,217.270,243.929
2026-05-26 18:24:15.719,102.784193,218.153,217.791,245.506
2026-05-26 18:24:18.744,105.809316,218.153,217.791,245.506
2026-05-26 18:24:21.767,108.832309,230.716,212.447,243.629
2026-05-26 18:24:24.792,111.856681,230.716,212.447,243.629
2026-05-26 18:24:27.803,114.867389,235.314,210.739,235.685
2026-05-26 18:24:30.839,117.903154,235.314,210.739,235.685
2026-05-26 18:24:33.851,120.915065,244.749,207.421,224.604
2026-05-26 18:24:36.889,123.952618,244.749,207.421,224.604
2026-05-26 18:24:39.912,126.975188,242.721,213.897,218.292
2026-05-26 18:24:42.936,129.999147,242.721,213.897,218.292
2026-05-26 18:24:45.960,133.023060,227.573,219.388,201.427
2026-05-26 18:24:48.975,136.038167,227.573,219.388,201.427
2026-05-26 18:24:51.988,139.050255,224.003,226.882,208.162
2026-05-26 18:24:55.026,142.094196,224.003,226.882,208.162
2026-05-26 18:24:58.055,145.117311,212.382,215.812,207.624
2026-05-26 18:25:01.067,148.129396,212.382,215.812,207.624
2026-05-26 18:25:04.091,151.152429,207.872,221.142,200.634
2026-05-26 18:25:07.127,154.188779,207.872,221.142,200.634
2026-05-26 18:25:10.138,157.199331,202.112,231.735,205.304
2026-05-26 18:25:13.170,160.231235,202.112,231.735,205.304
2026-05-26 18:25:16.188,163.254846,200.000,248.000,200.000
2026-05-26 18:25:19.224,166.284140,200.000,248.000,200.000
2026-05-26 18:25:22.247,169.307745,200.000,202.000,200.000
