Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-14 15:38:43.909,0.003944,200.000,202.000,200.000
2026-05-14 15:38:45.931,2.023124,200.000,202.000,200.000
2026-05-14 15:38:46.453,2.544549,201.717,205.508,202.537
2026-05-14 15:38:46.969,3.061035,201.717,205.508,202.537
2026-05-14 15:38:47.488,3.580439,201.085,214.957,203.007
2026-05-14 15:38:48.010,4.102066,201.085,214.957,203.007
2026-05-14 15:38:48.535,4.626268,208.898,215.912,200.851
2026-05-14 15:38:49.072,5.163736,208.898,215.912,200.851
2026-05-14 15:38:49.589,5.680662,208.049,224.476,202.345
2026-05-14 15:38:50.102,6.194010,208.049,224.476,202.345
2026-05-14 15:38:50.633,6.724678,208.429,224.953,208.758
2026-05-14 15:38:51.151,7.242336,208.429,224.953,208.758
2026-05-14 15:38:51.671,7.762293,205.655,222.309,213.603
2026-05-14 15:38:52.189,8.280398,205.655,222.309,213.603
2026-05-14 15:38:52.699,8.790541,203.694,224.073,216.746
2026-05-14 15:38:53.211,9.302179,203.694,224.073,216.746
2026-05-14 15:38:53.724,9.815649,201.339,228.492,219.168
2026-05-14 15:38:54.238,10.329294,201.339,228.492,219.168
2026-05-14 15:38:54.758,10.849510,204.616,229.539,223.798
2026-05-14 15:38:55.272,11.363401,204.616,229.539,223.798
2026-05-14 15:38:55.787,11.878128,204.885,227.835,225.465
2026-05-14 15:38:56.304,12.395556,204.885,227.835,225.465
2026-05-14 15:38:56.820,12.912101,205.808,228.890,229.516
2026-05-14 15:38:57.334,13.425477,205.808,228.890,229.516
2026-05-14 15:38:57.855,13.946977,210.753,231.980,228.162
2026-05-14 15:38:58.371,14.462331,210.753,231.980,228.162
2026-05-14 15:38:58.891,14.982521,206.873,238.767,221.006
2026-05-14 15:38:59.409,15.500255,206.873,238.767,221.006
2026-05-14 15:38:59.941,16.032667,201.288,247.816,218.830
2026-05-14 15:39:00.455,16.546304,201.288,247.816,218.830
2026-05-14 15:39:00.970,17.061334,206.253,244.555,214.011
2026-05-14 15:39:01.487,17.578991,206.253,244.555,214.011
2026-05-14 15:39:02.004,18.095229,211.792,243.507,215.457
2026-05-14 15:39:02.536,18.627349,211.792,243.507,215.457
2026-05-14 15:39:03.055,19.145963,218.423,246.583,205.187
2026-05-14 15:39:03.570,19.661542,218.423,246.583,205.187
2026-05-14 15:39:04.091,20.182692,219.673,244.069,208.596
2026-05-14 15:39:04.601,20.692457,219.673,244.069,208.596
2026-05-14 15:39:05.126,21.217784,224.476,244.325,213.595
2026-05-14 15:39:05.655,21.746064,224.476,244.325,213.595
2026-05-14 15:39:06.172,22.263126,231.779,243.277,220.107
2026-05-14 15:39:06.688,22.779619,231.779,243.277,220.107
2026-05-14 15:39:07.205,23.296022,227.240,247.586,217.483
2026-05-14 15:39:07.737,23.828454,227.240,247.586,217.483
2026-05-14 15:39:08.254,24.345775,224.120,248.000,219.712
2026-05-14 15:39:08.766,24.857681,224.120,248.000,219.712
2026-05-14 15:39:09.286,25.377028,221.773,244.321,222.384
2026-05-14 15:39:09.803,25.894114,221.773,244.321,222.384
2026-05-14 15:39:10.316,26.407564,218.790,242.135,222.942
2026-05-14 15:39:10.837,26.928659,218.790,242.135,222.942
2026-05-14 15:39:11.354,27.445587,217.152,245.111,223.412
2026-05-14 15:39:11.869,27.960234,217.152,245.111,223.412
2026-05-14 15:39:12.384,28.475803,216.051,243.237,225.602
2026-05-14 15:39:12.902,28.993531,216.051,243.237,225.602
2026-05-14 15:39:13.419,29.510306,219.724,246.415,228.227
2026-05-14 15:39:13.938,30.033866,219.724,246.415,228.227
2026-05-14 15:39:14.453,30.544652,220.845,246.117,233.888
2026-05-14 15:39:14.971,31.062771,220.845,246.117,233.888
2026-05-14 15:39:15.487,31.577960,222.079,246.332,238.287
2026-05-14 15:39:16.003,32.094470,222.079,246.332,238.287
2026-05-14 15:39:16.523,32.618553,225.989,247.194,239.609
2026-05-14 15:39:17.039,33.130129,225.989,247.194,239.609
2026-05-14 15:39:17.554,33.644961,232.237,245.701,227.376
2026-05-14 15:39:18.073,34.164755,232.237,245.701,227.376
2026-05-14 15:39:18.586,34.677284,228.041,240.991,227.189
2026-05-14 15:39:19.105,35.195884,228.041,240.991,227.189
2026-05-14 15:39:19.636,35.727466,229.173,242.609,232.060
2026-05-14 15:39:20.144,36.235539,229.173,242.609,232.060
2026-05-14 15:39:20.653,36.743803,229.518,239.146,233.828
2026-05-14 15:39:21.173,37.264288,229.518,239.146,233.828
2026-05-14 15:39:21.688,37.779345,233.096,236.890,234.102
2026-05-14 15:39:22.204,38.295245,233.096,236.890,234.102
2026-05-14 15:39:22.720,38.811385,237.258,238.875,235.314
2026-05-14 15:39:23.238,39.329343,237.258,238.875,235.314
2026-05-14 15:39:23.755,39.846537,238.097,237.739,232.547
2026-05-14 15:39:24.270,40.361653,238.097,237.739,232.547
2026-05-14 15:39:24.787,40.877893,242.452,233.445,238.640
2026-05-14 15:39:25.305,41.396426,242.452,233.445,238.640
2026-05-14 15:39:25.832,41.923432,247.594,231.617,240.270
2026-05-14 15:39:26.353,42.444694,247.594,231.617,240.270
2026-05-14 15:39:26.870,42.961280,246.718,227.054,235.439
2026-05-14 15:39:27.389,43.479938,246.718,227.054,235.439
2026-05-14 15:39:27.904,43.994764,244.364,227.841,234.537
2026-05-14 15:39:28.423,44.519867,244.364,227.841,234.537
2026-05-14 15:39:28.944,45.035007,246.328,228.454,230.645
2026-05-14 15:39:29.452,45.543032,246.328,228.454,230.645
2026-05-14 15:39:29.961,46.052044,244.486,237.048,229.983
2026-05-14 15:39:30.471,46.562535,244.486,237.048,229.983
2026-05-14 15:39:30.987,47.078583,239.634,241.107,226.224
2026-05-14 15:39:31.515,47.606392,239.634,241.107,226.224
2026-05-14 15:39:32.038,48.128801,238.366,242.777,224.796
2026-05-14 15:39:32.554,48.645326,238.366,242.777,224.796
2026-05-14 15:39:33.069,49.159756,244.628,247.534,232.433
2026-05-14 15:39:33.582,49.673456,244.628,247.534,232.433
2026-05-14 15:39:34.094,50.185399,247.818,243.527,239.981
2026-05-14 15:39:34.611,50.702134,247.818,243.527,239.981
2026-05-14 15:39:35.126,51.216760,243.941,239.075,244.376
2026-05-14 15:39:35.654,51.745294,243.941,239.075,244.376
2026-05-14 15:39:36.177,52.267966,248.000,248.000,248.000
2026-05-14 15:39:36.688,52.779396,248.000,248.000,248.000
2026-05-14 15:39:37.209,53.300374,240.806,244.817,247.702
2026-05-14 15:39:37.735,53.825843,240.806,244.817,247.702
2026-05-14 15:39:38.244,54.334969,236.660,240.115,244.759
2026-05-14 15:39:38.757,54.848346,236.660,240.115,244.759
2026-05-14 15:39:39.271,55.362229,228.567,240.737,243.225
2026-05-14 15:39:39.793,55.884245,228.567,240.737,243.225
2026-05-14 15:39:40.325,56.416301,226.888,241.496,243.792
2026-05-14 15:39:40.840,56.930863,226.888,241.496,243.792
2026-05-14 15:39:41.358,57.449285,220.279,239.254,242.357
2026-05-14 15:39:41.876,57.967528,220.279,239.254,242.357
2026-05-14 15:39:42.389,58.480150,217.285,235.062,246.006
2026-05-14 15:39:42.904,58.995821,217.285,235.062,246.006
2026-05-14 15:39:43.429,59.519793,215.271,233.731,247.567
2026-05-14 15:39:43.954,60.044770,215.271,233.731,247.567
2026-05-14 15:39:44.470,60.561315,214.634,234.704,247.304
2026-05-14 15:39:44.988,61.079388,214.634,234.704,247.304
2026-05-14 15:39:45.502,61.592944,208.655,233.306,247.905
2026-05-14 15:39:46.031,62.126786,208.655,233.306,247.905
2026-05-14 15:39:46.553,62.644315,200.000,248.000,248.000
2026-05-14 15:39:47.073,63.164548,200.000,248.000,248.000
2026-05-14 15:39:47.588,63.679798,215.126,247.340,240.953
2026-05-14 15:39:48.105,64.196277,215.126,247.340,240.953
2026-05-14 15:39:48.620,64.711478,214.090,242.364,236.217
2026-05-14 15:39:49.139,65.229941,214.090,242.364,236.217
2026-05-14 15:39:49.660,65.750856,212.356,240.684,233.865
2026-05-14 15:39:50.182,66.272762,212.356,240.684,233.865
2026-05-14 15:39:50.694,66.785571,211.338,245.212,232.124
2026-05-14 15:39:51.218,67.308984,211.338,245.212,232.124
2026-05-14 15:39:51.739,67.830432,202.260,242.738,227.691
2026-05-14 15:39:52.253,68.344168,202.260,242.738,227.691
2026-05-14 15:39:52.769,68.860155,205.836,241.063,235.005
2026-05-14 15:39:53.285,69.376410,205.836,241.063,235.005
2026-05-14 15:39:53.804,69.895014,200.156,240.805,236.783
2026-05-14 15:39:54.327,70.417795,200.156,240.805,236.783
2026-05-14 15:39:54.844,70.935283,201.559,239.648,239.749
2026-05-14 15:39:55.360,71.450928,201.559,239.648,239.749
