Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-14 15:44:15.454,0.000926,200.000,202.000,200.000
2026-05-14 15:44:17.463,2.009287,200.000,202.000,200.000
2026-05-14 15:44:17.976,2.522269,201.717,205.508,202.537
2026-05-14 15:44:18.494,3.040487,201.717,205.508,202.537
2026-05-14 15:44:19.006,3.552958,201.085,214.957,203.007
2026-05-14 15:44:19.531,4.077156,201.085,214.957,203.007
2026-05-14 15:44:20.043,4.589042,208.898,215.912,200.851
2026-05-14 15:44:20.552,5.098032,208.898,215.912,200.851
2026-05-14 15:44:21.071,5.616995,208.049,224.476,202.345
2026-05-14 15:44:21.580,6.126660,208.049,224.476,202.345
2026-05-14 15:44:22.097,6.643739,208.429,224.953,208.758
2026-05-14 15:44:22.612,7.158453,208.429,224.953,208.758
2026-05-14 15:44:23.128,7.674047,205.655,222.309,213.603
2026-05-14 15:44:23.640,8.186209,205.655,222.309,213.603
2026-05-14 15:44:24.162,8.708374,203.694,224.073,216.746
2026-05-14 15:44:24.678,9.224327,203.694,224.073,216.746
2026-05-14 15:44:25.190,9.736054,201.339,228.492,219.168
2026-05-14 15:44:25.708,10.254667,201.339,228.492,219.168
2026-05-14 15:44:26.224,10.769932,204.616,229.539,223.798
2026-05-14 15:44:26.738,11.284755,204.616,229.539,223.798
2026-05-14 15:44:27.258,11.804046,204.885,227.835,225.465
2026-05-14 15:44:27.774,12.320812,204.885,227.835,225.465
2026-05-14 15:44:28.290,12.836224,205.808,228.890,229.516
2026-05-14 15:44:28.812,13.358729,205.808,228.890,229.516
2026-05-14 15:44:29.328,13.873837,210.753,231.980,228.162
2026-05-14 15:44:29.841,14.387554,210.753,231.980,228.162
2026-05-14 15:44:30.356,14.902610,206.873,238.767,221.006
2026-05-14 15:44:30.873,15.419372,206.873,238.767,221.006
2026-05-14 15:44:31.396,15.942601,201.288,247.816,218.830
2026-05-14 15:44:31.927,16.473590,201.288,247.816,218.830
