Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-21 17:40:00.082,0.000284,200.000,202.000,200.000
2026-05-21 17:40:02.100,2.017940,200.000,202.000,200.000
2026-05-21 17:40:03.122,3.039748,201.717,205.508,202.537
2026-05-21 17:40:04.132,4.049781,201.717,205.508,202.537
2026-05-21 17:40:05.156,5.074135,201.085,214.957,203.007
2026-05-21 17:40:06.183,6.101454,201.085,214.957,203.007
2026-05-21 17:40:07.200,7.118143,208.898,215.912,200.851
2026-05-21 17:40:08.208,8.126158,208.898,215.912,200.851
2026-05-21 17:40:09.235,9.153032,208.049,224.476,202.345
2026-05-21 17:40:10.247,10.165140,208.049,224.476,202.345
2026-05-21 17:40:11.258,11.175646,208.429,224.953,208.758
2026-05-21 17:40:12.267,12.185187,208.429,224.953,208.758
2026-05-21 17:40:13.284,13.201776,205.655,222.309,213.603
2026-05-21 17:40:14.299,14.217225,205.655,222.309,213.603
2026-05-21 17:40:15.320,15.237402,203.694,224.073,216.746
2026-05-21 17:40:16.332,16.249415,203.694,224.073,216.746
2026-05-21 17:40:17.343,17.260935,201.339,228.492,219.168
2026-05-21 17:40:18.364,18.282199,201.339,228.492,219.168
2026-05-21 17:40:19.385,19.302209,204.616,229.539,223.798
2026-05-21 17:40:20.398,20.315874,204.616,229.539,223.798
2026-05-21 17:40:21.417,21.334766,204.885,227.835,225.465
2026-05-21 17:40:22.432,22.349418,204.885,227.835,225.465
2026-05-21 17:40:23.450,23.367962,205.808,228.890,229.516
2026-05-21 17:40:24.467,24.385058,205.808,228.890,229.516
2026-05-21 17:40:25.481,25.398355,210.753,231.980,228.162
2026-05-21 17:40:26.500,26.417799,210.753,231.980,228.162
2026-05-21 17:40:27.521,27.438659,206.873,238.767,221.006
2026-05-21 17:40:28.540,28.457965,206.873,238.767,221.006
2026-05-21 17:40:29.553,29.470381,201.288,247.816,218.830
2026-05-21 17:40:30.565,30.482155,201.288,247.816,218.830
2026-05-21 17:40:31.586,31.503484,206.253,244.555,214.011
2026-05-21 17:40:32.601,32.517902,206.253,244.555,214.011
2026-05-21 17:40:33.615,33.532719,211.792,243.507,215.457
2026-05-21 17:40:34.634,34.551443,211.792,243.507,215.457
2026-05-21 17:40:35.652,35.569050,218.423,246.583,205.187
2026-05-21 17:40:36.668,36.585441,218.423,246.583,205.187
2026-05-21 17:40:37.682,37.599112,219.673,244.069,208.596
2026-05-21 17:40:38.705,38.622508,219.673,244.069,208.596
2026-05-21 17:40:39.728,39.645239,224.476,244.325,213.595
2026-05-21 17:40:40.752,40.669061,224.476,244.325,213.595
2026-05-21 17:40:41.768,41.684699,231.779,243.277,220.107
2026-05-21 17:40:42.784,42.701632,231.779,243.277,220.107
2026-05-21 17:40:43.801,43.717621,227.240,247.586,217.483
2026-05-21 17:40:44.823,44.740290,227.240,247.586,217.483
2026-05-21 17:40:45.837,45.754367,224.120,248.000,219.712
2026-05-21 17:40:46.852,46.769378,224.120,248.000,219.712
2026-05-21 17:40:47.867,47.784397,221.773,244.321,222.384
2026-05-21 17:40:48.885,48.801720,221.773,244.321,222.384
2026-05-21 17:40:49.898,49.815001,218.790,242.135,222.942
2026-05-21 17:40:50.910,50.826467,218.790,242.135,222.942
2026-05-21 17:40:51.924,51.841021,217.152,245.111,223.412
2026-05-21 17:40:52.940,52.856909,217.152,245.111,223.412
2026-05-21 17:40:53.952,53.868398,216.051,243.237,225.602
2026-05-21 17:40:54.970,54.886493,216.051,243.237,225.602
2026-05-21 17:40:55.990,55.906299,219.724,246.415,228.227
2026-05-21 17:40:57.000,56.916264,219.724,246.415,228.227
2026-05-21 17:40:58.019,57.936253,220.845,246.117,233.888
2026-05-21 17:40:59.032,58.948353,220.845,246.117,233.888
2026-05-21 17:41:00.052,59.968512,222.079,246.332,238.287
2026-05-21 17:41:01.068,60.984354,222.079,246.332,238.287
2026-05-21 17:41:02.092,62.008423,225.989,247.194,239.609
2026-05-21 17:41:03.108,63.024448,225.989,247.194,239.609
2026-05-21 17:41:04.116,64.033006,232.237,245.701,227.376
2026-05-21 17:41:05.128,65.044491,232.237,245.701,227.376
2026-05-21 17:41:06.149,66.065335,228.041,240.991,227.189
2026-05-21 17:41:07.166,67.082191,228.041,240.991,227.189
2026-05-21 17:41:08.184,68.100646,229.173,242.609,232.060
2026-05-21 17:41:09.199,69.115586,229.173,242.609,232.060
2026-05-21 17:41:10.211,70.127968,229.518,239.146,233.828
2026-05-21 17:41:11.226,71.142366,229.518,239.146,233.828
2026-05-21 17:41:12.248,72.164918,233.096,236.890,234.102
2026-05-21 17:41:13.259,73.175709,233.096,236.890,234.102
2026-05-21 17:41:14.277,74.193206,237.258,238.875,235.314
2026-05-21 17:41:15.290,75.206012,237.258,238.875,235.314
2026-05-21 17:41:16.312,76.228284,238.097,237.739,232.547
2026-05-21 17:41:17.320,77.236799,238.097,237.739,232.547
2026-05-21 17:41:18.337,78.252916,242.452,233.445,238.640
2026-05-21 17:41:19.354,79.270184,242.452,233.445,238.640
2026-05-21 17:41:20.369,80.284723,247.594,231.617,240.270
2026-05-21 17:41:21.380,81.296412,247.594,231.617,240.270
2026-05-21 17:41:22.408,82.324145,246.718,227.054,235.439
2026-05-21 17:41:23.417,83.333541,246.718,227.054,235.439
2026-05-21 17:41:24.435,84.350871,244.364,227.841,234.537
2026-05-21 17:41:25.443,85.359188,244.364,227.841,234.537
2026-05-21 17:41:26.452,86.368028,246.328,228.454,230.645
2026-05-21 17:41:27.469,87.385078,246.328,228.454,230.645
2026-05-21 17:41:28.485,88.401139,244.486,237.048,229.983
2026-05-21 17:41:29.508,89.423606,244.486,237.048,229.983
2026-05-21 17:41:30.517,90.433414,239.634,241.107,226.224
2026-05-21 17:41:31.538,91.454370,239.634,241.107,226.224
2026-05-21 17:41:32.553,92.469373,238.366,242.777,224.796
2026-05-21 17:41:33.568,93.484588,238.366,242.777,224.796
2026-05-21 17:41:34.587,94.502694,244.628,247.534,232.433
2026-05-21 17:41:35.602,95.517395,244.628,247.534,232.433
2026-05-21 17:41:36.622,96.537502,247.818,243.527,239.981
2026-05-21 17:41:37.651,97.567224,247.818,243.527,239.981
2026-05-21 17:41:38.666,98.581754,243.941,239.075,244.376
2026-05-21 17:41:39.692,99.607425,243.941,239.075,244.376
2026-05-21 17:41:40.701,100.617171,248.000,248.000,248.000
2026-05-21 17:41:41.709,101.625092,248.000,248.000,248.000
2026-05-21 17:41:42.722,102.637350,240.806,244.817,247.702
2026-05-21 17:41:43.736,103.651479,240.806,244.817,247.702
2026-05-21 17:41:44.753,104.668289,236.660,240.115,244.759
2026-05-21 17:41:45.773,105.688684,236.660,240.115,244.759
2026-05-21 17:41:46.787,106.702371,228.567,240.737,243.225
2026-05-21 17:41:47.801,107.716260,228.567,240.737,243.225
2026-05-21 17:41:48.832,108.747714,226.888,241.496,243.792
2026-05-21 17:41:49.852,109.767561,226.888,241.496,243.792
2026-05-21 17:41:50.869,110.784946,220.279,239.254,242.357
2026-05-21 17:41:51.896,111.812155,220.279,239.254,242.357
2026-05-21 17:41:52.910,112.825948,217.285,235.062,246.006
2026-05-21 17:41:53.935,113.850712,217.285,235.062,246.006
2026-05-21 17:41:54.955,114.870629,215.271,233.731,247.567
2026-05-21 17:41:55.976,115.891430,215.271,233.731,247.567
2026-05-21 17:41:57.004,116.919003,214.634,234.704,247.304
2026-05-21 17:41:58.018,117.933208,214.634,234.704,247.304
2026-05-21 17:41:59.036,118.951018,208.655,233.306,247.905
2026-05-21 17:42:00.053,119.968502,208.655,233.306,247.905
2026-05-21 17:42:01.062,120.977421,200.000,248.000,248.000
2026-05-21 17:42:02.077,121.992314,200.000,248.000,248.000
2026-05-21 17:42:03.097,123.012382,215.126,247.340,240.953
2026-05-21 17:42:04.120,124.034767,215.126,247.340,240.953
2026-05-21 17:42:05.136,125.050728,214.090,242.364,236.217
2026-05-21 17:42:06.167,126.082252,214.090,242.364,236.217
2026-05-21 17:42:07.186,127.100583,212.356,240.684,233.865
2026-05-21 17:42:08.208,128.123595,212.356,240.684,233.865
2026-05-21 17:42:09.233,129.148398,211.338,245.212,232.124
2026-05-21 17:42:10.256,130.170661,211.338,245.212,232.124
2026-05-21 17:42:11.287,131.201602,202.260,242.738,227.691
2026-05-21 17:42:12.315,132.229695,202.260,242.738,227.691
2026-05-21 17:42:13.338,133.253299,205.836,241.063,235.005
2026-05-21 17:42:14.354,134.269111,205.836,241.063,235.005
2026-05-21 17:42:15.373,135.287695,200.156,240.805,236.783
2026-05-21 17:42:16.387,136.302244,200.156,240.805,236.783
2026-05-21 17:42:17.399,137.314243,201.559,239.648,239.749
2026-05-21 17:42:18.422,138.337019,201.559,239.648,239.749
2026-05-21 17:42:19.453,139.372944,202.957,240.248,241.973
2026-05-21 17:42:20.480,140.395039,202.957,240.248,241.973
2026-05-21 17:42:21.495,141.409608,200.072,233.837,245.239
2026-05-21 17:42:22.511,142.425960,200.072,233.837,245.239
2026-05-21 17:42:23.538,143.452692,202.897,233.985,244.006
2026-05-21 17:42:24.554,144.469295,202.897,233.985,244.006
2026-05-21 17:42:25.567,145.481939,203.496,230.254,236.928
2026-05-21 17:42:26.586,146.500598,203.496,230.254,236.928
2026-05-21 17:42:27.606,147.520968,205.578,232.871,232.716
2026-05-21 17:42:28.622,148.536303,205.578,232.871,232.716
2026-05-21 17:42:29.637,149.551794,209.012,228.997,234.645
2026-05-21 17:42:30.661,150.575016,209.012,228.997,234.645
2026-05-21 17:42:31.671,151.585469,212.604,228.685,234.385
2026-05-21 17:42:32.689,152.603006,212.604,228.685,234.385
2026-05-21 17:42:33.705,153.619475,215.414,227.693,238.742
2026-05-21 17:42:34.728,154.643036,215.414,227.693,238.742
2026-05-21 17:42:35.752,155.666609,211.443,228.938,240.196
2026-05-21 17:42:36.775,156.689403,211.443,228.938,240.196
2026-05-21 17:42:37.790,157.704399,207.655,225.269,242.360
2026-05-21 17:42:38.813,158.727477,207.655,225.269,242.360
2026-05-21 17:42:39.833,159.747268,210.108,223.169,238.397
2026-05-21 17:42:40.847,160.761043,210.108,223.169,238.397
2026-05-21 17:42:41.862,161.776083,210.453,219.562,244.516
2026-05-21 17:42:42.888,162.802283,210.453,219.562,244.516
2026-05-21 17:42:43.909,163.822954,208.606,218.515,247.571
2026-05-21 17:42:44.926,164.840356,208.606,218.515,247.571
2026-05-21 17:42:45.947,165.861479,203.254,211.332,247.492
2026-05-21 17:42:46.967,166.880757,203.254,211.332,247.492
2026-05-21 17:42:47.989,167.902911,200.000,202.000,248.000
2026-05-21 17:42:49.010,168.924369,200.000,202.000,248.000
2026-05-21 17:42:50.022,169.936335,206.056,204.017,240.316
2026-05-21 17:42:51.039,170.952962,206.056,204.017,240.316
2026-05-21 17:42:52.056,171.970000,211.205,206.276,238.302
2026-05-21 17:42:53.076,172.989711,211.205,206.276,238.302
2026-05-21 17:42:54.090,174.003979,216.310,212.420,239.124
2026-05-21 17:42:55.117,175.030671,216.310,212.420,239.124
2026-05-21 17:42:56.130,176.043366,221.903,213.623,238.443
2026-05-21 17:42:57.140,177.053623,221.903,213.623,238.443
2026-05-21 17:42:58.155,178.069130,225.077,219.262,235.441
2026-05-21 17:42:59.171,179.084731,225.077,219.262,235.441
2026-05-21 17:43:00.193,180.107015,215.632,220.570,227.501
2026-05-21 17:43:01.208,181.122220,215.632,220.570,227.501
2026-05-21 17:43:02.220,182.133766,213.335,221.094,222.546
2026-05-21 17:43:03.239,183.152912,213.335,221.094,222.546
2026-05-21 17:43:04.259,184.172669,209.791,220.866,222.426
2026-05-21 17:43:05.271,185.185033,209.791,220.866,222.426
2026-05-21 17:43:06.288,186.201091,213.041,224.420,224.190
2026-05-21 17:43:07.303,187.216190,213.041,224.420,224.190
2026-05-21 17:43:08.324,188.237352,210.282,226.138,221.158
2026-05-21 17:43:09.339,189.252766,210.282,226.138,221.158
2026-05-21 17:43:10.351,190.264094,214.286,226.768,217.927
2026-05-21 17:43:11.373,191.294108,214.286,226.768,217.927
2026-05-21 17:43:12.405,192.318533,216.902,230.561,215.958
2026-05-21 17:43:13.427,193.341204,216.902,230.561,215.958
2026-05-21 17:43:14.441,194.354047,216.855,230.258,219.517
2026-05-21 17:43:15.451,195.364261,216.855,230.258,219.517
2026-05-21 17:43:16.477,196.390229,212.902,230.674,223.054
2026-05-21 17:43:17.494,197.407590,212.902,230.674,223.054
2026-05-21 17:43:18.507,198.420298,211.858,232.589,222.070
2026-05-21 17:43:19.521,199.433963,211.858,232.589,222.070
2026-05-21 17:43:20.538,200.451319,213.144,231.838,219.492
2026-05-21 17:43:21.555,201.468549,213.144,231.838,219.492
