Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-19 18:40:21.736,0.000947,200.000,202.000,200.000
2026-05-19 18:40:23.749,2.013722,200.000,202.000,200.000
2026-05-19 18:40:24.759,3.023996,201.717,205.508,202.537
2026-05-19 18:40:25.769,4.033286,201.717,205.508,202.537
2026-05-19 18:40:26.779,5.043243,201.085,214.957,203.007
2026-05-19 18:40:27.792,6.056335,201.085,214.957,203.007
2026-05-19 18:40:28.801,7.065196,208.898,215.912,200.851
2026-05-19 18:40:29.823,8.093047,208.898,215.912,200.851
2026-05-19 18:40:30.838,9.102124,208.049,224.476,202.345
2026-05-19 18:40:31.846,10.109753,208.049,224.476,202.345
2026-05-19 18:40:32.854,11.117850,208.429,224.953,208.758
2026-05-19 18:40:33.862,12.125718,208.429,224.953,208.758
2026-05-19 18:40:34.870,13.133788,205.655,222.309,213.603
2026-05-19 18:40:35.880,14.143828,205.655,222.309,213.603
2026-05-19 18:40:36.888,15.152499,203.694,224.073,216.746
2026-05-19 18:40:37.896,16.160435,203.694,224.073,216.746
2026-05-19 18:40:38.905,17.169488,201.339,228.492,219.168
2026-05-19 18:40:39.914,18.178344,201.339,228.492,219.168
2026-05-19 18:40:40.922,19.186381,204.616,229.539,223.798
2026-05-19 18:40:41.931,20.194840,204.616,229.539,223.798
2026-05-19 18:40:42.939,21.202795,204.885,227.835,225.465
2026-05-19 18:40:43.947,22.210533,204.885,227.835,225.465
2026-05-19 18:40:44.955,23.218632,205.808,228.890,229.516
2026-05-19 18:40:45.963,24.226452,205.808,228.890,229.516
2026-05-19 18:40:46.970,25.234233,210.753,231.980,228.162
2026-05-19 18:40:47.978,26.242202,210.753,231.980,228.162
2026-05-19 18:40:48.986,27.249981,206.873,238.767,221.006
2026-05-19 18:40:49.994,28.257830,206.873,238.767,221.006
2026-05-19 18:40:51.002,29.266124,201.288,247.816,218.830
2026-05-19 18:40:52.011,30.274850,201.288,247.816,218.830
2026-05-19 18:40:53.020,31.283763,206.253,244.555,214.011
2026-05-19 18:40:54.029,32.293020,206.253,244.555,214.011
2026-05-19 18:40:55.038,33.302650,211.792,243.507,215.457
2026-05-19 18:40:56.047,34.310443,211.792,243.507,215.457
2026-05-19 18:40:57.055,35.318193,218.423,246.583,205.187
2026-05-19 18:40:58.062,36.326022,218.423,246.583,205.187
2026-05-19 18:40:59.070,37.333831,219.673,244.069,208.596
2026-05-19 18:41:00.078,38.341471,219.673,244.069,208.596
2026-05-19 18:41:01.086,39.349479,224.476,244.325,213.595
2026-05-19 18:41:02.094,40.357222,224.476,244.325,213.595
2026-05-19 18:41:03.102,41.365058,231.779,243.277,220.107
2026-05-19 18:41:04.109,42.373025,231.779,243.277,220.107
