Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-14 14:37:01.386,0.019209,200.000,202.000,200.000
2026-05-14 14:37:03.492,2.109254,200.000,202.000,200.000
2026-05-14 14:37:04.027,2.643810,201.717,205.508,202.537
2026-05-14 14:37:04.545,3.161935,201.717,205.508,202.537
2026-05-14 14:37:05.057,3.681363,201.085,214.957,203.007
2026-05-14 14:37:05.584,4.199859,201.085,214.957,203.007
2026-05-14 14:37:06.095,4.710121,208.898,215.912,200.851
2026-05-14 14:37:06.607,5.221887,208.898,215.912,200.851
2026-05-14 14:37:07.127,5.741959,208.049,224.476,202.345
2026-05-14 14:37:07.638,6.252818,208.049,224.476,202.345
2026-05-14 14:37:08.159,6.773791,208.429,224.953,208.758
2026-05-14 14:37:08.684,7.299141,208.429,224.953,208.758
2026-05-14 14:37:09.203,7.817956,205.655,222.309,213.603
2026-05-14 14:37:09.724,8.338659,205.655,222.309,213.603
2026-05-14 14:37:10.233,8.848238,203.694,224.073,216.746
2026-05-14 14:37:10.759,9.373807,203.694,224.073,216.746
2026-05-14 14:37:11.271,9.886378,201.339,228.492,219.168
2026-05-14 14:37:11.788,10.402812,201.339,228.492,219.168
2026-05-14 14:37:12.310,10.925165,204.616,229.539,223.798
2026-05-14 14:37:12.822,11.436872,204.616,229.539,223.798
2026-05-14 14:37:13.343,11.958415,204.885,227.835,225.465
2026-05-14 14:37:13.864,12.479050,204.885,227.835,225.465
2026-05-14 14:37:14.386,13.000993,205.808,228.890,229.516
2026-05-14 14:37:14.902,13.517168,205.808,228.890,229.516
2026-05-14 14:37:15.415,14.030298,210.753,231.980,228.162
2026-05-14 14:37:15.939,14.554436,210.753,231.980,228.162
2026-05-14 14:37:16.452,15.067200,206.873,238.767,221.006
2026-05-14 14:37:16.971,15.585637,206.873,238.767,221.006
2026-05-14 14:37:17.483,16.097831,201.288,247.816,218.830
2026-05-14 14:37:18.004,16.618994,201.288,247.816,218.830
2026-05-14 14:37:18.523,17.137644,206.253,244.555,214.011
2026-05-14 14:37:19.034,17.649468,206.253,244.555,214.011
2026-05-14 14:37:19.553,18.167631,211.792,243.507,215.457
2026-05-14 14:37:20.071,18.686273,211.792,243.507,215.457
2026-05-14 14:37:20.585,19.200439,218.423,246.583,205.187
2026-05-14 14:37:21.106,19.721392,218.423,246.583,205.187
2026-05-14 14:37:21.622,20.237214,219.673,244.069,208.596
2026-05-14 14:37:22.137,20.752487,219.673,244.069,208.596
2026-05-14 14:37:22.647,21.261645,224.476,244.325,213.595
2026-05-14 14:37:23.160,21.774488,224.476,244.325,213.595
2026-05-14 14:37:23.674,22.288951,231.779,243.277,220.107
2026-05-14 14:37:24.188,22.803064,231.779,243.277,220.107
2026-05-14 14:37:24.707,23.321947,227.240,247.586,217.483
2026-05-14 14:37:25.220,23.834724,227.240,247.586,217.483
2026-05-14 14:37:25.743,24.358313,224.120,248.000,219.712
2026-05-14 14:37:26.260,24.875011,224.120,248.000,219.712
2026-05-14 14:37:26.776,25.391116,221.773,244.321,222.384
2026-05-14 14:37:27.296,25.915394,221.773,244.321,222.384
2026-05-14 14:37:27.811,26.425862,218.790,242.135,222.942
2026-05-14 14:37:28.328,26.942753,218.790,242.135,222.942
2026-05-14 14:37:28.839,27.454300,217.152,245.111,223.412
2026-05-14 14:37:29.354,27.973893,217.152,245.111,223.412
2026-05-14 14:37:29.871,28.485415,216.051,243.237,225.602
2026-05-14 14:37:30.386,29.000411,216.051,243.237,225.602
2026-05-14 14:37:30.894,29.509028,219.724,246.415,228.227
2026-05-14 14:37:31.414,30.028995,219.724,246.415,228.227
2026-05-14 14:37:31.924,30.539171,220.845,246.117,233.888
2026-05-14 14:37:32.438,31.052445,220.845,246.117,233.888
2026-05-14 14:37:32.953,31.567823,222.079,246.332,238.287
2026-05-14 14:37:33.461,32.075798,222.079,246.332,238.287
2026-05-14 14:37:33.988,32.603207,225.989,247.194,239.609
2026-05-14 14:37:34.504,33.118762,225.989,247.194,239.609
2026-05-14 14:37:35.018,33.633099,232.237,245.701,227.376
2026-05-14 14:37:35.538,34.153309,232.237,245.701,227.376
2026-05-14 14:37:36.056,34.670960,228.041,240.991,227.189
2026-05-14 14:37:36.571,35.185609,228.041,240.991,227.189
2026-05-14 14:37:37.088,35.702795,229.173,242.609,232.060
2026-05-14 14:37:37.605,36.219865,229.173,242.609,232.060
2026-05-14 14:37:38.126,36.740898,229.518,239.146,233.828
2026-05-14 14:37:38.639,37.253416,229.518,239.146,233.828
2026-05-14 14:37:39.156,37.770614,233.096,236.890,234.102
2026-05-14 14:37:39.669,38.283449,233.096,236.890,234.102
2026-05-14 14:37:40.178,38.792418,237.258,238.875,235.314
2026-05-14 14:37:40.701,39.315417,237.258,238.875,235.314
2026-05-14 14:37:41.211,39.825915,238.097,237.739,232.547
2026-05-14 14:37:41.721,40.335244,238.097,237.739,232.547
2026-05-14 14:37:42.239,40.854122,242.452,233.445,238.640
2026-05-14 14:37:42.754,41.368196,242.452,233.445,238.640
2026-05-14 14:37:43.261,41.875898,247.594,231.617,240.270
2026-05-14 14:37:43.778,42.392193,247.594,231.617,240.270
2026-05-14 14:37:44.296,42.910340,246.718,227.054,235.439
2026-05-14 14:37:44.807,43.421701,246.718,227.054,235.439
2026-05-14 14:37:45.324,43.939065,244.364,227.841,234.537
2026-05-14 14:37:45.836,44.450194,244.364,227.841,234.537
2026-05-14 14:37:46.348,44.962906,246.328,228.454,230.645
2026-05-14 14:37:46.861,45.475653,246.328,228.454,230.645
2026-05-14 14:37:47.389,46.003335,244.486,237.048,229.983
2026-05-14 14:37:47.904,46.518536,244.486,237.048,229.983
2026-05-14 14:37:48.427,47.041546,239.634,241.107,226.224
2026-05-14 14:37:48.941,47.555970,239.634,241.107,226.224
2026-05-14 14:37:49.452,48.066967,238.366,242.777,224.796
2026-05-14 14:37:49.972,48.592456,238.366,242.777,224.796
2026-05-14 14:37:50.489,49.103544,244.628,247.534,232.433
2026-05-14 14:37:51.007,49.621769,244.628,247.534,232.433
2026-05-14 14:37:51.524,50.138217,247.818,243.527,239.981
2026-05-14 14:37:52.036,50.650406,247.818,243.527,239.981
2026-05-14 14:37:52.563,51.177172,243.941,239.075,244.376
2026-05-14 14:37:53.076,51.690483,243.941,239.075,244.376
2026-05-14 14:37:53.593,52.207786,248.000,248.000,248.000
2026-05-14 14:37:54.106,52.720324,248.000,248.000,248.000
2026-05-14 14:37:54.627,53.241434,240.806,244.817,247.702
2026-05-14 14:37:55.140,53.754136,240.806,244.817,247.702
2026-05-14 14:37:55.654,54.268258,236.660,240.115,244.759
2026-05-14 14:37:56.165,54.779632,236.660,240.115,244.759
2026-05-14 14:37:56.678,55.292269,228.567,240.737,243.225
2026-05-14 14:37:57.188,55.802929,228.567,240.737,243.225
2026-05-14 14:37:57.719,56.333343,226.888,241.496,243.792
2026-05-14 14:37:58.239,56.853376,226.888,241.496,243.792
2026-05-14 14:37:58.753,57.367827,220.279,239.254,242.357
2026-05-14 14:37:59.268,57.882768,220.279,239.254,242.357
2026-05-14 14:37:59.778,58.392893,217.285,235.062,246.006
2026-05-14 14:38:00.298,58.912372,217.285,235.062,246.006
2026-05-14 14:38:00.820,59.434627,215.271,233.731,247.567
2026-05-14 14:38:01.328,59.942728,215.271,233.731,247.567
2026-05-14 14:38:01.836,60.450893,214.634,234.704,247.304
2026-05-14 14:38:02.349,60.963394,214.634,234.704,247.304
2026-05-14 14:38:02.870,61.484573,208.655,233.306,247.905
2026-05-14 14:38:03.395,62.008944,208.655,233.306,247.905
2026-05-14 14:38:03.923,62.537423,200.000,248.000,248.000
2026-05-14 14:38:04.438,63.052373,200.000,248.000,248.000
2026-05-14 14:38:04.958,63.571891,215.126,247.340,240.953
2026-05-14 14:38:05.467,64.080863,215.126,247.340,240.953
2026-05-14 14:38:05.993,64.607535,214.090,242.364,236.217
2026-05-14 14:38:06.505,65.118982,214.090,242.364,236.217
2026-05-14 14:38:07.020,65.634577,212.356,240.684,233.865
2026-05-14 14:38:07.537,66.151392,212.356,240.684,233.865
2026-05-14 14:38:08.056,66.670068,211.338,245.212,232.124
2026-05-14 14:38:08.572,67.186285,211.338,245.212,232.124
2026-05-14 14:38:09.090,67.704255,202.260,242.738,227.691
2026-05-14 14:38:09.603,68.216994,202.260,242.738,227.691
2026-05-14 14:38:10.118,68.732234,205.836,241.063,235.005
2026-05-14 14:38:10.627,69.241459,205.836,241.063,235.005
2026-05-14 14:38:11.139,69.753425,200.156,240.805,236.783
2026-05-14 14:38:11.655,70.269315,200.156,240.805,236.783
2026-05-14 14:38:12.170,70.784638,201.559,239.648,239.749
2026-05-14 14:38:12.687,71.301217,201.559,239.648,239.749
2026-05-14 14:38:13.206,71.820058,202.957,240.248,241.973
2026-05-14 14:38:13.721,72.335502,202.957,240.248,241.973
2026-05-14 14:38:14.244,72.858635,200.072,233.837,245.239
2026-05-14 14:38:14.754,73.368495,200.072,233.837,245.239
2026-05-14 14:38:15.277,73.891251,202.897,233.985,244.006
2026-05-14 14:38:15.788,74.402446,202.897,233.985,244.006
2026-05-14 14:38:16.299,74.913522,203.496,230.254,236.928
2026-05-14 14:38:16.820,75.434563,203.496,230.254,236.928
2026-05-14 14:38:17.335,75.949591,205.578,232.871,232.716
2026-05-14 14:38:17.854,76.468493,205.578,232.871,232.716
2026-05-14 14:38:18.373,76.987736,209.012,228.997,234.645
2026-05-14 14:38:18.887,77.501103,209.012,228.997,234.645
2026-05-14 14:38:19.403,78.017613,212.604,228.685,234.385
2026-05-14 14:38:19.921,78.535547,212.604,228.685,234.385
2026-05-14 14:38:20.439,79.052720,215.414,227.693,238.742
2026-05-14 14:38:20.954,79.568109,215.414,227.693,238.742
2026-05-14 14:38:21.468,80.081959,211.443,228.938,240.196
2026-05-14 14:38:21.994,80.607673,211.443,228.938,240.196
2026-05-14 14:38:22.520,81.134591,207.655,225.269,242.360
2026-05-14 14:38:23.038,81.651983,207.655,225.269,242.360
2026-05-14 14:38:23.560,82.174187,210.108,223.169,238.397
2026-05-14 14:38:24.072,82.685735,210.108,223.169,238.397
2026-05-14 14:38:24.590,83.204364,210.453,219.562,244.516
2026-05-14 14:38:25.104,83.718214,210.453,219.562,244.516
2026-05-14 14:38:25.622,84.236506,208.606,218.515,247.571
2026-05-14 14:38:26.138,84.751770,208.606,218.515,247.571
2026-05-14 14:38:26.655,85.269239,203.254,211.332,247.492
2026-05-14 14:38:27.177,85.790937,203.254,211.332,247.492
2026-05-14 14:38:27.690,86.303744,200.000,202.000,248.000
2026-05-14 14:38:28.212,86.825784,200.000,202.000,248.000
2026-05-14 14:38:28.722,87.336129,206.056,204.017,240.316
2026-05-14 14:38:29.236,87.850475,206.056,204.017,240.316
2026-05-14 14:38:29.752,88.366261,211.205,206.276,238.302
2026-05-14 14:38:30.261,88.874601,211.205,206.276,238.302
2026-05-14 14:38:30.773,89.386947,216.310,212.420,239.124
2026-05-14 14:38:31.292,89.905898,216.310,212.420,239.124
2026-05-14 14:38:31.803,90.416716,221.903,213.623,238.443
2026-05-14 14:38:32.321,90.935309,221.903,213.623,238.443
2026-05-14 14:38:32.837,91.450667,225.077,219.262,235.441
2026-05-14 14:38:33.345,91.959440,225.077,219.262,235.441
2026-05-14 14:38:33.872,92.485935,215.632,220.570,227.501
2026-05-14 14:38:34.387,93.001390,215.632,220.570,227.501
2026-05-14 14:38:34.902,93.516327,213.335,221.094,222.546
2026-05-14 14:38:35.422,94.035909,213.335,221.094,222.546
2026-05-14 14:38:35.941,94.554549,209.791,220.866,222.426
2026-05-14 14:38:36.454,95.067498,209.791,220.866,222.426
2026-05-14 14:38:36.972,95.585711,213.041,224.420,224.190
2026-05-14 14:38:37.484,96.098102,213.041,224.420,224.190
2026-05-14 14:38:38.005,96.618605,210.282,226.138,221.158
2026-05-14 14:38:38.520,97.134354,210.282,226.138,221.158
2026-05-14 14:38:39.035,97.648742,214.286,226.768,217.927
2026-05-14 14:38:39.556,98.169894,214.286,226.768,217.927
2026-05-14 14:38:40.072,98.686140,216.902,230.561,215.958
2026-05-14 14:38:40.588,99.202299,216.902,230.561,215.958
2026-05-14 14:38:41.103,99.717145,216.855,230.258,219.517
2026-05-14 14:38:41.612,100.225868,216.855,230.258,219.517
2026-05-14 14:38:42.121,100.735108,212.902,230.674,223.054
2026-05-14 14:38:42.639,101.253060,212.902,230.674,223.054
2026-05-14 14:38:43.155,101.768865,211.858,232.589,222.070
2026-05-14 14:38:43.675,102.289106,211.858,232.589,222.070
2026-05-14 14:38:44.187,102.800419,213.144,231.838,219.492
2026-05-14 14:38:44.707,103.320834,213.144,231.838,219.492
2026-05-14 14:38:45.222,103.836104,207.697,230.085,217.010
2026-05-14 14:38:45.736,104.350201,207.697,230.085,217.010
2026-05-14 14:38:46.252,104.865684,206.659,233.464,213.740
2026-05-14 14:38:46.772,105.386065,206.659,233.464,213.740
2026-05-14 14:38:47.291,105.904618,205.394,232.626,211.765
2026-05-14 14:38:47.804,106.417854,205.394,232.626,211.765
2026-05-14 14:38:48.322,106.935912,204.065,235.738,210.084
2026-05-14 14:38:48.840,107.453365,204.065,235.738,210.084
2026-05-14 14:38:49.355,107.969167,202.602,231.562,203.667
2026-05-14 14:38:49.876,108.489472,202.602,231.562,203.667
2026-05-14 14:38:50.394,109.008123,204.206,235.143,201.650
2026-05-14 14:38:50.907,109.520911,204.206,235.143,201.650
2026-05-14 14:38:51.419,110.032718,203.927,238.451,205.255
2026-05-14 14:38:51.929,110.542450,203.927,238.451,205.255
2026-05-14 14:38:52.439,111.052585,203.094,244.655,201.622
2026-05-14 14:38:52.954,111.568228,203.094,244.655,201.622
2026-05-14 14:38:53.478,112.091231,200.000,248.000,200.000
2026-05-14 14:38:53.994,112.607806,200.000,248.000,200.000
2026-05-14 14:38:54.507,113.120743,209.179,244.070,204.674
2026-05-14 14:38:55.021,113.634670,209.179,244.070,204.674
2026-05-14 14:38:55.540,114.153384,211.981,243.878,200.582
2026-05-14 14:38:56.056,114.670029,211.981,243.878,200.582
2026-05-14 14:38:56.569,115.182874,212.041,238.383,202.964
2026-05-14 14:38:57.089,115.702771,212.041,238.383,202.964
2026-05-14 14:38:57.604,116.217326,213.581,235.583,205.963
2026-05-14 14:38:58.124,116.737292,213.581,235.583,205.963
2026-05-14 14:38:58.645,117.258890,209.732,230.660,206.415
2026-05-14 14:38:59.158,117.771885,209.732,230.660,206.415
2026-05-14 14:38:59.678,118.291916,213.688,228.053,202.530
2026-05-14 14:39:00.194,118.807637,213.688,228.053,202.530
2026-05-14 14:39:00.707,119.320902,218.163,226.924,202.883
2026-05-14 14:39:01.227,119.840097,218.163,226.924,202.883
2026-05-14 14:39:01.737,120.350945,223.610,226.509,205.534
2026-05-14 14:39:02.246,120.859286,223.610,226.509,205.534
2026-05-14 14:39:02.764,121.377931,228.387,228.193,209.941
2026-05-14 14:39:03.278,121.891949,228.387,228.193,209.941
2026-05-14 14:39:03.789,122.402229,227.918,231.303,205.856
2026-05-14 14:39:04.305,122.918750,227.918,231.303,205.856
2026-05-14 14:39:04.821,123.434735,228.964,232.151,208.037
2026-05-14 14:39:05.340,123.953513,228.964,232.151,208.037
2026-05-14 14:39:05.856,124.470026,230.865,233.957,207.458
2026-05-14 14:39:06.372,124.985736,230.865,233.957,207.458
2026-05-14 14:39:06.887,125.500511,232.547,233.691,205.631
2026-05-14 14:39:07.406,126.019462,232.547,233.691,205.631
2026-05-14 14:39:07.920,126.533135,235.808,235.588,206.033
2026-05-14 14:39:08.439,127.052786,235.808,235.588,206.033
2026-05-14 14:39:08.955,127.568028,236.205,236.967,204.414
2026-05-14 14:39:09.478,128.091007,236.205,236.967,204.414
2026-05-14 14:39:09.990,128.603217,236.088,243.778,200.980
2026-05-14 14:39:10.506,129.119346,236.088,243.778,200.980
2026-05-14 14:39:11.022,129.634976,236.855,245.642,205.908
2026-05-14 14:39:11.538,130.151572,236.855,245.642,205.908
2026-05-14 14:39:12.054,130.667142,235.218,244.462,205.493
2026-05-14 14:39:12.562,131.175918,235.218,244.462,205.493
2026-05-14 14:39:13.073,131.686661,229.877,245.383,204.450
2026-05-14 14:39:13.591,132.204851,229.877,245.383,204.450
2026-05-14 14:39:14.104,132.717342,227.811,237.544,207.935
2026-05-14 14:39:14.613,133.226155,227.811,237.544,207.935
2026-05-14 14:39:15.140,133.753238,231.591,244.097,210.929
2026-05-14 14:39:15.660,134.273403,231.591,244.097,210.929
2026-05-14 14:39:16.185,134.798597,236.778,241.478,213.016
2026-05-14 14:39:16.705,135.317920,236.778,241.478,213.016
2026-05-14 14:39:17.223,135.836023,237.562,237.872,213.501
2026-05-14 14:39:17.733,136.346529,237.562,237.872,213.501
2026-05-14 14:39:18.242,136.855580,237.695,234.834,218.329
2026-05-14 14:39:18.755,137.368106,237.695,234.834,218.329
2026-05-14 14:39:19.265,137.878349,240.279,233.021,214.191
2026-05-14 14:39:19.779,138.392284,240.279,233.021,214.191
2026-05-14 14:39:20.290,138.903542,234.885,230.849,210.985
2026-05-14 14:39:20.809,139.422809,234.885,230.849,210.985
2026-05-14 14:39:21.321,139.934651,234.444,226.804,202.784
2026-05-14 14:39:21.829,140.442696,234.444,226.804,202.784
2026-05-14 14:39:22.357,140.970068,234.738,220.782,210.176
2026-05-14 14:39:22.872,141.485565,234.738,220.782,210.176
2026-05-14 14:39:23.390,142.002881,230.690,221.354,214.772
2026-05-14 14:39:23.907,142.520385,230.690,221.354,214.772
2026-05-14 14:39:24.417,143.029888,230.246,225.919,213.784
2026-05-14 14:39:24.940,143.553050,230.246,225.919,213.784
2026-05-14 14:39:25.455,144.067916,232.694,226.114,215.459
2026-05-14 14:39:25.971,144.584657,232.694,226.114,215.459
2026-05-14 14:39:26.494,145.107718,234.996,226.774,218.093
2026-05-14 14:39:27.008,145.621448,234.996,226.774,218.093
2026-05-14 14:39:27.523,146.136025,246.036,226.032,216.932
2026-05-14 14:39:28.038,146.650691,246.036,226.032,216.932
2026-05-14 14:39:28.555,147.168109,243.638,222.313,222.393
2026-05-14 14:39:29.073,147.686578,243.638,222.313,222.393
