Format Version,1.23,Take Name,triangulation_output_1779433045,Capture Start Time,2026-05-22 04:57:25 PM,Capture Frame Rate,10,Export Frame Rate,10,Length Units,Meters

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green

,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp (Unix s),Time Since Start (s),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-22 16:57:27.516,0.000000,0.000000,0.000000,0.000000,0.049828,-0.086934,-0.254277,-0.097663,-0.113194,-0.254009,-0.023917,-0.100064,-0.254143,-0.024012,-0.040482,-0.168980,-0.025119,-0.036108,-0.221764
2026-05-22 16:57:27.616,0.100000,0.000000,0.000000,0.000000,0.049863,-0.086753,-0.254340,-0.103559,-0.085412,-0.255512,-0.026848,-0.086083,-0.254926,-0.024129,-0.039664,-0.168840,-0.025130,-0.035653,-0.221644
2026-05-22 16:57:27.716,0.200000,0.000000,0.000000,0.000000,0.049929,-0.085922,-0.254175,-0.097230,-0.114447,-0.253890,-0.023650,-0.100184,-0.254032,-0.024159,-0.040909,-0.168958,-0.025058,-0.035997,-0.221657
2026-05-22 16:57:27.816,0.300000,0.000000,0.000000,0.000000,0.050119,-0.085229,-0.254364,-0.097371,-0.113153,-0.253921,-0.023626,-0.099191,-0.254142,-0.023948,-0.040411,-0.168875,-0.024972,-0.035739,-0.221645
2026-05-22 16:57:27.916,0.400000,0.000000,0.000000,0.000000,0.050030,-0.086562,-0.254229,-0.103736,-0.084366,-0.255647,-0.026853,-0.085464,-0.254938,-0.024127,-0.040430,-0.168881,-0.025010,-0.035956,-0.221579
2026-05-22 16:57:28.016,0.500000,0.000000,0.000000,0.000000,0.050040,-0.086507,-0.254153,-0.107994,-0.065221,-0.256385,-0.028977,-0.075864,-0.255269,-0.023961,-0.040533,-0.168914,-0.025012,-0.036168,-0.221580
