Format Version,1.23,Take Name,triangulation_output_1779433348,Capture Start Time,2026-05-22 05:02:28 PM,Capture Frame Rate,10,Export Frame Rate,10,Length Units,Meters

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green

,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp (Unix s),Time Since Start (s),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-22 17:02:30.968,0.000000,0.000000,0.000000,0.000000,0.050174,-0.083518,-0.254369,-0.104641,-0.084600,-0.255738,-0.027234,-0.084059,-0.255053,-0.015016,-0.109991,-0.188500,-0.015211,-0.117271,-0.234754
2026-05-22 17:02:31.068,0.100000,0.000000,0.000000,0.000000,0.050086,-0.088039,-0.254407,-0.104632,-0.084807,-0.255757,-0.027273,-0.086423,-0.255082,-0.015015,-0.110147,-0.188435,-0.015233,-0.117046,-0.234767
2026-05-22 17:02:31.168,0.200000,0.000000,0.000000,0.000000,0.050112,-0.087426,-0.254149,-0.105485,-0.080375,-0.255900,-0.027687,-0.083901,-0.255025,-0.014986,-0.110372,-0.188409,-0.015144,-0.117039,-0.234694
2026-05-22 17:02:31.268,0.300000,0.000000,0.000000,0.000000,0.050219,-0.087726,-0.254071,-0.104370,-0.084568,-0.255708,-0.027075,-0.086147,-0.254890,-0.014868,-0.109961,-0.188453,-0.015133,-0.117252,-0.234822
2026-05-22 17:02:31.368,0.400000,0.000000,0.000000,0.000000,0.050046,-0.083524,-0.254384,-0.105871,-0.079623,-0.255758,-0.027913,-0.081574,-0.255071,-0.014825,-0.109524,-0.188344,-0.014907,-0.116859,-0.234737
2026-05-22 17:02:31.468,0.500000,0.000000,0.000000,0.000000,0.049781,-0.079777,-0.254424,-0.104576,-0.083639,-0.255751,-0.027397,-0.081708,-0.255088,-0.015045,-0.109706,-0.188621,-0.015249,-0.116648,-0.234974
