Format Version,1.23,Take Name,calibration_10mm_1779432787,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-22 04:53:26 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-22 16:53:28.011,0.000000,0.000000,0.000000,0.000000,0.047761,-0.103099,-0.248342,-0.103933,-0.104183,-0.250526,-0.028086,-0.103641,-0.249434,-0.015250,-0.127476,-0.183224,-0.016217,-0.136742,-0.228740
2026-05-22 16:53:28.111,0.100000,0.000000,0.000000,0.000000,0.047668,-0.104198,-0.248603,-0.104026,-0.105282,-0.250787,-0.028179,-0.104740,-0.249695,-0.015343,-0.128576,-0.183485,-0.016310,-0.137841,-0.229001
2026-05-22 16:53:28.211,0.200000,0.000000,0.000000,0.000000,0.047674,-0.105251,-0.249233,-0.104148,-0.108620,-0.251197,-0.028237,-0.106935,-0.250215,-0.015617,-0.131904,-0.184009,-0.016496,-0.140040,-0.229522
2026-05-22 16:53:28.311,0.300000,0.000000,0.000000,0.000000,0.047860,-0.103052,-0.248711,-0.103962,-0.106421,-0.250676,-0.028051,-0.104737,-0.249693,-0.015343,-0.128576,-0.183485,-0.016310,-0.137841,-0.229001
2026-05-22 16:53:28.411,0.400000,0.000000,0.000000,0.000000,0.047767,-0.104151,-0.248972,-0.104119,-0.106382,-0.251048,-0.028176,-0.105267,-0.250010,-0.015433,-0.129591,-0.184451,-0.016403,-0.138941,-0.229261
2026-05-22 16:53:28.511,0.500000,0.000000,0.000000,0.000000,0.048047,-0.100854,-0.248189,-0.103776,-0.104222,-0.250154,-0.027865,-0.102538,-0.249172,-0.015154,-0.126293,-0.183669,-0.016212,-0.136782,-0.228400
2026-05-22 16:53:28.611,0.600000,0.000000,0.000000,0.000000,0.047668,-0.104198,-0.248603,-0.103962,-0.106421,-0.250676,-0.028147,-0.105310,-0.249639,-0.015431,-0.129706,-0.183488,-0.016310,-0.137841,-0.229001
