Format Version,1.23,Take Name,calibration_10mm_1779687996,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-25 03:46:55 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-25 15:47:05.086,0.000000,0.000000,0.000000,0.000000,-0.100784,-0.095073,-0.251354,0.057731,-0.087947,-0.251535,-0.021527,-0.091510,-0.251445,-0.007577,-0.117602,-0.189095,-0.008210,-0.122024,-0.235419
2026-05-25 15:47:05.186,0.100000,0.000000,0.000000,0.000000,-0.100784,-0.095073,-0.251354,0.057731,-0.087947,-0.251535,-0.021527,-0.091510,-0.251445,-0.007577,-0.117602,-0.189095,-0.008210,-0.122024,-0.235419
2026-05-25 15:47:05.286,0.200000,0.000000,0.000000,0.000000,-0.100784,-0.095073,-0.251354,0.057860,-0.086851,-0.251587,-0.021462,-0.090962,-0.251471,-0.007577,-0.117602,-0.189095,-0.008210,-0.122024,-0.235419
2026-05-25 15:47:05.386,0.300000,0.000000,0.000000,0.000000,-0.100789,-0.094956,-0.252082,0.057731,-0.087947,-0.251535,-0.021529,-0.091451,-0.251809,-0.007577,-0.117602,-0.189095,-0.008235,-0.123108,-0.235392
2026-05-25 15:47:05.486,0.400000,0.000000,0.000000,0.000000,-0.100784,-0.095073,-0.251354,0.057860,-0.086851,-0.251587,-0.021462,-0.090962,-0.251471,-0.007577,-0.117602,-0.189095,-0.008210,-0.122024,-0.235419
2026-05-25 15:47:05.586,0.500000,0.000000,0.000000,0.000000,-0.100906,-0.093999,-0.251405,0.057860,-0.086851,-0.251587,-0.021523,-0.090425,-0.251496,-0.007577,-0.117602,-0.189095,-0.008235,-0.123108,-0.235392
2026-05-25 15:47:05.686,0.599999,0.000000,0.000000,0.000000,-0.100789,-0.094956,-0.252082,0.057731,-0.087947,-0.251535,-0.021529,-0.091451,-0.251809,-0.007551,-0.116531,-0.189045,-0.008235,-0.123108,-0.235392
