Format Version,1.23,Take Name,default_10mm_1779431279,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-22 04:28:00 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-22 16:28:03.248,0.000000,0.000000,0.000000,0.000000,0.048170,-0.079335,-0.254177,-0.108158,-0.076531,-0.256037,-0.029994,-0.077933,-0.255107,-0.017431,-0.103913,-0.187742,-0.018202,-0.108831,-0.234924
2026-05-22 16:28:03.348,0.100000,0.000000,0.000000,0.000000,0.048262,-0.079283,-0.254510,-0.108272,-0.077514,-0.256311,-0.030005,-0.078398,-0.255410,-0.017434,-0.103877,-0.187975,-0.018316,-0.109814,-0.235198
2026-05-22 16:28:03.448,0.200000,0.000000,0.000000,0.000000,0.048262,-0.079283,-0.254510,-0.108272,-0.077514,-0.256311,-0.030005,-0.078398,-0.255410,-0.017545,-0.104896,-0.188017,-0.018316,-0.109814,-0.235198
2026-05-22 16:28:03.548,0.300000,0.000000,0.000000,0.000000,0.048262,-0.079283,-0.254510,-0.107526,-0.077518,-0.256303,-0.029632,-0.078400,-0.255406,-0.017434,-0.103877,-0.187975,-0.018316,-0.109814,-0.235198
2026-05-22 16:28:03.648,0.400000,0.000000,0.000000,0.000000,0.048377,-0.078300,-0.254236,-0.108158,-0.076531,-0.256037,-0.029891,-0.077416,-0.255136,-0.017431,-0.103913,-0.187742,-0.018202,-0.108831,-0.234924
2026-05-22 16:28:03.748,0.500000,0.000000,0.000000,0.000000,0.048491,-0.077317,-0.253961,-0.107297,-0.075552,-0.255754,-0.029403,-0.076435,-0.254858,-0.017316,-0.102931,-0.187468,-0.018199,-0.108879,-0.234618
2026-05-22 16:28:03.848,0.600000,0.000000,0.000000,0.000000,0.048262,-0.079283,-0.254510,-0.108244,-0.078550,-0.256249,-0.029991,-0.078916,-0.255380,-0.017545,-0.104896,-0.188017,-0.018428,-0.110844,-0.235167
