Format Version,1.23,Take Name,hand_10mm_1779432320,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,2026-05-22 04:45:21 PM,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,ID,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-22 16:45:23.885,0.000000,0.000000,0.000000,0.000000,0.048615,-0.082611,-0.255227,-0.107683,-0.084724,-0.256191,-0.029534,-0.083667,-0.255709,-0.017076,-0.111642,-0.189213,-0.017852,-0.114759,-0.235501
2026-05-22 16:45:23.985,0.100000,0.000000,0.000000,0.000000,0.048617,-0.082497,-0.255963,-0.107731,-0.083689,-0.256256,-0.029557,-0.083093,-0.256110,-0.016986,-0.110620,-0.189176,-0.017852,-0.114759,-0.235501
2026-05-22 16:45:24.085,0.200000,0.000000,0.000000,0.000000,0.048711,-0.081625,-0.254956,-0.107587,-0.083738,-0.255921,-0.029438,-0.082681,-0.255439,-0.016980,-0.110656,-0.188942,-0.017756,-0.113773,-0.235231
2026-05-22 16:45:24.185,0.300000,0.000000,0.000000,0.000000,0.048615,-0.082611,-0.255227,-0.107683,-0.084724,-0.256191,-0.029534,-0.083667,-0.255709,-0.017076,-0.111642,-0.189213,-0.017942,-0.115792,-0.235466
2026-05-22 16:45:24.285,0.400000,0.000000,0.000000,0.000000,0.048711,-0.081625,-0.254956,-0.107587,-0.083738,-0.255921,-0.029438,-0.082681,-0.255439,-0.016980,-0.110656,-0.188942,-0.017846,-0.114806,-0.235195
2026-05-22 16:45:24.385,0.500000,0.000000,0.000000,0.000000,0.048519,-0.083597,-0.255498,-0.107779,-0.085710,-0.256462,-0.029630,-0.084654,-0.255980,-0.017082,-0.111606,-0.189447,-0.018038,-0.116778,-0.235737
2026-05-22 16:45:24.485,0.600000,0.000000,0.000000,0.000000,0.048615,-0.082611,-0.255227,-0.107683,-0.084724,-0.256191,-0.029534,-0.083667,-0.255709,-0.017076,-0.111642,-0.189213,-0.017852,-0.114759,-0.235501
