Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-22 16:53:32.120,0.000612,200.000,202.000,200.000
2026-05-22 16:53:35.135,3.014929,200.000,202.000,200.000
2026-05-22 16:53:37.652,5.532100,200.693,207.729,200.525
2026-05-22 16:53:40.164,8.044710,200.693,207.729,200.525
2026-05-22 16:53:42.688,10.568562,248.000,202.000,200.000
2026-05-22 16:53:45.208,13.088512,248.000,202.000,200.000
2026-05-22 16:53:47.724,15.604222,248.000,202.000,248.000
2026-05-22 16:53:50.237,18.117642,248.000,202.000,248.000
2026-05-22 16:53:52.759,20.639227,248.000,248.000,248.000
2026-05-22 16:53:55.268,23.148486,248.000,248.000,248.000
2026-05-22 16:53:57.789,25.668805,245.518,244.432,237.256
2026-05-22 16:54:00.305,28.185406,245.518,244.432,237.256
2026-05-22 16:54:02.822,30.701934,238.262,239.706,229.262
2026-05-22 16:54:05.335,33.215309,238.262,239.706,229.262
2026-05-22 16:54:07.844,35.724392,241.568,247.917,224.254
2026-05-22 16:54:10.360,38.240139,241.568,247.917,224.254
2026-05-22 16:54:12.879,40.759598,248.000,248.000,200.000
2026-05-22 16:54:15.397,43.277822,248.000,248.000,200.000
2026-05-22 16:54:17.911,45.790710,225.944,245.846,200.811
2026-05-22 16:54:20.423,48.303424,225.944,245.846,200.811
2026-05-22 16:54:22.936,50.815621,220.485,243.805,209.931
2026-05-22 16:54:25.453,53.332772,220.485,243.805,209.931
2026-05-22 16:54:27.975,55.854605,217.026,233.803,222.129
2026-05-22 16:54:30.489,58.369403,217.026,233.803,222.129
2026-05-22 16:54:33.011,60.891449,221.724,236.027,241.749
2026-05-22 16:54:35.526,63.406360,221.724,236.027,241.749
2026-05-22 16:54:38.046,65.926383,200.000,248.000,248.000
2026-05-22 16:54:40.556,68.436450,200.000,248.000,248.000
2026-05-22 16:54:43.077,70.957466,203.600,241.009,246.607
2026-05-22 16:54:45.590,73.470479,203.600,241.009,246.607
2026-05-22 16:54:48.103,75.983389,200.000,202.000,248.000
2026-05-22 16:54:50.612,78.492239,200.000,202.000,248.000
2026-05-22 16:54:53.129,81.009548,210.985,217.270,243.929
2026-05-22 16:54:55.653,83.532511,210.985,217.270,243.929
2026-05-22 16:54:58.162,86.042276,218.153,217.791,245.506
2026-05-22 16:55:00.689,88.568468,218.153,217.791,245.506
2026-05-22 16:55:03.210,91.090218,230.716,212.447,243.629
2026-05-22 16:55:05.721,93.601374,230.716,212.447,243.629
2026-05-22 16:55:08.240,96.120225,235.314,210.739,235.685
2026-05-22 16:55:10.755,98.634765,235.314,210.739,235.685
2026-05-22 16:55:13.270,101.150199,244.749,207.421,224.604
2026-05-22 16:55:15.788,103.667408,244.749,207.421,224.604
2026-05-22 16:55:18.310,106.189831,242.721,213.897,218.292
2026-05-22 16:55:20.824,108.703851,242.721,213.897,218.292
2026-05-22 16:55:23.343,111.222611,227.573,219.388,201.427
2026-05-22 16:55:25.862,113.742282,227.573,219.388,201.427
2026-05-22 16:55:28.382,116.261836,224.003,226.882,208.162
2026-05-22 16:55:30.903,118.782902,224.003,226.882,208.162
2026-05-22 16:55:33.421,121.301130,212.382,215.812,207.624
2026-05-22 16:55:35.942,123.821927,212.382,215.812,207.624
2026-05-22 16:55:38.462,126.342097,207.872,221.142,200.634
2026-05-22 16:55:40.980,128.859433,207.872,221.142,200.634
2026-05-22 16:55:43.500,131.379737,202.112,231.735,205.304
2026-05-22 16:55:46.019,133.898858,202.112,231.735,205.304
2026-05-22 16:55:48.528,136.408065,200.000,248.000,200.000
2026-05-22 16:55:51.060,138.939504,200.000,248.000,200.000
2026-05-22 16:55:53.580,141.459985,200.000,202.000,200.000
