Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-22 16:35:23.939,0.000681,200.000,202.000,200.000
2026-05-22 16:35:26.966,3.027867,200.000,202.000,200.000
2026-05-22 16:35:29.498,5.559365,200.693,207.729,200.525
2026-05-22 16:35:32.019,8.080347,200.693,207.729,200.525
2026-05-22 16:35:34.543,10.604596,248.000,202.000,200.000
2026-05-22 16:35:37.058,13.119446,248.000,202.000,200.000
2026-05-22 16:35:39.577,15.638954,248.000,202.000,248.000
2026-05-22 16:35:42.096,18.157407,248.000,202.000,248.000
2026-05-22 16:35:44.617,20.678245,248.000,248.000,248.000
2026-05-22 16:35:47.136,23.197531,248.000,248.000,248.000
2026-05-22 16:35:49.658,25.719347,245.518,244.432,237.256
2026-05-22 16:35:52.175,28.236806,245.518,244.432,237.256
2026-05-22 16:35:54.696,30.757369,238.262,239.706,229.262
2026-05-22 16:35:57.204,33.265538,238.262,239.706,229.262
2026-05-22 16:35:59.725,35.786039,241.568,247.917,224.254
2026-05-22 16:36:02.243,38.304595,241.568,247.917,224.254
2026-05-22 16:36:04.773,40.834784,248.000,248.000,200.000
2026-05-22 16:36:07.294,43.355962,248.000,248.000,200.000
2026-05-22 16:36:09.816,45.877755,225.944,245.846,200.811
2026-05-22 16:36:12.334,48.395017,225.944,245.846,200.811
2026-05-22 16:36:14.853,50.914290,220.485,243.805,209.931
2026-05-22 16:36:17.369,53.430099,220.485,243.805,209.931
2026-05-22 16:36:19.892,55.953890,217.026,233.803,222.129
2026-05-22 16:36:22.414,58.474965,217.026,233.803,222.129
2026-05-22 16:36:24.932,60.993262,221.724,236.027,241.749
2026-05-22 16:36:27.452,63.513864,221.724,236.027,241.749
2026-05-22 16:36:29.972,66.033704,200.000,248.000,248.000
2026-05-22 16:36:32.493,68.554267,200.000,248.000,248.000
2026-05-22 16:36:35.019,71.080361,203.600,241.009,246.607
2026-05-22 16:36:37.533,73.594517,203.600,241.009,246.607
2026-05-22 16:36:40.053,76.113817,200.000,202.000,248.000
2026-05-22 16:36:42.571,78.632570,200.000,202.000,248.000
2026-05-22 16:36:45.091,81.152511,210.985,217.270,243.929
2026-05-22 16:36:47.612,83.673466,210.985,217.270,243.929
2026-05-22 16:36:50.132,86.192915,218.153,217.791,245.506
2026-05-22 16:36:52.652,88.713038,218.153,217.791,245.506
2026-05-22 16:36:55.171,91.231882,230.716,212.447,243.629
2026-05-22 16:36:57.689,93.749982,230.716,212.447,243.629
2026-05-22 16:37:00.206,96.266873,235.314,210.739,235.685
2026-05-22 16:37:02.732,98.793728,235.314,210.739,235.685
2026-05-22 16:37:05.250,101.311604,244.749,207.421,224.604
2026-05-22 16:37:07.770,103.830867,244.749,207.421,224.604
2026-05-22 16:37:10.288,106.349490,242.721,213.897,218.292
2026-05-22 16:37:12.810,108.871076,242.721,213.897,218.292
2026-05-22 16:37:15.318,111.379539,227.573,219.388,201.427
2026-05-22 16:37:17.849,113.910659,227.573,219.388,201.427
2026-05-22 16:37:20.358,116.419523,224.003,226.882,208.162
2026-05-22 16:37:22.888,118.949542,224.003,226.882,208.162
2026-05-22 16:37:25.397,121.457934,212.382,215.812,207.624
2026-05-22 16:37:27.928,123.989652,212.382,215.812,207.624
2026-05-22 16:37:30.449,126.510542,207.872,221.142,200.634
2026-05-22 16:37:32.967,129.028438,207.872,221.142,200.634
2026-05-22 16:37:35.489,131.549960,202.112,231.735,205.304
2026-05-22 16:37:38.008,134.068969,202.112,231.735,205.304
2026-05-22 16:37:40.523,136.584153,200.000,248.000,200.000
2026-05-22 16:37:43.046,139.107554,200.000,248.000,200.000
2026-05-22 16:37:45.567,141.628109,200.000,202.000,200.000
