Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-22 16:58:12.139,0.000560,200.000,202.000,200.000
2026-05-22 16:58:15.163,3.025201,200.000,202.000,200.000
2026-05-22 16:58:17.680,5.541543,200.693,207.729,200.525
2026-05-22 16:58:20.199,8.060956,200.693,207.729,200.525
2026-05-22 16:58:22.717,10.579656,248.000,202.000,200.000
2026-05-22 16:58:25.238,13.100187,248.000,202.000,200.000
2026-05-22 16:58:27.756,15.617463,248.000,202.000,248.000
2026-05-22 16:58:30.277,18.138527,248.000,202.000,248.000
2026-05-22 16:58:32.796,20.657937,248.000,248.000,248.000
2026-05-22 16:58:35.313,23.174949,248.000,248.000,248.000
2026-05-22 16:58:37.825,25.686939,245.518,244.432,237.256
2026-05-22 16:58:40.347,28.217447,245.518,244.432,237.256
2026-05-22 16:58:42.873,30.735136,238.262,239.706,229.262
2026-05-22 16:58:45.394,33.256132,238.262,239.706,229.262
2026-05-22 16:58:47.914,35.775623,241.568,247.917,224.254
2026-05-22 16:58:50.423,38.285004,241.568,247.917,224.254
2026-05-22 16:58:52.941,40.802267,248.000,248.000,200.000
2026-05-22 16:58:55.460,43.321565,248.000,248.000,200.000
2026-05-22 16:58:57.980,45.841995,225.944,245.846,200.811
2026-05-22 16:59:00.513,48.375151,225.944,245.846,200.811
2026-05-22 16:59:03.024,50.885514,220.485,243.805,209.931
2026-05-22 16:59:05.541,53.402367,220.485,243.805,209.931
2026-05-22 16:59:08.072,55.933475,217.026,233.803,222.129
2026-05-22 16:59:10.593,58.454340,217.026,233.803,222.129
2026-05-22 16:59:13.113,60.974871,221.724,236.027,241.749
2026-05-22 16:59:15.632,63.493781,221.724,236.027,241.749
2026-05-22 16:59:18.152,66.013839,200.000,248.000,248.000
2026-05-22 16:59:20.660,68.521989,200.000,248.000,248.000
2026-05-22 16:59:23.180,71.041996,203.600,241.009,246.607
2026-05-22 16:59:25.697,73.559172,203.600,241.009,246.607
2026-05-22 16:59:28.233,76.094658,200.000,202.000,248.000
2026-05-22 16:59:30.749,78.610467,200.000,202.000,248.000
2026-05-22 16:59:33.264,81.125993,210.985,217.270,243.929
2026-05-22 16:59:35.790,83.651824,210.985,217.270,243.929
2026-05-22 16:59:38.307,86.168553,218.153,217.791,245.506
2026-05-22 16:59:40.825,88.686300,218.153,217.791,245.506
2026-05-22 16:59:43.341,91.202658,230.716,212.447,243.629
2026-05-22 16:59:45.858,93.719249,230.716,212.447,243.629
2026-05-22 16:59:48.380,96.243341,235.314,210.739,235.685
2026-05-22 16:59:50.896,98.757039,235.314,210.739,235.685
2026-05-22 16:59:53.424,101.285211,244.749,207.421,224.604
2026-05-22 16:59:55.939,103.800924,244.749,207.421,224.604
2026-05-22 16:59:58.455,106.316480,242.721,213.897,218.292
2026-05-22 17:00:00.965,108.826129,242.721,213.897,218.292
2026-05-22 17:00:03.487,111.348199,227.573,219.388,201.427
2026-05-22 17:00:06.009,113.870673,227.573,219.388,201.427
2026-05-22 17:00:08.524,116.385164,224.003,226.882,208.162
2026-05-22 17:00:11.043,118.904500,224.003,226.882,208.162
2026-05-22 17:00:13.557,121.418356,212.382,215.812,207.624
2026-05-22 17:00:16.074,123.935540,212.382,215.812,207.624
2026-05-22 17:00:18.591,126.452473,207.872,221.142,200.634
2026-05-22 17:00:21.108,128.969696,207.872,221.142,200.634
2026-05-22 17:00:23.625,131.486963,202.112,231.735,205.304
2026-05-22 17:00:26.141,134.002850,202.112,231.735,205.304
2026-05-22 17:00:28.658,136.519807,200.000,248.000,200.000
2026-05-22 17:00:31.171,139.032476,200.000,248.000,200.000
2026-05-22 17:00:33.695,141.556759,200.000,202.000,200.000
