Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-22 17:02:34.859,0.000583,200.000,202.000,200.000
2026-05-22 17:02:37.882,3.024106,200.000,202.000,200.000
2026-05-22 17:02:40.404,5.545496,200.693,207.729,200.525
2026-05-22 17:02:42.919,8.060920,200.693,207.729,200.525
2026-05-22 17:02:45.439,10.580678,248.000,202.000,200.000
2026-05-22 17:02:47.957,13.098819,248.000,202.000,200.000
2026-05-22 17:02:50.470,15.612088,248.000,202.000,248.000
2026-05-22 17:02:52.991,18.133093,248.000,202.000,248.000
2026-05-22 17:02:55.509,20.650532,248.000,248.000,248.000
2026-05-22 17:02:58.031,23.172351,248.000,248.000,248.000
2026-05-22 17:03:00.544,25.685506,245.518,244.432,237.256
2026-05-22 17:03:03.056,28.197404,245.518,244.432,237.256
2026-05-22 17:03:05.572,30.713912,238.262,239.706,229.262
2026-05-22 17:03:08.082,33.223256,238.262,239.706,229.262
2026-05-22 17:03:10.590,35.732032,241.568,247.917,224.254
2026-05-22 17:03:13.109,38.250430,241.568,247.917,224.254
2026-05-22 17:03:15.625,40.766799,248.000,248.000,200.000
2026-05-22 17:03:18.147,43.288610,248.000,248.000,200.000
2026-05-22 17:03:20.665,45.806299,225.944,245.846,200.811
2026-05-22 17:03:23.173,48.314827,225.944,245.846,200.811
2026-05-22 17:03:25.689,50.830776,220.485,243.805,209.931
2026-05-22 17:03:28.201,53.342502,220.485,243.805,209.931
2026-05-22 17:03:30.724,55.865429,217.026,233.803,222.129
2026-05-22 17:03:33.240,58.381962,217.026,233.803,222.129
2026-05-22 17:03:35.757,60.898603,221.724,236.027,241.749
2026-05-22 17:03:38.281,63.422569,221.724,236.027,241.749
2026-05-22 17:03:40.791,65.932305,200.000,248.000,248.000
2026-05-22 17:03:43.314,68.454999,200.000,248.000,248.000
2026-05-22 17:03:45.839,70.980309,203.600,241.009,246.607
2026-05-22 17:03:48.359,73.500192,203.600,241.009,246.607
2026-05-22 17:03:50.868,76.009778,200.000,202.000,248.000
2026-05-22 17:03:53.377,78.518012,200.000,202.000,248.000
2026-05-22 17:03:55.892,81.033109,210.985,217.270,243.929
2026-05-22 17:03:58.400,83.541673,210.985,217.270,243.929
2026-05-22 17:04:00.926,86.067314,218.153,217.791,245.506
2026-05-22 17:04:03.442,88.583608,218.153,217.791,245.506
2026-05-22 17:04:05.965,91.106564,230.716,212.447,243.629
2026-05-22 17:04:08.484,93.625587,230.716,212.447,243.629
2026-05-22 17:04:11.007,96.148858,235.314,210.739,235.685
2026-05-22 17:04:13.525,98.666546,235.314,210.739,235.685
2026-05-22 17:04:16.045,101.186701,244.749,207.421,224.604
2026-05-22 17:04:18.556,103.697753,244.749,207.421,224.604
2026-05-22 17:04:21.074,106.214900,242.721,213.897,218.292
2026-05-22 17:04:23.588,108.729336,242.721,213.897,218.292
2026-05-22 17:04:26.098,111.239645,227.573,219.388,201.427
2026-05-22 17:04:28.612,113.753015,227.573,219.388,201.427
2026-05-22 17:04:31.125,116.266247,224.003,226.882,208.162
2026-05-22 17:04:33.638,118.778983,224.003,226.882,208.162
2026-05-22 17:04:36.157,121.298587,212.382,215.812,207.624
2026-05-22 17:04:38.678,123.818914,212.382,215.812,207.624
2026-05-22 17:04:41.189,126.330058,207.872,221.142,200.634
2026-05-22 17:04:43.701,128.842339,207.872,221.142,200.634
2026-05-22 17:04:46.214,131.355528,202.112,231.735,205.304
2026-05-22 17:04:48.722,133.863348,202.112,231.735,205.304
2026-05-22 17:04:51.232,136.373090,200.000,248.000,200.000
2026-05-22 17:04:53.747,138.888461,200.000,248.000,200.000
2026-05-22 17:04:56.260,141.400760,200.000,202.000,200.000
