Time Stamp,Elapsed Time (s),Position_U1 (mm),Position_U2 (mm),Position_U3 (mm)
2026-05-25 19:11:44.713,0.000337,200.000,202.000,200.000
2026-05-25 19:11:47.731,3.018047,200.000,202.000,200.000
2026-05-25 19:11:50.759,6.046532,200.693,207.729,200.525
2026-05-25 19:11:53.793,9.080695,200.693,207.729,200.525
2026-05-25 19:11:56.807,12.094196,248.000,202.000,200.000
2026-05-25 19:11:59.824,15.111825,248.000,202.000,200.000
2026-05-25 19:12:02.847,18.134424,248.000,202.000,248.000
2026-05-25 19:12:05.872,21.159384,248.000,202.000,248.000
2026-05-25 19:12:08.912,24.199624,248.000,248.000,248.000
2026-05-25 19:12:11.926,27.213150,248.000,248.000,248.000
2026-05-25 19:12:14.960,30.247117,245.518,244.432,237.256
2026-05-25 19:12:17.986,33.272722,245.518,244.432,237.256
2026-05-25 19:12:20.998,36.284789,238.262,239.706,229.262
2026-05-25 19:12:24.029,39.315610,238.262,239.706,229.262
2026-05-25 19:12:27.057,42.343873,241.568,247.917,224.254
2026-05-25 19:12:30.065,45.351733,241.568,247.917,224.254
2026-05-25 19:12:33.099,48.385893,248.000,248.000,200.000
2026-05-25 19:12:36.116,51.402983,248.000,248.000,200.000
2026-05-25 19:12:39.132,54.418639,225.944,245.846,200.811
2026-05-25 19:12:42.142,57.428802,225.944,245.846,200.811
2026-05-25 19:12:45.164,60.450852,220.485,243.805,209.931
2026-05-25 19:12:48.175,63.461156,220.485,243.805,209.931
2026-05-25 19:12:51.212,66.498092,217.026,233.803,222.129
2026-05-25 19:12:54.223,69.512109,217.026,233.803,222.129
2026-05-25 19:12:57.249,72.535787,221.724,236.027,241.749
2026-05-25 19:13:00.284,75.570326,221.724,236.027,241.749
2026-05-25 19:13:03.298,78.584344,200.000,248.000,248.000
2026-05-25 19:13:06.328,81.614114,200.000,248.000,248.000
2026-05-25 19:13:09.341,84.626831,203.600,241.009,246.607
2026-05-25 19:13:12.376,87.665573,203.600,241.009,246.607
2026-05-25 19:13:15.402,90.688381,200.000,202.000,248.000
2026-05-25 19:13:18.427,93.712813,200.000,202.000,248.000
2026-05-25 19:13:21.450,96.736171,210.985,217.270,243.929
2026-05-25 19:13:24.460,99.745857,210.985,217.270,243.929
2026-05-25 19:13:27.481,102.767216,218.153,217.791,245.506
2026-05-25 19:13:30.511,105.796891,218.153,217.791,245.506
2026-05-25 19:13:33.545,108.831024,230.716,212.447,243.629
2026-05-25 19:13:36.559,111.844357,230.716,212.447,243.629
2026-05-25 19:13:39.576,114.861798,235.314,210.739,235.685
2026-05-25 19:13:42.600,117.885332,235.314,210.739,235.685
2026-05-25 19:13:45.623,120.908359,244.749,207.421,224.604
2026-05-25 19:13:48.643,123.928321,244.749,207.421,224.604
2026-05-25 19:13:51.666,126.951129,242.721,213.897,218.292
2026-05-25 19:13:54.680,129.965020,242.721,213.897,218.292
2026-05-25 19:13:57.703,132.988106,227.573,219.388,201.427
2026-05-25 19:14:00.716,136.001246,227.573,219.388,201.427
2026-05-25 19:14:03.750,139.035736,224.003,226.882,208.162
2026-05-25 19:14:06.763,142.048079,224.003,226.882,208.162
2026-05-25 19:14:09.783,145.067742,212.382,215.812,207.624
2026-05-25 19:14:12.811,148.095980,212.382,215.812,207.624
2026-05-25 19:14:15.841,151.129482,207.872,221.142,200.634
2026-05-25 19:14:18.860,154.144637,207.872,221.142,200.634
2026-05-25 19:14:21.877,157.162243,202.112,231.735,205.304
2026-05-25 19:14:24.916,160.200976,202.112,231.735,205.304
2026-05-25 19:14:27.926,163.210995,200.000,248.000,200.000
2026-05-25 19:14:30.964,166.248505,200.000,248.000,200.000
2026-05-25 19:14:33.988,169.272513,200.000,202.000,200.000
