Format Version,1.23,Take Name,triangulation_output_1779349108,Capture Start Time,2026-05-21 05:38:28 PM,Capture Frame Rate,10,Export Frame Rate,10,Length Units,Meters

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green

,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp (Unix s),Time Since Start (s),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-21 17:38:30.643,0.000000,0.000000,0.000000,0.000000,0.044269,-0.094635,-0.251578,-0.108292,-0.087010,-0.253389,-0.032011,-0.090823,-0.252483,-0.049058,-0.048276,-0.185877,-0.049304,-0.056956,-0.240799
2026-05-21 17:38:30.743,0.100000,0.000000,0.000000,0.000000,0.044236,-0.094330,-0.251601,-0.105841,-0.089800,-0.253505,-0.030803,-0.092065,-0.252553,-0.049267,-0.047733,-0.185607,-0.049292,-0.056814,-0.240782
2026-05-21 17:38:30.843,0.200000,0.000000,0.000000,0.000000,0.044215,-0.094681,-0.251590,-0.106582,-0.089976,-0.253237,-0.031183,-0.092328,-0.252413,-0.049074,-0.048234,-0.185774,-0.049328,-0.057033,-0.240810
2026-05-21 17:38:30.943,0.300000,0.000000,0.000000,0.000000,0.044172,-0.094929,-0.251555,-0.111339,-0.081213,-0.254355,-0.033584,-0.088071,-0.252955,-0.049158,-0.048264,-0.185696,-0.049427,-0.056980,-0.240825
2026-05-21 17:38:31.043,0.400000,0.000000,0.000000,0.000000,0.044243,-0.094571,-0.251611,-0.106712,-0.089622,-0.253243,-0.031235,-0.092097,-0.252427,-0.049194,-0.047980,-0.185731,-0.049332,-0.056915,-0.240792
2026-05-21 17:38:31.143,0.500000,0.000000,0.000000,0.000000,0.044311,-0.095378,-0.251497,-0.105376,-0.092549,-0.252769,-0.030532,-0.093964,-0.252133,-0.049104,-0.048484,-0.185748,-0.049332,-0.056984,-0.240810
