Format Version,1.23,Take Name,triangulation_output_1779354227,Capture Start Time,2026-05-21 07:03:47 PM,Capture Frame Rate,10,Export Frame Rate,10,Length Units,Meters

,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag0,Tag0,Tag0,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Pink,Pink,Pink,Green,Green,Green

,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Timestamp (Unix s),Time Since Start (s),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2026-05-21 19:03:49.689,0.000000,0.000000,0.000000,0.000000,0.043500,-0.097883,-0.252118,-0.112497,-0.085167,-0.255272,-0.034498,-0.091525,-0.253695,-0.025319,-0.115353,-0.187269,-0.026407,-0.123171,-0.233292
2026-05-21 19:03:49.789,0.100000,0.000000,0.000000,0.000000,0.043690,-0.098704,-0.252041,-0.109072,-0.090989,-0.254746,-0.032691,-0.094847,-0.253394,-0.025294,-0.115458,-0.187307,-0.026332,-0.123487,-0.233383
2026-05-21 19:03:49.889,0.200000,0.000000,0.000000,0.000000,0.043598,-0.098781,-0.252028,-0.109153,-0.090646,-0.254768,-0.032778,-0.094713,-0.253398,-0.025385,-0.115526,-0.187297,-0.026452,-0.123463,-0.233277
2026-05-21 19:03:49.989,0.300000,0.000000,0.000000,0.000000,0.043537,-0.098331,-0.252030,-0.112723,-0.084956,-0.255306,-0.034593,-0.091643,-0.253668,-0.025407,-0.115387,-0.187264,-0.026298,-0.123540,-0.233351
2026-05-21 19:03:50.089,0.400000,0.000000,0.000000,0.000000,0.043547,-0.097947,-0.252139,-0.108565,-0.091324,-0.254713,-0.032509,-0.094636,-0.253426,-0.025325,-0.115215,-0.187330,-0.026332,-0.123215,-0.233338
2026-05-21 19:03:50.189,0.500000,0.000000,0.000000,0.000000,0.043742,-0.098992,-0.251993,-0.108895,-0.090674,-0.254721,-0.032576,-0.094833,-0.253357,-0.025348,-0.115347,-0.187307,-0.026419,-0.123226,-0.233314
